metric,run,depth,seed,run_median_abs_relative
curvature/curv_snr_update,d12-s11,12,11,0.9567487678679607
curvature/curv_snr_update,d12-s7,12,7,0.93558281101309315
curvature/curv_snr_update,d12-s8,12,8,0.94753254875003035
curvature/curv_snr_update,d12-s9,12,9,0.93772217558717796
curvature/curv_snr_update,d14-s7,14,7,0.95486760428921724
curvature/curv_snr_update,d16-s7,16,7,0.93809672794495302
curvature/dhd,d12-s10,12,10,0.0021594269071186162
curvature/dhd,d12-s11,12,11,0.0019535130730549293
curvature/dhd,d12-s7,12,7,0.0021818296381929496
curvature/dhd,d12-s8,12,8,0.0014555171752035439
curvature/dhd,d12-s9,12,9,0.0025778644715191345
curvature/dhd,d14-s7,14,7,0.0019650569247264861
curvature/dhd,d16-s7,16,7,0.0023682914662788712
curvature/e_lin_gradient,d12-s10,12,10,11130.157362916292
curvature/e_lin_gradient,d12-s11,12,11,10520.982740853413
curvature/e_lin_gradient,d12-s7,12,7,10715.846577023771
curvature/e_lin_gradient,d12-s8,12,8,11002.520837721893
curvature/e_lin_gradient,d12-s9,12,9,11110.84886433712
curvature/e_lin_gradient,d14-s7,14,7,9354.0798355498555
curvature/e_lin_gradient,d16-s7,16,7,9234.4483261184123
curvature/e_lin_random,d12-s10,12,10,15012.696452501839
curvature/e_lin_random,d12-s11,12,11,14874.412953227002
curvature/e_lin_random,d12-s7,12,7,14491.130006271171
curvature/e_lin_random,d12-s8,12,8,14965.127047503662
curvature/e_lin_random,d12-s9,12,9,14631.227788804614
curvature/e_lin_random,d14-s7,14,7,12344.385785162751
curvature/e_lin_random,d16-s7,16,7,11473.67004573689
curvature/e_lin_update,d12-s10,12,10,14584.312090136045
curvature/e_lin_update,d12-s11,12,11,14622.347215408547
curvature/e_lin_update,d12-s7,12,7,14898.702109109214
curvature/e_lin_update,d12-s8,12,8,15045.717506213739
curvature/e_lin_update,d12-s9,12,9,14598.300543869849
curvature/e_lin_update,d14-s7,14,7,11226.888869244165
curvature/e_lin_update,d16-s7,16,7,11611.852098021345
curvature/e_sym_gradient,d12-s10,12,10,5668.6909417000725
curvature/e_sym_gradient,d12-s11,12,11,14570.051200429449
curvature/e_sym_gradient,d12-s7,12,7,4260.1990040235414
curvature/e_sym_gradient,d12-s8,12,8,9013.4481305070294
curvature/e_sym_gradient,d12-s9,12,9,4793.8602552521252
curvature/e_sym_gradient,d14-s7,14,7,5428.2348317370652
curvature/e_sym_gradient,d16-s7,16,7,21465.419894810595
curvature/e_sym_random,d12-s10,12,10,11397.35697567169
curvature/e_sym_random,d12-s11,12,11,14979.491236325473
curvature/e_sym_random,d12-s7,12,7,14436.140913043739
curvature/e_sym_random,d12-s8,12,8,12998.261367023861
curvature/e_sym_random,d12-s9,12,9,20942.627712076312
curvature/e_sym_random,d14-s7,14,7,5324.505501404813
curvature/e_sym_random,d16-s7,16,7,15566.023942714957
curvature/e_sym_update,d12-s10,12,10,10403.419088596871
curvature/e_sym_update,d12-s11,12,11,15821.942385114002
curvature/e_sym_update,d12-s7,12,7,11164.848348606085
curvature/e_sym_update,d12-s8,12,8,42833.431595791524
curvature/e_sym_update,d12-s9,12,9,25775.416011583358
curvature/e_sym_update,d14-s7,14,7,11598.645496274783
curvature/e_sym_update,d16-s7,16,7,7831.9199893932846
curvature/eta_star,d12-s10,12,10,0.0068605333788740227
curvature/eta_star,d12-s11,12,11,0.0067802857745379481
curvature/eta_star,d12-s7,12,7,0.0058458462236159001
curvature/eta_star,d12-s8,12,8,0.005206827880805065
curvature/eta_star,d12-s9,12,9,0.0047980001663974507
curvature/eta_star,d14-s7,14,7,0.0066438326184145345
curvature/eta_star,d16-s7,16,7,0.0068266107224549547
