metric,run,depth,seed,n,spearman_abs_relative_vs_progress,early_median_abs_relative,late_median_abs_relative
curvature/fd_snr_update,d12-s7,12,7,30,-0.91234705228031154,0.99848549494547378,0.98922022703091206
curvature/fd_snr_update,d12-s8,12,8,30,-0.9457174638487208,0.99844957201950146,0.98920822809908149
curvature/fd_snr_update,d12-s9,12,9,30,-0.93459399332591764,0.99829107888716329,0.99009015356715713
curvature/fd_snr_update,d14-s7,14,7,32,-0.85630498533724331,0.99785247687558376,0.9889290657174703
curvature/fd_snr_update,d16-s7,16,7,33,-0.89471925133689845,0.99779345858038049,0.98649113739184857
curvature/gHg,d12-s10,12,10,30,-0.2640711902113459,0.01146184547910372,0.0069033219373739619
curvature/gHg,d12-s11,12,11,30,0.011345939933259176,0.0042413805295462102,0.0094297696723309246
curvature/gHg,d12-s7,12,7,30,-0.12925472747497219,0.016454889062667163,0.0041085267341150382
curvature/gHg,d12-s8,12,8,30,-0.25072302558398218,0.014461689245016134,0.0030738723073345884
curvature/gHg,d12-s9,12,9,30,-0.35350389321468295,0.018494875214225413,0.0028274289953141578
curvature/gHg,d14-s7,14,7,32,0.043988269794721403,0.0060598414100047661,0.004219640398386351
curvature/gHg,d16-s7,16,7,33,-0.0080213903743315516,0.008572295004500902,0.011239751604324433
curvature/gg,d12-s10,12,10,30,0.36284760845383757,0.00072281956588751792,0.0015069556799554417
curvature/gg,d12-s11,12,11,30,0.33971078976640712,0.0011064390292835589,0.0018713072993566502
curvature/gg,d12-s7,12,7,30,0.31301446051167958,0.00063687610857740768,0.0011736684474724754
curvature/gg,d12-s8,12,8,30,0.22491657397107895,0.00088942694545547825,0.0013729021464615261
curvature/gg,d12-s9,12,9,30,0.10656284760845385,0.00092269487054424449,0.0010639618296700683
curvature/gg,d14-s7,14,7,32,0.26136363636363635,0.00098695613062193275,0.0015926215987152373
curvature/gg,d16-s7,16,7,33,0.45354278074866311,0.001003155726723851,0.0043824921818132649
curvature/verdict_code_gradient,d12-s10,12,10,4,,1,
curvature/verdict_code_gradient,d12-s11,12,11,4,,1,
curvature/verdict_code_gradient,d12-s7,12,7,4,,1,
curvature/verdict_code_gradient,d12-s8,12,8,4,,1,
curvature/verdict_code_gradient,d12-s9,12,9,5,,1,
curvature/verdict_code_gradient,d14-s7,14,7,4,,1,
curvature/verdict_code_gradient,d16-s7,16,7,4,0,0.5,
curvature/verdict_code_random,d12-s10,12,10,30,,1,1
curvature/verdict_code_random,d12-s11,12,11,30,-0.18526697465801972,1,1
curvature/verdict_code_random,d12-s7,12,7,30,,1,1
curvature/verdict_code_random,d12-s8,12,8,30,,1,1
curvature/verdict_code_random,d12-s9,12,9,30,,1,1
curvature/verdict_code_random,d14-s7,14,7,32,-0.23769831458921464,1,1
curvature/verdict_code_random,d16-s7,16,7,33,,1,1
curvature/verdict_code_update,d12-s10,12,10,30,0.010727086497211297,1,1
curvature/verdict_code_update,d12-s11,12,11,30,,1,1
curvature/verdict_code_update,d12-s7,12,7,30,,1,1
curvature/verdict_code_update,d12-s8,12,8,30,,1,1
curvature/verdict_code_update,d12-s9,12,9,30,,1,1
curvature/verdict_code_update,d14-s7,14,7,32,,1,1
curvature/verdict_code_update,d16-s7,16,7,33,,1,1
curvature/vhv_gradient,d12-s10,12,10,30,-0.29343715239154616,0.011471064092183412,0.0068744442736344783
curvature/vhv_gradient,d12-s11,12,11,30,-0.016685205784204672,0.004202759185839313,0.0068218248871427679
curvature/vhv_gradient,d12-s7,12,7,30,-0.15995550611790879,0.015146354651157653,0.0027418771097115734
curvature/vhv_gradient,d12-s8,12,8,30,-0.23648498331479423,0.012800732453793272,0.001519431945857842
curvature/vhv_gradient,d12-s9,12,9,30,-0.47764182424916568,0.02084889010875654,0.0023988683867814213
curvature/vhv_gradient,d14-s7,14,7,32,-0.005131964809384164,0.0055868415846227672,0.0058734542121728116
curvature/vhv_gradient,d16-s7,16,7,33,-0.17346256684491981,0.0095271744624652842,0.00692012738065055
curvature/vhv_random,d12-s10,12,10,30,-0.13548387096774192,0.0035080035048827194,0.001717557164993341
curvature/vhv_random,d12-s11,12,11,30,-0.070077864293659628,0.0027496618795028339,0.0031788198878001618
curvature/vhv_random,d12-s7,12,7,30,-0.29388209121245829,0.0065092857217542224,0.001513204109047374
curvature/vhv_random,d12-s8,12,8,30,-0.15728587319243603,0.011194935362228703,0.0031352277203324595
curvature/vhv_random,d12-s9,12,9,30,0.097664071190211338,0.0024361788558576133,0.0033571966069568184
curvature/vhv_random,d14-s7,14,7,32,-0.11180351906158356,0.0060957682173313366,0.0087687338555883683
curvature/vhv_random,d16-s7,16,7,33,-0.25902406417112306,0.00686713797551043,0.0040149698822907129
curvature/vhv_update,d12-s10,12,10,30,-0.10255839822024472,0.0024548646750645244,0.0031504720548264282
curvature/vhv_update,d12-s11,12,11,30,-0.25962180200222468,0.0022047309805869244,0.0016911406952260025
