segment,step,metric,run,run_id,depth,seed,normalized_progress,native,shadow,absolute_difference,shadow_is_zero,signed_relative_difference,absolute_relative_difference,sign_disagreement
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/e_sym_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.0085890936999329769,3.9902237915085594e-06,0.0085851034761414684,False,2151.5343310846611,2151.5343310846611,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/e_sym_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.0047354204451918709,1.1737925699818585e-06,0.0047342466526218889,False,4033.2906969202054,4033.2906969202054,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/e_sym_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.02772689611775573,2.0946944098987038e-07,0.027726686648314739,False,132366.260764765,132366.260764765,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/eta_star_rho,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,-3.7220814703973188e-05,-4.6757890449934063e-05,9.5370757459608752e-06,False,0.20396719471706456,0.20396719471706456,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/eta_star_rho_threshold,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.0625,9.5367431640625e-07,0.062499046325683594,False,65535,65535,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_conclusive_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0,1,1,False,-1,1,True
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_conclusive_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0,0,0,True,,,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_conclusive_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0,0,0,True,,,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_eps_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.029999999999999999,0.029999999999999999,0,False,0,0,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_eps_random,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.029999999999999999,0.029999999999999999,0,False,0,0,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_eps_update,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.029999999999999999,0.029999999999999999,0,False,0,0,False
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,curvature/fd_floor_gradient,d12-s10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,0.00039682539682539683,0.54474119410442234,8.3108141452686696e-06,0.54473288329027703,False,65545.068602020459,65545.068602020459,False
