rank,tier,metric,acceptance_arm,family,direction,probe_sampled,certification,raw_rows_five_runs,selected_defined_rows_five_runs,union_row_keys,aligned_row_keys,row_key_coverage,aligned_elements,early_elements,late_elements,vector_length_mismatch_keys,typical_absolute_spread,worst_absolute_spread,typical_relative_spread,worst_relative_spread,early_typical_relative_spread,late_typical_relative_spread,zero_median_fraction,infinite_relative_fraction,utility_band,flags
11,continuous,mem/cuda_peak_absolute,none,continuous:mem/cuda_peak_absolute,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,400,2120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
12,continuous,optim/beta1,none,continuous:optim/beta1,none,False,not_applicable,75600,75600,15120,15120,1.0,15120,2406,12714,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
13,continuous,optim/beta2,none,continuous:optim/beta2,none,False,not_applicable,126000,126000,25200,25200,1.0,25200,4010,21190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
14,continuous,optim/eps,none,continuous:optim/eps,none,False,not_applicable,75600,75600,15120,15120,1.0,15120,2406,12714,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
15,continuous,optim/lr,none,continuous:optim/lr,none,False,not_applicable,126000,126000,25200,25200,1.0,25200,4010,21190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
16,continuous,optim/lr_eff,none,continuous:optim/lr_eff,none,False,not_applicable,50400,50400,10080,10080,1.0,10080,1604,8476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
17,continuous,optim/momentum,none,continuous:optim/momentum,none,False,not_applicable,50400,50400,10080,10080,1.0,10080,1604,8476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
18,continuous,optim/ns_steps,none,continuous:optim/ns_steps,none,False,not_applicable,50400,50400,10080,10080,1.0,10080,1604,8476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
19,continuous,optim/weight_decay,none,continuous:optim/weight_decay,none,False,not_applicable,126000,126000,25200,25200,1.0,25200,4010,21190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,tight,-
20,continuous,overhead/microbatch_cpu_launch/work,none,continuous:overhead/microbatch_cpu_launch/work,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,401,2119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
21,continuous,step/skipped,none,continuous:step/skipped,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,400,2120,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,tight,-
22,periodic,attn/n_undefined_queries/b0,none,periodic:attn/n_undefined_queries/b0,none,True,not_applicable,375,375,75,75,1.0,75,12,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,probe
23,periodic,attn/n_undefined_queries/b1,none,periodic:attn/n_undefined_queries/b1,none,True,not_applicable,375,375,75,75,1.0,75,12,63,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,tight,probe
24,periodic,attn/n_undefined_queries/b2,none,periodic:attn/n_undefined_queries/b2,none,True,not_applicable,375,375,75,75,1.0,75,12,63,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,tight,probe
25,periodic,attn/n_undefined_queries/b3,none,periodic:attn/n_undefined_queries/b3,none,True,not_applicable,375,375,75,75,1.0,75,12,63,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,tight,probe
26,periodic,grad/nonfinite,none,periodic:grad/nonfinite,none,False,not_applicable,1875,1875,375,375,1.0,375,60,315,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,tight,-
27,periodic,muon/norm_degenerate,none,periodic:muon/norm_degenerate,none,False,not_applicable,9750,9750,1950,1950,1.0,1950,312,1638,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723076923076923,0.0,tight,-
28,periodic,muon/u_final_norm_analytic,none,periodic:muon/u_final_norm_analytic,none,False,not_applicable,9750,9750,1950,1950,1.0,1950,312,1638,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
29,periodic,overhead/attention/work,none,periodic:overhead/attention/work,none,False,not_applicable,125,125,25,25,1.0,25,4,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
30,periodic,overhead/grads_ready/periodic_scan/work,none,periodic:overhead/grads_ready/periodic_scan/work,none,False,not_applicable,125,125,25,25,1.0,25,4,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
31,periodic,overhead/noise/work,none,periodic:overhead/noise/work,none,False,not_applicable,125,125,25,25,1.0,25,4,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
32,periodic,overhead/probes/work,none,periodic:overhead/probes/work,none,False,not_applicable,125,125,25,25,1.0,25,4,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
33,periodic,probe/logit_softcap_equiv_err,none,periodic:probe/logit_softcap_equiv_err,none,True,not_applicable,250,250,50,50,1.0,50,8,42,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,tight,probe
34,periodic,probe/n_segments,none,periodic:probe/n_segments,none,True,not_applicable,250,250,50,50,1.0,800,128,672,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,probe
35,periodic,probe/residual_mix_equiv_err,none,periodic:probe/residual_mix_equiv_err,none,True,not_applicable,3000,3000,600,600,1.0,600,96,504,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,tight,probe
