run,direction,step,normalized_progress,is_defined,undefined_reason,code
d12-s7,random,1,0.0003968253968253968,True,,1.0
d12-s7,random,2,0.0007936507936507937,True,,1.0
d12-s7,random,3,0.0011904761904761906,True,,1.0
d12-s7,random,5,0.001984126984126984,True,,1.0
d12-s7,random,9,0.0035714285714285713,True,,1.0
d12-s7,random,17,0.006746031746031746,True,,1.0
d12-s7,random,33,0.013095238095238096,True,,1.0
d12-s7,random,41,0.01626984126984127,True,,1.0
d12-s7,random,65,0.025793650793650792,True,,1.0
d12-s7,random,127,0.0503968253968254,True,,1.0
d12-s7,random,253,0.1003968253968254,True,,1.0
d12-s7,random,379,0.1503968253968254,True,,1.0
d12-s7,random,401,0.15912698412698412,True,,1.0
d12-s7,random,505,0.2003968253968254,True,,1.0
d12-s7,random,631,0.2503968253968254,True,,1.0
d12-s7,random,757,0.3003968253968254,True,,1.0
d12-s7,random,883,0.3503968253968254,True,,1.0
d12-s7,random,1009,0.4003968253968254,True,,1.0
d12-s7,random,1135,0.4503968253968254,True,,1.0
d12-s7,random,1261,0.5003968253968254,True,,1.0
d12-s7,random,1386,0.55,True,,1.0
d12-s7,random,1512,0.6,True,,1.0
d12-s7,random,1638,0.65,True,,1.0
d12-s7,random,1764,0.7,True,,1.0
d12-s7,random,1890,0.75,True,,1.0
d12-s7,random,2016,0.8,True,,1.0
d12-s7,random,2142,0.85,True,,1.0
d12-s7,random,2268,0.9,True,,1.0
d12-s7,random,2394,0.95,True,,1.0
d12-s7,random,2520,1.0,True,,1.0
d12-s7,gradient,1,0.0003968253968253968,True,,1.0
d12-s7,gradient,2,0.0007936507936507937,True,,1.0
d12-s7,gradient,3,0.0011904761904761906,True,,1.0
d12-s7,gradient,5,0.001984126984126984,True,,1.0
d12-s7,gradient,9,0.0035714285714285713,True,,0.0
d12-s7,gradient,17,0.006746031746031746,True,,0.0
d12-s7,gradient,33,0.013095238095238096,True,,0.0
d12-s7,gradient,41,0.01626984126984127,True,,0.0
d12-s7,gradient,65,0.025793650793650792,True,,0.0
d12-s7,gradient,127,0.0503968253968254,True,,0.0
d12-s7,gradient,253,0.1003968253968254,True,,0.0
d12-s7,gradient,379,0.1503968253968254,True,,0.0
d12-s7,gradient,401,0.15912698412698412,True,,0.0
d12-s7,gradient,505,0.2003968253968254,True,,0.0
d12-s7,gradient,631,0.2503968253968254,True,,0.0
d12-s7,gradient,757,0.3003968253968254,True,,0.0
d12-s7,gradient,883,0.3503968253968254,True,,0.0
d12-s7,gradient,1009,0.4003968253968254,True,,0.0
d12-s7,gradient,1135,0.4503968253968254,True,,0.0
d12-s7,gradient,1261,0.5003968253968254,True,,0.0
d12-s7,gradient,1386,0.55,True,,0.0
d12-s7,gradient,1512,0.6,True,,0.0
d12-s7,gradient,1638,0.65,True,,0.0
d12-s7,gradient,1764,0.7,True,,0.0
d12-s7,gradient,1890,0.75,True,,0.0
d12-s7,gradient,2016,0.8,True,,0.0
d12-s7,gradient,2142,0.85,True,,0.0
d12-s7,gradient,2268,0.9,True,,0.0
d12-s7,gradient,2394,0.95,True,,0.0
d12-s7,gradient,2520,1.0,True,,0.0
d12-s7,update,1,0.0003968253968253968,True,,1.0
d12-s7,update,2,0.0007936507936507937,True,,1.0
d12-s7,update,3,0.0011904761904761906,True,,1.0
