metric,run,n,first,last,last_over_first,vmin,vmax,p_at_max,p_at_min,max_over_min,all_positive,spearman_all,spearman_early,spearman_late,frac_steps_up
curvature/gHg,d12-s7,26,315.4484397367994,126.51413350331602,0.40106121180651766,4.192508670297602,315.4484397367994,0.003571,0.013095,75.24097492549909,True,0.6813675213675213,0.06666666666666667,0.7941176470588235,0.56
curvature/gHg,d12-s8,26,178.84657780307367,95.06957184561831,0.5315705394726565,3.744755679347188,178.84657780307367,0.003571,0.050397,47.759211312352285,True,0.705982905982906,-0.21666666666666667,0.9166666666666666,0.56
curvature/gHg,d12-s9,25,9.398479788506863,118.65482422229267,12.624895397167563,3.512471372554584,145.3287908808671,0.7,0.01627,41.37508194840346,True,0.8838461538461538,0.38095238095238093,0.8676470588235294,0.625
curvature/gHg,d12-s10,26,103.5314640807189,150.48145234618516,1.453485215169578,3.51936582211867,169.9408872786547,0.95,0.200397,48.28736081103093,True,0.8092307692307692,-0.38333333333333336,0.9730392156862745,0.6
curvature/gHg,d12-s11,26,14.90200592169497,139.35085183529333,9.351147259471993,1.3439850162144655,210.58383891793247,0.75,0.050397,156.68615079584242,True,0.8427350427350427,-0.25,0.7892156862745098,0.56
curvature/eta_star,d12-s7,26,0.065921361477312,0.0968997117325525,1.4699288600995029,0.065921361477312,0.7646755579936796,0.013095,0.003571,11.599814397899781,True,-0.6403418803418803,-0.06666666666666667,-0.6617647058823529,0.44
curvature/eta_star,d12-s8,26,0.1031703959713116,0.1101400114494596,1.067554412411929,0.0965760695818154,0.8064376849693682,0.250397,0.65,8.35028479064564,True,-0.718974358974359,0.4,-0.8774509803921569,0.48
curvature/eta_star,d12-s9,25,0.4113781319701189,0.0953895662536086,0.23187806750150095,0.0779321447791562,0.8410991495306105,0.01627,0.7,10.792711427538839,True,-0.8515384615384616,-0.16666666666666666,-0.7843137254901961,0.4166666666666667
curvature/eta_star,d12-s10,26,0.1636249613002764,0.0847485132098108,0.5179436715299479,0.0751188041652922,0.9343171003131142,0.200397,0.95,12.437859077964463,True,-0.8037606837606838,0.5,-0.8970588235294118,0.44
curvature/eta_star,d12-s11,26,1.0477606352865387,0.0855893052659494,0.08168784203516358,0.0608358707257822,1.4355853488365256,0.050397,0.75,23.597678996121044,True,-0.8680341880341881,-0.21666666666666667,-0.7303921568627451,0.4
curvature/dhd,d12-s7,26,0.3954442621554737,0.0002018960810825,0.0005105550905758802,0.0002018960810825,0.3954442621554737,0.003571,1.0,1958.6524910995417,True,-0.9186324786324787,-0.21666666666666667,-0.9779411764705882,0.28
curvature/dhd,d12-s8,26,0.4983413251220264,0.0001703716190778,0.00034187736494877674,0.0001703716190778,0.4983413251220264,0.003571,1.0,2925.0254697319006,True,-0.9343589743589743,-0.2,-0.9828431372549019,0.28
curvature/dhd,d12-s9,25,0.099515947900722,0.0001643425228294,0.0016514189564204279,0.0001643425228294,0.2660687959398122,0.050397,1.0,1618.9893605078205,True,-0.9246153846153846,0.07142857142857142,-0.9877450980392157,0.2916666666666667
curvature/dhd,d12-s10,26,0.6233994149660287,0.000168141402334,0.00026971697165157374,0.000168141402334,0.6233994149660287,0.003571,1.0,3707.590196777909,True,-0.92,-0.03333333333333333,-0.9656862745098039,0.24
curvature/dhd,d12-s11,26,1.1023496673802915,0.0002440263568888,0.0002213692842750368,0.0002440263568888,1.1023496673802915,0.003571,1.0,4517.338542584642,True,-0.9343589743589743,-0.23333333333333334,-0.9803921568627451,0.32
curvature/vhv_gradient,d12-s7,26,15.16959014278688,10.319946672625305,0.6803049110415436,1.3077441551969593,15.16959014278688,0.003571,0.013095,11.59981490454621,True,0.6403418803418803,0.06666666666666667,0.6617647058823529,0.56
curvature/vhv_gradient,d12-s8,26,9.692703695904822,9.07935231611646,0.9367203002349588,1.240021295747555,10.354531949202864,0.65,0.250397,8.350285583571827,True,0.718974358974359,-0.4,0.8774509803921569,0.52
curvature/vhv_gradient,d12-s9,25,2.4308535215908136,10.483325957386675,4.3126111319641,1.1889205550732669,12.831676915802236,0.7,0.01627,10.792711809925338,True,0.8515384615384616,0.16666666666666666,0.7843137254901961,0.5833333333333334
