run,metric,n,n_ramp,n_body,n_wd,med_ramp,med_body,med_wd,med_pre,ratio_wd_over_pre,ratio_wd_over_body,sp_pre,sp_wd,sp_all,med_tail,sp_tail
d12-s10,curvature/gHg,26,9,3,14,6.552773020283432,6.798290402713363,116.58394467375732,6.675531711498397,17.464368339820044,17.14900920196434,-0.25874125874125875,0.9516483516483516,0.8092307692307692,130.62610636714635,0.8333333333333334
d12-s10,curvature/eta_star,26,9,3,14,0.5070690680611538,0.5433500216427691,0.09013276519415055,0.5274276952068162,0.17089122549548233,0.16588342984075416,0.42657342657342656,-0.8153846153846154,-0.8037606837606838,0.0899705416553768,-0.5476190476190477
d12-s10,curvature/dhd,26,9,3,14,0.230482867488296,0.1137680359433084,0.03098504326531435,0.18862681633377898,0.1642663745672603,0.2723528011044725,-0.4125874125874126,-0.9956043956043956,-0.92,0.00866477364925685,-1.0
d12-s10,curvature/vhv_gradient,26,9,3,14,1.9721178942344717,1.8404339805353032,11.094745405045767,1.8977237191092708,5.846343855707972,6.028331101460528,-0.42657342657342656,0.8153846153846154,0.8037606837606838,11.114771482363317,0.5476190476190477
d12-s10,curvature/e_curv_gradient,26,9,3,14,0.000800171946542,0.0005683961633089,0.0010938772876378,0.00076430342413085,1.431208147316276,1.9244980143247772,-0.04895104895104895,0.13406593406593406,0.24307692307692308,0.00101982863214515,0.5714285714285714
d12-s10,curvature/gg,26,9,3,14,4.108303269066729,3.693851237448136,10.637058221018007,3.9010772532574327,2.726697660789971,2.8796661092303553,0.02097902097902098,0.9868131868131869,0.7251282051282051,11.490149082581283,0.9523809523809523
d12-s10,curvature/Hg_norm,26,9,3,14,7.54846641767993,7.935254481105662,62.90744899807989,7.741860449392796,8.125624248757132,7.92759062080069,-0.013986013986013986,0.9472527472527472,0.8078632478632478,72.3573601961767,0.8095238095238095
d12-s10,update/direction_norm,26,9,3,14,748.7409429353277,729.2848664317095,420.7599889279793,738.7395585725174,0.5695647187772414,0.5769487456756096,0.34965034965034963,-1.0,-0.628034188034188,253.34185325519127,-1.0
d12-s11,curvature/gHg,26,9,3,14,4.701572495527725,7.168695833768296,147.48054825152724,6.91402079778816,21.3306486290448,20.572856161202566,-0.006993006993006993,0.621978021978022,0.8427350427350427,158.53750461399488,-0.5952380952380952
d12-s11,curvature/eta_star,26,9,3,14,0.7889279557833514,0.5109294624236539,0.0785481273789018,0.5587758016863646,0.14057181277687125,0.1537357564120486,-0.4195804195804196,-0.5164835164835165,-0.8680341880341881,0.07204571513066896,0.6190476190476191
d12-s11,curvature/dhd,26,9,3,14,0.1812469696765818,0.1247358735012423,0.02891201438198055,0.15935571461470516,0.18143067195227264,0.23178588140237463,-0.4755244755244755,-0.9692307692307692,-0.9343589743589743,0.007477478184226999,-1.0
d12-s11,curvature/vhv_gradient,26,9,3,14,1.2675431604541287,1.9572173372584791,12.740643978059147,1.790555165253687,7.115471349498491,6.509570365805808,0.4195804195804196,0.5164835164835165,0.8680341880341881,13.884648247548505,-0.6190476190476191
d12-s11,curvature/e_curv_gradient,26,9,3,14,0.0007530033971217,0.0010653437565342,0.00053205569516725,0.0008851549164625499,0.6010876573939933,0.49942161100952565,-0.013986013986013986,-0.06813186813186813,-0.13025641025641024,0.00053205569516725,0.42857142857142855
d12-s11,curvature/gg,26,9,3,14,3.709201977863918,3.6626979086259226,11.42219618193638,3.6859499432449203,3.098847341339874,3.1185198634690208,0.0979020979020979,0.8505494505494505,0.7114529914529915,12.000100233887046,0.2619047619047619
d12-s11,curvature/Hg_norm,26,9,3,14,7.281943638897076,8.35290745244369,79.61686763672097,7.943714724382345,10.02262422545788,9.531635312615443,0.14685314685314685,0.7802197802197802,0.8557264957264957,82.99567368838524,-0.11904761904761904
d12-s11,update/direction_norm,26,9,3,14,751.5400950836467,746.1405061305044,422.93705148157494,747.4134790567919,0.5658675730805736,0.5668329865576294,0.45454545454545453,-1.0,-0.6355555555555555,253.76321071729018,-1.0
d12-s7,curvature/gHg,26,9,3,14,8.426230826058326,8.68802592512015,133.3330738294373,8.557128375589238,15.581520806652158,15.346762887058647,0.13986013986013987,0.6307692307692307,0.6813675213675213,151.1616424115461,0.19047619047619047
d12-s7,curvature/eta_star,26,9,3,14,0.4138753689925228,0.4286478894637664,0.09049661592131164,0.4212616292281446,0.21482283132960342,0.21112110463094047,-0.0979020979020979,-0.3934065934065934,-0.6403418803418803,0.08416065761707489,-0.23809523809523808
d12-s7,curvature/dhd,26,9,3,14,0.2300888073035895,0.1119009141020356,0.0304507610039745,0.20444544794070346,0.14894320861967206,0.272122540269942,-0.4755244755244755,-0.9824175824175824,-0.9186324786324787,0.0064014441482909,-1.0
d12-s7,curvature/vhv_gradient,26,9,3,14,2.416186080896921,2.3329170542150446,11.054499450310583,2.374551567555983,4.655405088417798,4.738487993106161,0.0979020979020979,0.3934065934065934,0.6403418803418803,11.916688969282134,0.23809523809523808
d12-s7,curvature/e_curv_gradient,26,9,3,14,0.0006213831820089,0.0009507274285156,0.0012820813992529,0.000638032140534,2.0094307446328084,1.3485267814926232,0.23076923076923078,-0.2043956043956044,0.2970940170940171,0.00127631423001825,-0.047619047619047616
d12-s7,curvature/gg,26,9,3,14,4.040009554432396,3.972133553597536,11.554263914181067,4.006071554014966,2.88418810258173,2.9088306720493935,0.11188811188811189,0.8241758241758241,0.7087179487179487,12.442477686488118,0.21428571428571427
d12-s7,curvature/Hg_norm,26,9,3,14,8.205618901101321,9.573127320168078,71.95951332415873,8.930712555451937,8.057533245791186,7.516824013460976,0.2517482517482518,0.6483516483516484,0.6950427350427351,79.06005293701014,0.16666666666666666
d12-s7,update/direction_norm,26,9,3,14,743.6350937298333,733.6820171687967,420.62442738904144,738.2822737660538,0.5697338840920465,0.573306170174632,0.25874125874125875,-1.0,-0.6458119658119658,253.05355461772055,-1.0
d12-s8,curvature/gHg,26,9,3,14,6.148427635057807,8.396267594616255,79.49336874765049,6.393911572858484,12.432666270376947,9.467703101628418,0.03496503496503497,0.8681318681318682,0.705982905982906,94.99552136927264,0.30952380952380953
d12-s8,curvature/eta_star,26,9,3,14,0.6050802476829854,0.4421079657012003,0.12037840382236564,0.5419360415945972,0.2221265879792073,0.2722828203998561,0.16783216783216784,-0.7978021978021979,-0.718974358974359,0.10777747039430191,0.047619047619047616
d12-s8,curvature/dhd,26,9,3,14,0.2324271399346918,0.1096043031473939,0.02616214930410165,0.192083217873673,0.136202160676565,0.23869637005874905,-0.42657342657342656,-0.9868131868131869,-0.9343589743589743,0.0053351688661915,-1.0
d12-s8,curvature/vhv_gradient,26,9,3,14,1.6526734919815325,2.2618909356444923,8.330313764988624,1.8706320083714312,4.453208181891948,3.6828980715708224,-0.16783216783216784,0.7978021978021979,0.718974358974359,9.282837178082064,-0.047619047619047616
d12-s8,curvature/e_curv_gradient,26,9,3,14,0.0010479777714002,0.0028783758973835,0.00075597574850435,0.0011781485790843,0.6416641855918732,0.2626396883018465,0.5384615384615384,-0.11648351648351649,-0.1282051282051282,0.0005089477087153,0.11904761904761904
d12-s8,curvature/gg,26,9,3,14,4.017367080054947,3.8810842833730463,9.262565230112568,3.9492256817139966,2.3454129939954553,2.3865921360673163,0.04195804195804196,0.9736263736263736,0.7217094017094017,10.132174958039071,0.8809523809523809
