run,step,np_,curvature/arith_eps,curvature/eta_star,curvature/eta_star_rho,curvature/eta_star_rho_threshold,curvature/gHg,rho_over_tau
d12-s10,1,0.0003968253968253968,1.1920928955078125e-07,,-4.6757890449934063e-05,9.5367431640625e-07,-6.493417645865375e-05,-49.02920173643006
d12-s10,2,0.0007936507936507937,1.1920928955078125e-07,,-0.0010085922717832923,9.5367431640625e-07,-0.0014420401225345588,-1057.5856499774375
d12-s10,3,0.0011904761904761906,1.1920928955078125e-07,,-0.009203876375685309,9.5367431640625e-07,-0.014771101253577557,-9650.963874510599
d12-s10,5,0.001984126984126984,1.1920928955078125e-07,,-0.12673108753248888,9.5367431640625e-07,-0.3803510526123238,-132887.17684046706
d12-s10,9,0.0035714285714285713,1.1920928955078125e-07,0.16362496130027648,0.3645390557933913,9.5367431640625e-07,103.5314640807189,382246.9049676111
d12-s10,17,0.006746031746031746,1.1920928955078125e-07,0.38771523854851675,0.6114684386470083,9.5367431640625e-07,10.896903571335585,641171.1295227254
d12-s10,33,0.013095238095238096,1.1920928955078125e-07,0.7500110974977072,0.5659270599410441,9.5367431640625e-07,4.28474995704202,593417.5328047402
d12-s10,41,0.01626984126984127,1.1920928955078125e-07,0.6272564782233803,0.6256652764490624,9.5367431640625e-07,5.318757095528546,656057.5929178521
d12-s10,65,0.025793650793650792,1.1920928955078125e-07,0.44318804208040186,0.6788410792875108,9.5367431640625e-07,6.552773020283432,711816.4635549809
d12-s10,127,0.0503968253968254,1.1920928955078125e-07,0.5436342215230117,0.5035703786119639,9.5367431640625e-07,5.121316316145139,528031.8133234186
d12-s10,253,0.1003968253968254,1.1920928955078125e-07,0.4428391944039972,0.42874376558565747,9.5367431640625e-07,10.016565444728364,449570.42274274636
d12-s10,379,0.1503968253968254,1.1920928955078125e-07,0.5070690680611538,0.37987250871107814,9.5367431640625e-07,8.102058531740804,398325.19569422747
d12-s10,401,0.15912698412698412,1.1920928955078125e-07,0.8896974193592473,0.30870269559625546,9.5367431640625e-07,4.831039950405359,323698.23773753917
d12-s10,505,0.2003968253968254,1.1920928955078125e-07,0.9343171003131142,0.36464055011637625,9.5367431640625e-07,3.51936582211867,382353.32947882934
d12-s10,631,0.2503968253968254,1.1920928955078125e-07,0.5433500216427691,0.44575800685014966,9.5367431640625e-07,6.798290402713363,467411.1477909025
d12-s10,757,0.3003968253968254,1.1920928955078125e-07,0.5115053687708632,0.48705960921485786,9.5367431640625e-07,8.38596064926851,510719.0167920788
d12-s10,883,0.3503968253968254,1.1920928955078125e-07,0.25736741860098694,0.5380042001140053,9.5367431640625e-07,20.297114901096695,564138.2921387432
d12-s10,1009,0.4003968253968254,1.1920928955078125e-07,0.13163264447726153,0.5992127948480611,9.5367431640625e-07,50.046034514712716,628320.1555706005
d12-s10,1135,0.4503968253968254,1.1920928955078125e-07,0.2635842926138146,0.5132499231458172,9.5367431640625e-07,22.42645955576896,538181.5514125484
d12-s10,1261,0.5003968253968254,1.1920928955078125e-07,0.164069495166484,0.5178478204925938,9.5367431640625e-07,41.738508015812144,543002.796220842
d12-s10,1386,0.55,1.1920928955078125e-07,0.10979519358077723,0.5701207931160742,9.5367431640625e-07,79.62415867130586,597814.9807624806
d12-s10,1512,0.6,1.1920928955078125e-07,0.08975887001393051,0.57811915379359,9.5367431640625e-07,108.01095709977005,606201.8698082675
d12-s10,1638,0.65,1.1920928955078125e-07,0.10214594186687448,0.5609226595518585,9.5367431640625e-07,97.84983835878039,588170.0386622496
d12-s10,1764,0.7,1.1920928955078125e-07,0.09012007835914518,0.5662610924405455,9.5367431640625e-07,125.1569322477446,593767.7912669374
d12-s10,1890,0.75,1.1920928955078125e-07,0.08451048930007715,0.5435837402450269,9.5367431640625e-07,135.510539630681,569988.8640111693
d12-s10,2016,0.8,1.1920928955078125e-07,0.09009735171185522,0.5353274196461185,9.5367431640625e-07,126.5014242480078,561331.4843828484
d12-s10,2142,0.85,1.1920928955078125e-07,0.08984373159889848,0.5210562271557676,9.5367431640625e-07,128.31430696938637,546367.0544460862
d12-s10,2268,0.9,1.1920928955078125e-07,0.09014545202915607,0.5319839978443985,9.5367431640625e-07,132.9379057649063,557825.652523688
d12-s10,2394,0.95,1.1920928955078125e-07,0.07511880416529221,0.5393665463253297,9.5367431640625e-07,169.9408872786547,565566.8156796289
d12-s10,2520,1.0,1.1920928955078125e-07,0.08474851320981089,0.5116551859166131,9.5367431640625e-07,150.48145234618516,536509.3482276985
d12-s11,1,0.0003968253968253968,1.1920928955078125e-07,1075.8770413565974,0.0030789217466424125,9.5367431640625e-07,0.004138812809808882,3228.4834494073143
d12-s11,2,0.0007936507936507937,1.1920928955078125e-07,753.6182696227223,0.0044232235715447165,9.5367431640625e-07,0.005909225057328066,4638.086079756073
d12-s11,3,0.0011904761904761906,1.1920928955078125e-07,4656.736034566307,0.0006451118205196513,9.5367431640625e-07,0.0009616727352510471,676.4487723132139
d12-s11,5,0.001984126984126984,1.1920928955078125e-07,,-0.09586155344323946,9.5367431640625e-07,-0.25526310989191975,-100518.12426329826
d12-s11,9,0.0035714285714285713,1.1920928955078125e-07,1.0477606352865387,0.12570216609397783,9.5367431640625e-07,14.90200592169497,131808.2745141589
d12-s11,17,0.006746031746031746,1.1920928955078125e-07,0.3955534936977676,0.5760331652245787,9.5367431640625e-07,10.044935016600348,604014.5522585278
d12-s11,33,0.013095238095238096,1.1920928955078125e-07,0.8109711478586533,0.5445966718653577,9.5367431640625e-07,3.8468058143420016,571050.9997978893
d12-s11,41,0.01626984126984127,1.1920928955078125e-07,0.806450990633268,0.5781643310430625,9.5367431640625e-07,3.7254789362699317,606249.2415878103
d12-s11,65,0.025793650793650792,1.1920928955078125e-07,0.5715013496386013,0.6243015838100326,9.5367431640625e-07,4.4894202000387775,654627.6575451888
d12-s11,127,0.0503968253968254,1.1920928955078125e-07,1.4355853488365256,0.43431510440885374,9.5367431640625e-07,1.3439850162144655,455412.3949206182
d12-s11,253,0.1003968253968254,1.1920928955078125e-07,0.49887667685373566,0.4414070953560368,9.5367431640625e-07,7.985071498674179,462848.8864200516
d12-s11,379,0.1503968253968254,1.1920928955078125e-07,0.5210606138681592,0.40552244030446094,9.5367431640625e-07,7.631966248523605,425221.09836469044
d12-s11,401,0.15912698412698412,1.1920928955078125e-07,0.7889279557833514,0.3352398074043454,9.5367431640625e-07,4.701572495527725,351524.4162888189
d12-s11,505,0.2003968253968254,1.1920928955078125e-07,0.5460502537341279,0.4634936308150918,9.5367431640625e-07,6.659345761808025,486008.2974255657
d12-s11,631,0.2503968253968254,1.1920928955078125e-07,0.5109294624236539,0.44843751154334477,9.5367431640625e-07,7.168695833768296,470220.8121040743
d12-s11,757,0.3003968253968254,1.1920928955078125e-07,0.402287602641122,0.4924048523583695,9.5367431640625e-07,9.935848505566938,516323.91046652966
d12-s11,883,0.3503968253968254,1.1920928955078125e-07,0.2779085908929388,0.5386487765610479,9.5367431640625e-07,17.045901379645205,564814.1795312774
d12-s11,1009,0.4003968253968254,1.1920928955078125e-07,0.23940904831023527,0.5010652006433345,9.5367431640625e-07,23.450818449633033,525404.9438297851
d12-s11,1135,0.4503968253968254,1.1920928955078125e-07,0.20525142200281193,0.5362285119748684,9.5367431640625e-07,32.74033423301164,562276.3481725596
d12-s11,1261,0.5003968253968254,1.1920928955078125e-07,0.08220910820898347,0.6104683129995884,9.5367431640625e-07,114.66094856847461,640122.4217718564
d12-s11,1386,0.55,1.1920928955078125e-07,0.06850178916623688,0.6434282361870882,9.5367431640625e-07,148.28406780955336,674683.4061881122
d12-s11,1512,0.6,1.1920928955078125e-07,0.13022362477589738,0.5314090454469662,9.5367431640625e-07,66.85239808415423,557222.771238598
d12-s11,1638,0.65,1.1920928955078125e-07,0.07073810575307934,0.588910187232443,9.5367431640625e-07,158.34762605114798,617517.0884874462
d12-s11,1764,0.7,1.1920928955078125e-07,0.07335332450825867,0.5752178248670128,9.5367431640625e-07,158.72738317684178,603159.6059277528
d12-s11,1890,0.75,1.1920928955078125e-07,0.060835870725782254,0.5829513847433219,9.5367431640625e-07,210.58383891793247,611268.8312086135
d12-s11,2016,0.8,1.1920928955078125e-07,0.0651309375996591,0.5681416272106969,9.5367431640625e-07,200.63653638910418,595739.6748940838
d12-s11,2142,0.85,1.1920928955078125e-07,0.06723672963987577,0.5621415821029194,9.5367431640625e-07,182.09556116374654,589448.1715951508
d12-s11,2268,0.9,1.1920928955078125e-07,0.08070386506025212,0.5268056928996521,9.5367431640625e-07,146.6770286935011,552395.8062379456
d12-s11,2394,0.95,1.1920928955078125e-07,0.07639238969755151,0.5346936660520811,9.5367431640625e-07,158.04267831878087,560666.945574227
d12-s11,2520,1.0,1.1920928955078125e-07,0.08558930526594943,0.5114470551508645,9.5367431640625e-07,139.35085183529333,536291.1073018729
d12-s7,1,0.0003968253968253968,1.1920928955078125e-07,1080.6111853305417,0.0029400699546923443,9.5367431640625e-07,0.0041063801606883,3082.8867928114796
d12-s7,2,0.0007936507936507937,1.1920928955078125e-07,3954.7728237234633,0.000767523297859429,9.5367431640625e-07,0.0011227151057668192,804.8065095762486
d12-s7,3,0.0011904761904761906,1.1920928955078125e-07,,-0.010503160684521418,9.5367431640625e-07,-0.017485297688507477,-11013.36221793273
d12-s7,5,0.001984126984126984,1.1920928955078125e-07,,-0.13852544656599622,9.5367431640625e-07,-0.4443569948640708,-145254.45865838605
d12-s7,9,0.0035714285714285713,1.1920928955078125e-07,0.06592136147731201,0.5236366120099774,9.5367431640625e-07,315.4484397367994,549072.784074974
d12-s7,17,0.006746031746031746,1.1920928955078125e-07,0.41387536899252286,0.591848119789394,9.5367431640625e-07,9.761415771773997,620597.7340562836
d12-s7,33,0.013095238095238096,1.1920928955078125e-07,0.7646755579936796,0.5666651909767116,9.5367431640625e-07,4.192508670297602,594191.5192935964
d12-s7,41,0.01626984126984127,1.1920928955078125e-07,0.6665684067873251,0.6055238674708995,9.5367431640625e-07,4.878255984515916,634937.7948571659
d12-s7,65,0.025793650793650792,1.1920928955078125e-07,0.4012023227137871,0.675469763525642,9.5367431640625e-07,7.509752508488807,708281.3827586636
d12-s7,127,0.0503968253968254,1.1920928955078125e-07,0.6497290725596204,0.4916011381104792,9.5367431640625e-07,5.100789934343602,515481.1549953338
d12-s7,253,0.1003968253968254,1.1920928955078125e-07,0.3687556337225232,0.45224870356744135,9.5367431640625e-07,13.24354093966755,474217.1365919334
d12-s7,379,0.1503968253968254,1.1920928955078125e-07,0.5544521654894169,0.3500309542417389,9.5367431640625e-07,8.426230826058326,367034.0578749856
d12-s7,401,0.15912698412698412,1.1920928955078125e-07,0.3968610620429075,0.41888700983437616,9.5367431640625e-07,12.022194149534279,439234.8652240908
d12-s7,505,0.2003968253968254,1.1920928955078125e-07,0.5287406628368188,0.45478262437567457,9.5367431640625e-07,7.512441982967793,476874.14513734734
d12-s7,631,0.2503968253968254,1.1920928955078125e-07,0.4286478894637664,0.4702798535359732,9.5367431640625e-07,8.68802592512015,493124.1677013366
d12-s7,757,0.3003968253968254,1.1920928955078125e-07,0.3777957245304974,0.5010139580776866,9.5367431640625e-07,11.725514475968428,525351.2121052683
d12-s7,883,0.3503968253968254,1.1920928955078125e-07,0.17051839744657468,0.5785008551033215,9.5367431640625e-07,35.97453334582263,606602.1126408204
d12-s7,1009,0.4003968253968254,1.1920928955078125e-07,0.11920153707001527,0.5807799500705062,9.5367431640625e-07,65.9508472992745,608991.9169251311
d12-s7,1135,0.4503968253968254,1.1920928955078125e-07,0.11336725616317245,0.5786741358704174,9.5367431640625e-07,74.78297252409213,606783.8106944588
d12-s7,1261,0.5003968253968254,1.1920928955078125e-07,0.07309810081049109,0.6170058219889594,9.5367431640625e-07,148.07226164716096,646977.4967978951
d12-s7,1386,0.55,1.1920928955078125e-07,0.09229425003684788,0.5606467588760858,9.5367431640625e-07,109.23757290289501,587880.7358352506
d12-s7,1512,0.6,1.1920928955078125e-07,0.07665011353770664,0.5893156003881784,9.5367431640625e-07,153.83214556496733,617942.1949926346
d12-s7,1638,0.65,1.1920928955078125e-07,0.13498286510224256,0.5451183790883966,9.5367431640625e-07,77.94194361071344,571598.0494709945
d12-s7,1764,0.7,1.1920928955078125e-07,0.11010352736249714,0.5105548558897803,9.5367431640625e-07,102.78759160728944,535355.5685694823
d12-s7,1890,0.75,1.1920928955078125e-07,0.07452615302178349,0.5599428097647936,9.5367431640625e-07,172.1468385368341,587142.5916919282
d12-s7,2016,0.8,1.1920928955078125e-07,0.07962233342837435,0.5400816459849157,9.5367431640625e-07,162.4352958425821,566316.652020279
d12-s7,2142,0.85,1.1920928955078125e-07,0.07596227240516723,0.5568902809223567,9.5367431640625e-07,163.94473236562118,583941.7832084411
d12-s7,2268,0.9,1.1920928955078125e-07,0.0788251689089705,0.5445961350308337,9.5367431640625e-07,162.1712706675336,571050.4368860915
d12-s7,2394,0.95,1.1920928955078125e-07,0.08869898180577553,0.5311896731137427,9.5367431640625e-07,140.1520141555586,556992.7426749158
d12-s7,2520,1.0,1.1920928955078125e-07,0.09689971173255252,0.5091055425321235,9.5367431640625e-07,126.51413350331602,533835.8533661639
d12-s8,1,0.0003968253968253968,1.1920928955078125e-07,877.8500135121153,0.0038380872022656548,9.5367431640625e-07,0.004986901465134238,4024.526126202911
d12-s8,2,0.0007936507936507937,1.1920928955078125e-07,953.1486474614816,0.0033922774900450392,9.5367431640625e-07,0.004594376637708098,3557.060761401467
d12-s8,3,0.0011904761904761906,1.1920928955078125e-07,,-0.003666174921826589,9.5367431640625e-07,-0.005575797167275218,-3844.2630348292373
d12-s8,5,0.001984126984126984,1.1920928955078125e-07,,-0.11616923785066684,9.5367431640625e-07,-0.32965714672602303,-121812.27474850083
d12-s8,9,0.0035714285714285713,1.1920928955078125e-07,0.10317039597131165,0.40958761223676904,9.5367431640625e-07,178.84657780307367,429483.74008878233
d12-s8,17,0.006746031746031746,1.1920928955078125e-07,0.4014057144365423,0.6012425334349936,9.5367431640625e-07,10.209731474864777,630448.4907391318
d12-s8,33,0.013095238095238096,1.1920928955078125e-07,0.7116325734949981,0.5809385292354444,9.5367431640625e-07,4.654218244906793,609158.1992315854
d12-s8,41,0.01626984126984127,1.1920928955078125e-07,0.6778625778289687,0.6124799800135952,9.5367431640625e-07,4.761068310071593,642231.8075227356
d12-s8,65,0.025793650793650792,1.1920928955078125e-07,0.4787918355062089,0.6737506889303534,9.5367431640625e-07,6.148427635057807,706478.8023958342
d12-s8,127,0.0503968253968254,1.1920928955078125e-07,0.7788815360777447,0.40662097903903077,9.5367431640625e-07,3.744755679347188,426372.99971683073
d12-s8,253,0.1003968253968254,1.1920928955078125e-07,0.7231334577197072,0.36431438004590816,9.5367431640625e-07,5.853803963061918,382011.3153710182
d12-s8,379,0.1503968253968254,1.1920928955078125e-07,0.463730061034626,0.43658173382151605,9.5367431640625e-07,9.50186874007483,457789.12812363
d12-s8,401,0.15912698412698412,1.1920928955078125e-07,0.6050802476829854,0.3901942335179556,9.5367431640625e-07,6.639395510659162,409148.30860532384
d12-s8,505,0.2003968253968254,1.1920928955078125e-07,0.4421079657012003,0.5022406150750307,9.5367431640625e-07,8.396267594616255,526637.4551929154
d12-s8,631,0.2503968253968254,1.1920928955078125e-07,0.8064376849693682,0.2601382415891369,9.5367431640625e-07,4.812627628532099,272774.7168125708
d12-s8,757,0.3003968253968254,1.1920928955078125e-07,0.3136153898012159,0.5315171557564863,9.5367431640625e-07,13.396606036507782,557336.1331145134
d12-s8,883,0.3503968253968254,1.1920928955078125e-07,0.3542238055934124,0.5045611878332701,9.5367431640625e-07,12.414887969033433,529070.752093459
d12-s8,1009,0.4003968253968254,1.1920928955078125e-07,0.37240027808544385,0.46302854613254885,9.5367431640625e-07,12.721838895213468,485520.62078948354
d12-s8,1135,0.4503968253968254,1.1920928955078125e-07,0.21860094989281317,0.4998988437046752,9.5367431640625e-07,28.991784372060817,524181.9299364735
d12-s8,1261,0.5003968253968254,1.1920928955078125e-07,0.26325628945682183,0.48118361936825954,9.5367431640625e-07,22.739956573255988,504557.5948626921
d12-s8,1386,0.55,1.1920928955078125e-07,0.15790424385322815,0.4844240404195243,9.5367431640625e-07,48.441263743443145,507955.4226069431
d12-s8,1512,0.6,1.1920928955078125e-07,0.1536598078800576,0.5073524174746181,9.5367431640625e-07,52.373778854559475,531997.5685058652
d12-s8,1638,0.65,1.1920928955078125e-07,0.0965760695818154,0.562034784199295,9.5367431640625e-07,99.45628821009375,589336.1858765599
d12-s8,1764,0.7,1.1920928955078125e-07,0.12672784707564555,0.5205802027742842,9.5367431640625e-07,70.38731624923406,545867.9067042478
d12-s8,1890,0.75,1.1920928955078125e-07,0.10541492933914423,0.5362184828949383,9.5367431640625e-07,94.92147089292698,562265.8319200429
d12-s8,2016,0.8,1.1920928955078125e-07,0.11074793679020065,0.5147303039668621,9.5367431640625e-07,91.75295087994515,539733.8432123564
d12-s8,2142,0.85,1.1920928955078125e-07,0.10218298569526449,0.5266545783571712,9.5367431640625e-07,100.36568802282375,552237.3511554492
d12-s8,2268,0.9,1.1920928955078125e-07,0.11402896056908585,0.5109930287544194,9.5367431640625e-07,88.59942124606692,535815.0261191941
d12-s8,2394,0.95,1.1920928955078125e-07,0.10051394374369613,0.5329882509669045,9.5367431640625e-07,105.90240667062449,558878.6882458729
d12-s8,2520,1.0,1.1920928955078125e-07,0.11014001144945969,0.5114550000195646,9.5367431640625e-07,95.06957184561833,536299.4381005149
d12-s9,1,0.0003968253968253968,1.1920928955078125e-07,2831.381568008452,0.0011404994979344854,9.5367431640625e-07,0.0015444044171258524,1195.900401546151
d12-s9,2,0.0007936507936507937,1.1920928955078125e-07,1442.2493008869376,0.002330172880263279,9.5367431640625e-07,0.0030326315026537,2443.363358094948
d12-s9,3,0.0011904761904761906,1.1920928955078125e-07,,-0.0015405228130574665,9.5367431640625e-07,-0.002225785390410197,-1615.355249224546
d12-s9,5,0.001984126984126984,1.1920928955078125e-07,,-0.09722554972316119,9.5367431640625e-07,-0.249485230143363,-101948.37802651347
d12-s9,9,0.0035714285714285713,1.1920928955078125e-07,,-0.009637204734321116,9.5367431640625e-07,-0.6394499342064379,-10105.341591495499
d12-s9,17,0.006746031746031746,1.1920928955078125e-07,0.41137813197011897,0.5563477698703553,9.5367431640625e-07,9.398479788506863,583372.9191395777
d12-s9,33,0.013095238095238096,1.1920928955078125e-07,0.7886007123113851,0.5467671312227852,9.5367431640625e-07,3.8786973771296975,573326.8913890632
