metric,run,n,first,last,last_over_first,vmax,p_at_max,spearman_all,spearman_late
curvature/gHg,d14-s7,28,134.2528118877825,375.1818054630892,2.794591786849807,574.597424372906,0.700186,0.8467432950191571,0.8369453044375645
curvature/gHg,d16-s7,29,514.1108939261466,306.8773339995653,0.5969088335320298,514.1108939261466,0.001674,0.7,0.847265221878225
curvature/eta_star,d14-s7,28,0.140348897661944,0.0471619458982864,0.33603360399655274,0.8369062297517174,0.106677,-0.8549534756431308,-0.8142414860681114
curvature/eta_star,d16-s7,29,0.0538581120007993,0.0537718079958757,0.9983975672054319,0.8319190220655862,0.023996,-0.774384236453202,-0.8369453044375645
curvature/dhd,d14-s7,28,0.5206435577809829,0.000127219043196,0.00024434959636918574,0.5206435577809829,0.002394,-0.9480021893814997,-0.9855521155830753
curvature/dhd,d16-s7,29,0.4802037516873118,0.0001076214125467,0.00022411614271764058,0.4802037516873118,0.001674,-0.952216748768473,-0.9587203302373581
curvature/vhv_gradient,d14-s7,28,7.125100688626499,21.20353274702964,2.975892366107325,28.96537316985136,0.84996,0.8549534756431308,0.8142414860681114
curvature/vhv_gradient,d16-s7,29,18.567304019026043,18.59710646126436,1.0016051033692226,21.00478130613012,0.800037,0.774384236453202,0.8369453044375645
curvature/e_curv_gradient,d14-s7,28,0.0012880306028032,0.000507941782748,0.39435536829834866,0.0028055263988871,0.550146,-0.038314176245210725,-0.304437564499484
curvature/e_curv_gradient,d16-s7,29,0.0003503563959592,2.458938133400823e-05,0.07018390877862475,0.0045309624952081,0.700149,0.5305418719211823,0.4757481940144479
curvature/gg,d14-s7,28,18.84223415646661,17.694304011271647,0.939076749834308,20.833566919064737,0.700186,0.7668308702791461,0.7936016511867905
curvature/gg,d16-s7,29,27.68904210590548,16.501349082110863,0.5959523272418109,27.68904210590548,0.001674,0.6827586206896552,0.8390092879256966
