metric,p,n,median,lo,hi,sd,sd_rel,range_rel
curvature/gHg,0.006746,5,10.044935016600348,9.398479788506863,10.896903571335583,0.5589698774220709,0.055646938133329125,0.14917207332376084
curvature/gHg,0.013095,5,4.192508670297602,3.8468058143420016,4.654218244906793,0.33069754196874485,0.07887820109034396,0.1925845583301984
curvature/gHg,0.01627,5,4.761068310071593,3.512471372554584,5.318757095528546,0.7807390339287633,0.1639840017159979,0.37938664294165525
curvature/gHg,0.025794,5,6.148427635057807,3.825911702041756,7.509752508488807,1.5150153076510968,0.24640695110610222,0.5991516896843848
curvature/gHg,0.050397,5,5.100789934343602,1.3439850162144655,14.016186220010496,4.809208117650256,0.9428359488537007,2.4843605337428505
curvature/gHg,0.100397,5,10.016565444728364,5.853803963061918,13.24354093966755,2.7645113548669897,0.2759939392520946,0.7377515793594489
curvature/gHg,0.150397,5,8.426230826058326,7.631966248523605,10.247924649756587,1.06988501907229,0.12697077034296808,0.31045415859521286
curvature/gHg,0.159127,5,6.585549161815608,4.701572495527725,12.02219414953428,2.9791648980829546,0.45237911446425394,1.1116190121930987
curvature/gHg,0.200397,5,7.080658884982537,3.51936582211867,8.396267594616255,1.8559592724809881,0.26211674684926806,0.6887638356426222
curvature/gHg,0.250397,5,7.168695833768296,4.812627628532099,9.318886568302132,1.7636662164424604,0.24602330149574386,0.6286023349663132
curvature/gHg,0.300397,5,10.06882974559654,8.38596064926851,13.396606036507782,1.914445938728049,0.19013589335595876,0.49763930008158164
curvature/gHg,0.350397,5,17.045901379645205,10.14339245397013,35.97453334582263,10.189278345677781,0.5977553265587333,1.5153872075487833
curvature/gHg,0.400397,5,23.450818449633037,12.721838895213468,65.9508472992745,23.015819487501556,0.9814505850588644,2.2698145277268127
curvature/gHg,0.450397,5,32.74033423301164,22.42645955576896,74.78297252409213,20.75851339116795,0.6340348648682218,1.5991441197791074
curvature/gHg,0.500397,5,73.2838153317508,22.739956573255988,148.07226164716096,51.533791190629536,0.7032083544960044,1.7102317135991654
curvature/gHg,0.55,5,98.62268530336284,48.441263743443145,148.28406780955336,36.88560945154455,0.3740073527513941,1.0123715832619473
curvature/gHg,0.6,5,108.01095709977004,52.37377885455948,153.83214556496733,41.32603847854313,0.3826096869076917,0.9393340216094046
curvature/gHg,0.65,5,99.45628821009376,77.94194361071344,158.34762605114798,30.163935719213143,0.30328837182717044,0.8084524758312287
curvature/gHg,0.7,5,125.1569322477446,70.38731624923406,158.72738317684178,35.08737905117687,0.28034706844461793,0.7058343900019941
curvature/gHg,0.75,5,135.510539630681,94.92147089292698,210.58383891793247,45.28013111969199,0.3341447185074901,0.8535304216205655
curvature/gHg,0.8,5,130.47381320916568,91.75295087994516,200.63653638910415,41.08838485090894,0.31491671654479175,0.8345244369811213
curvature/gHg,0.85,5,136.89331941819273,100.36568802282376,182.0955611637465,31.76278038689094,0.23202578856210976,0.5970333211896758
curvature/gHg,0.9,5,142.12293400258343,88.59942124606692,162.1712706675336,27.755141977007252,0.19528967771311795,0.5176634576100809
curvature/gHg,0.95,5,140.1520141555586,105.90240667062449,169.9408872786547,25.538696441055965,0.18222140148988414,0.45692158613540973
curvature/gHg,1.0,5,126.51413350331602,95.06957184561831,150.48145234618516,21.14528952568635,0.16713776508718783,0.4379896456320785
curvature/eta_star,0.006746,5,0.4014057144365423,0.3877152385485167,0.4138753689925228,0.010896533143741402,0.027145934280076174,0.06517129553256953
curvature/eta_star,0.013095,5,0.7646755579936796,0.7116325734949981,0.8109711478586533,0.03789141037780025,0.049552270870561084,0.12990944110243982
curvature/eta_star,0.01627,5,0.6778625778289687,0.6272564782233803,0.8410991495306105,0.09393697229611048,0.13857819470867985,0.3154661111284783
curvature/eta_star,0.025794,5,0.4787918355062089,0.4012023227137871,0.6372891929071262,0.0964296117295088,0.20140195504285768,0.4930887552494147
curvature/eta_star,0.050397,5,0.6497290725596204,0.203891403212491,1.4355853488365256,0.452192691891843,0.6959711531922391,1.8957039135893243
curvature/eta_star,0.100397,5,0.4428391944039972,0.3687556337225232,0.7231334577197072,0.1376729835997882,0.31088707896571294,0.8002404224272187
curvature/eta_star,0.150397,5,0.5070690680611538,0.4236071974197242,0.5544521654894169,0.05106113058523509,0.10069857106542533,0.2580417073555598
curvature/eta_star,0.159127,5,0.6050802476829854,0.3968610620429075,0.8896974193592473,0.19079446558549987,0.31532092861418476,0.8144975136827592
curvature/eta_star,0.200397,5,0.5287406628368188,0.4421079657012003,0.9343171003131142,0.1971148012289779,0.3728005335761588,0.9309084192070559
curvature/eta_star,0.250397,5,0.5109294624236539,0.4265832373209262,0.8064376849693682,0.15576997762837713,0.30487570023749255,0.7434577091063761
curvature/eta_star,0.300397,5,0.402287602641122,0.3136153898012159,0.5115053687708632,0.07148779746363702,0.1777032078401153,0.49191170115720306
curvature/eta_star,0.350397,5,0.2779085908929388,0.1705183974465746,0.4227881227241204,0.09621469808009617,0.34620987343698856,0.907743529867092
curvature/eta_star,0.400397,5,0.2394090483102352,0.1192015370700152,0.3724002780854438,0.10703396435627303,0.44707568536663833,1.0575988785825847
curvature/eta_star,0.450397,5,0.2052514220028119,0.1133672561631724,0.2635842926138146,0.05526361526943872,0.26924839170508463,0.7318684323102242
curvature/eta_star,0.500397,5,0.1157950130254114,0.073098100810491,0.2632562894568218,0.07773752623287931,0.6713374281137625,1.6421967032777158
curvature/eta_star,0.55,5,0.0922942500368478,0.0685017891662368,0.1579042438532281,0.033687469212927215,0.3650007362265552,0.9686676542828837
curvature/eta_star,0.6,5,0.0897588700139305,0.0766501135377066,0.1536598078800576,0.03360378278131449,0.37437840712677434,0.8579619410360131
curvature/eta_star,0.65,5,0.0965760695818154,0.0707381057530793,0.1349828651022425,0.023030780528607835,0.2384729532723122,0.6652244145713302
curvature/eta_star,0.7,5,0.0901200783591451,0.0733533245082586,0.1267278470756455,0.022452066513096763,0.24913500877818975,0.5922600550199213
curvature/eta_star,0.75,5,0.0845104893000771,0.0608358707257822,0.1054149293391442,0.016557537441935256,0.19592286802580555,0.5274973436146149
curvature/eta_star,0.8,5,0.0849951087528987,0.0651309375996591,0.1107479367902006,0.01663114834281609,0.1956718284950591,0.5367014627060616
curvature/eta_star,0.85,5,0.0823677378322044,0.0672367296398757,0.1021829856952644,0.01334061895075301,0.16196412942564817,0.4242711645982015
curvature/eta_star,0.9,5,0.0807038650602521,0.0788251689089705,0.1140289605690858,0.014994492061086738,0.18579645534810646,0.43620948803174137
curvature/eta_star,0.95,5,0.0886989818057755,0.0751188041652922,0.1005139437436961,0.01050368247345906,0.11841942556295645,0.2863070021932353
curvature/eta_star,1.0,5,0.0953895662536086,0.0847485132098108,0.1101400114494596,0.010315493306109308,0.10814068782621256,0.26618737496029066
