run,step,p,curvature/arith_eps,curvature/eta_star,curvature/eta_star_rho,curvature/eta_star_rho_threshold,curvature/gHg,curvature/gg,curvature/verdict_code_gradient,eta_reason,certified,eta_defined,rho_over_tau
d12-s10,1,0.75,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.7502,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.799947,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.8,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.800037,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.84996,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.85,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.850074,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.899973,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.9,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.900112,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.949963,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.949987,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,0.95,,,,,,,,gHg_not_positive,False,False,
d12-s10,1,1.0,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.000186,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.000266,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.000372,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.000397,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.000532,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.000558,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.000794,1.1920928955078125e-07,,-0.0010085922717832923,9.5367431640625e-07,-0.0014420401225345588,4.375663723781543,1.0,gHg_not_positive,False,False,-1057.5856499774375
d12-s10,2,0.000798,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.00093,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.00119,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.00133,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.001674,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.001984,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.002394,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.003162,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.003571,,,,,,,,gHg_not_positive,False,False,
d12-s10,2,0.004522,,,,,,,,gHg_not_positive,False,False,
