mclass,n_families,n_pairs,median_rel,median_abs_rel,ci_lo,ci_hi,q25,q75,sign_disagree,rho_progress,p_progress
error,9,1935,9281.004290167337,10012.778169715459,9330.55071596973,11099.860315489801,35.652981439034704,15213.239215066269,0.12041343669250645,-0.037581471814675124,0.0998
flag,6,1290,1.0,1.0,1.0,1.0,-1.0,1.0,0.3434108527131783,-0.0010647268636335427,0.9792
floor,14,3010,654.7422910870911,654.7422910870911,654.4676342697434,656.4650792304175,1.9999999999999996,65535.0,0.0,0.05325375869009157,0.0044
quadratic,9,1906,-3.664551671254504e-05,0.003412386463586654,0.002898137663187217,0.003811511780988498,-0.0028810675512945284,0.004053530466019863,0.0,-0.07438521249356828,0.0015
snr,6,1290,-0.9979739442529862,0.9979739442529862,0.9977661426700737,0.9983076966634032,-0.9995248227714434,-0.9827515061439636,0.008527131782945736,-0.518572290269214,0.0
update,9,1935,0.0,0.005359375409821733,0.004720727399005229,0.006497512028621952,-0.0037091213096529137,0.007896385502318314,0.053229974160206715,0.16389890289615067,0.0
