mclass,d12_pooled,d14,d16,d12_seed_mean,d12_seed_sd,d12_seed_sd_rel,d12_seed_lo,d12_seed_hi,d16_over_d12,d16_z_vs_d12_seeds,d14_z_vs_d12_seeds
error,10894.726939626515,8274.366724870843,9386.668426332933,11040.876789800905,381.72157295851173,0.03457348363049663,10618.297856979281,11552.588518362389,0.8615790444633871,-4.333546963686442,-7.247455373004938
flag,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,
floor,654.6932290170143,654.3818818607435,654.9442728048195,655.8818400022208,2.9518378316188563,0.004500563442355504,654.4461178192385,661.1588941331033,1.0003834525494972,-0.31762151272620504,-0.5081438165099418
quadratic,0.003084616540762227,0.003661696563194041,0.004144471245078181,0.0031364749797011355,0.0005487126697315311,0.1749456550052939,0.002744839017595924,0.004024086913802999,1.3435936656340621,1.837020212910754,0.9571887300322062
snr,0.998290065001074,0.9978524768755838,0.997295249858806,0.9983094726323898,6.461907639625157e-05,6.472850169983956e-05,0.9982154138902499,0.9983721793321283,0.9990034808748027,-15.695408076779549,-7.072149313983878
update,0.005034209811720914,0.008471165750826827,0.00537768394052502,0.004829431167310461,0.0004850334824141876,0.1004328389018754,0.004178727976341879,0.005406983078758136,1.0682280122700512,1.1303400550529135,7.5082127637666005
