run,depth,seed,segment,arm,metric,family,direction,step,progress,value,estimator_id,dtype
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_update,e_lin,update,2,0.0007936507936507937,6.923134655666595e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_update,verdict_code,update,2,0.0007936507936507937,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_random,e_sym,random,2,0.0007936507936507937,0.008452453005935763,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_random,e_lin,random,2,0.0007936507936507937,0.011936707130678703,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_random,verdict_code,random,2,0.0007936507936507937,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_gradient,e_sym,gradient,2,0.0007936507936507937,0.006551642620711619,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_gradient,e_lin,gradient,2,0.0007936507936507937,0.01682209510070973,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_gradient,verdict_code,gradient,2,0.0007936507936507937,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_update,e_sym,update,2,0.0007936507936507937,0.005698388453994147,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_update,e_lin,update,2,0.0007936507936507937,0.0220216218662642,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_update,verdict_code,update,2,0.0007936507936507937,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_random,e_sym,random,3,0.0011904761904761906,2.328798522989868e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_random,e_lin,random,3,0.0011904761904761906,7.747410177468706e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_random,verdict_code,random,3,0.0011904761904761906,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_gradient,e_sym,gradient,3,0.0011904761904761906,4.676074351088379e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_gradient,e_lin,gradient,3,0.0011904761904761906,1.9221788236605172e-05,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_gradient,verdict_code,gradient,3,0.0011904761904761906,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_update,e_sym,update,3,0.0011904761904761906,4.7478353735276364e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_update,e_lin,update,3,0.0011904761904761906,6.519601847411359e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_update,verdict_code,update,3,0.0011904761904761906,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_random,e_sym,random,3,0.0011904761904761906,0.011611750792682082,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_random,e_lin,random,3,0.0011904761904761906,0.01186147364127966,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_random,verdict_code,random,3,0.0011904761904761906,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_gradient,e_sym,gradient,3,0.0011904761904761906,0.00783939831328271,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_gradient,e_lin,gradient,3,0.0011904761904761906,0.00625825835641989,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_gradient,verdict_code,gradient,3,0.0011904761904761906,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_update,e_sym,update,3,0.0011904761904761906,0.004175029503151047,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_update,e_lin,update,3,0.0011904761904761906,0.025799400961729613,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_update,verdict_code,update,3,0.0011904761904761906,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_random,e_sym,random,5,0.001984126984126984,7.462766317563928e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_random,e_lin,random,5,0.001984126984126984,6.825248545557911e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_random,verdict_code,random,5,0.001984126984126984,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_gradient,e_sym,gradient,5,0.001984126984126984,1.692444119729731e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_gradient,e_lin,gradient,5,0.001984126984126984,1.7014177574368682e-05,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_gradient,verdict_code,gradient,5,0.001984126984126984,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_update,e_sym,update,5,0.001984126984126984,5.251256011984182e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_update,e_lin,update,5,0.001984126984126984,5.336763313566757e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_update,verdict_code,update,5,0.001984126984126984,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_random,e_sym,random,5,0.001984126984126984,0.016185097680241532,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_lin_random,e_lin,random,5,0.001984126984126984,0.011184981674666077,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/verdict_code_random,verdict_code,random,5,0.001984126984126984,2.0,,torch.bfloat16
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_gradient,e_sym,gradient,5,0.001984126984126984,0.004660776962050492,,torch.bfloat16
