metric,d12_median,d12_seed_min,d12_seed_max,d14_median,d16_median,monotone_d12_d14_d16,d16_exceeds_d12_seed_max,outcome
curvature/e_sym_random,8.2741658486788068e-07,3.8144801229993527e-07,1.1374385881681662e-06,1.2737534793231089e-06,1.8695553617346154e-06,True,True,supported
curvature/e_sym_gradient,7.747444564455121e-07,3.6849273657761534e-07,1.549372145467504e-06,8.8136192675284849e-07,7.0380845694136352e-07,False,False,refuted
curvature/e_sym_update,8.321125934387314e-07,6.1256105850296737e-07,1.0727090304306276e-06,1.0921962414816112e-06,9.4544433551115937e-07,False,False,refuted
curvature/e_lin_random,7.666147168127187e-07,7.4918707075943477e-07,7.7434837111488971e-07,7.7508169947045269e-07,8.717234600320237e-07,True,True,supported
curvature/e_lin_gradient,4.9605753310451011e-07,4.9453580762184497e-07,5.3154204107788685e-07,4.6495658136513874e-07,5.1151841638403784e-07,False,False,refuted
curvature/e_lin_update,7.2484338537365966e-07,7.1478439402342338e-07,7.521432788808277e-07,8.0821017239941468e-07,8.6282439356789133e-07,True,True,supported
