run,step,progress,slice,cos_with_nominal,sq_norm
d12-s10,0,0.0,0,0.5969622010174062,0.23425054550170898
d12-s10,0,0.0,1,0.6602770800279996,0.330356627702713
d12-s10,0,0.0,2,0.5503303527382556,0.28324082493782043
d12-s10,0,0.0,3,0.5673061077738655,0.26498791575431824
d12-s10,0,0.0,4,0.6217839954030802,0.25645712018013
d12-s10,0,0.0,5,0.6163964382764341,0.22476109862327576
d12-s10,0,0.0,6,0.5422537205262373,0.2241801619529724
d12-s10,0,0.0,7,0.6484812267837987,0.2788740396499634
d12-s10,101,0.04007936507936508,0,0.4688947861180137,0.13192276656627655
d12-s10,101,0.04007936507936508,1,0.4327842324400052,0.12068326026201248
d12-s10,101,0.04007936507936508,2,0.4305682904983954,0.12039019912481308
d12-s10,101,0.04007936507936508,3,0.47392626071266064,0.12791763246059418
d12-s10,101,0.04007936507936508,4,0.47872457704437077,0.16614769399166107
d12-s10,101,0.04007936507936508,5,0.46829245404557523,0.13318262994289398
d12-s10,101,0.04007936507936508,6,0.457587606557987,0.12155728042125702
d12-s10,101,0.04007936507936508,7,0.4769493737635255,0.13602113723754883
d12-s10,202,0.08015873015873017,0,0.5084417469053453,0.2564355432987213
d12-s10,202,0.08015873015873017,1,0.5261603385372824,0.2694062888622284
d12-s10,202,0.08015873015873017,2,0.5180301544827581,0.3128000795841217
d12-s10,202,0.08015873015873017,3,0.4324773463711787,0.3367897570133209
d12-s10,202,0.08015873015873017,4,0.5173011148528703,0.29222819209098816
d12-s10,202,0.08015873015873017,5,0.457917700688367,0.2679709196090698
d12-s10,202,0.08015873015873017,6,0.5116894893352002,0.29734867811203003
d12-s10,202,0.08015873015873017,7,0.49954026893159564,0.27430596947669983
d12-s10,303,0.12023809523809524,0,0.4842204736444238,0.2536991536617279
d12-s10,303,0.12023809523809524,1,0.5019668434622037,0.23915565013885498
d12-s10,303,0.12023809523809524,2,0.5584507039576857,0.27902477979660034
d12-s10,303,0.12023809523809524,3,0.5109805530169693,0.2529396414756775
d12-s10,303,0.12023809523809524,4,0.5598948989467998,0.2766094207763672
d12-s10,303,0.12023809523809524,5,0.5391697403520072,0.3288588225841522
d12-s10,303,0.12023809523809524,6,0.5048178179040074,0.36305350065231323
d12-s10,303,0.12023809523809524,7,0.5046322866787953,0.27656441926956177
d12-s10,404,0.16031746031746033,0,0.5413123301213674,0.2363370805978775
d12-s10,404,0.16031746031746033,1,0.5616437435359537,0.25787433981895447
d12-s10,404,0.16031746031746033,2,0.5584241887230411,0.25504839420318604
d12-s10,404,0.16031746031746033,3,0.5850631129297966,0.25876668095588684
d12-s10,404,0.16031746031746033,4,0.5449525774820857,0.27087733149528503
d12-s10,404,0.16031746031746033,5,0.5715949778125533,0.2670058012008667
d12-s10,404,0.16031746031746033,6,0.5224448031334769,0.23272188007831573
d12-s10,404,0.16031746031746033,7,0.5368040719891279,0.23420430719852448
d12-s10,505,0.2003968253968254,0,0.5139305568610486,0.18757817149162292
d12-s10,505,0.2003968253968254,1,0.5534707990186353,0.21339190006256104
d12-s10,505,0.2003968253968254,2,0.525848480032886,0.20749874413013458
d12-s10,505,0.2003968253968254,3,0.5773152150654979,0.21710871160030365
d12-s10,505,0.2003968253968254,4,0.6013270192300468,0.2629186511039734
d12-s10,505,0.2003968253968254,5,0.4599807113664832,0.19430455565452576
d12-s10,505,0.2003968253968254,6,0.6020762404690381,0.23407654464244843
d12-s10,505,0.2003968253968254,7,0.5730577437711432,0.21734844148159027
d12-s10,606,0.24047619047619048,0,0.5166061253058173,0.21785514056682587
d12-s10,606,0.24047619047619048,1,0.498854396365383,0.21691852807998657
d12-s10,606,0.24047619047619048,2,0.5240088665622288,0.2168809324502945
d12-s10,606,0.24047619047619048,3,0.4841907916258324,0.1895396113395691
d12-s10,606,0.24047619047619048,4,0.5245680353075632,0.20836816728115082
d12-s10,606,0.24047619047619048,5,0.5304242348783057,0.18332868814468384
d12-s10,606,0.24047619047619048,6,0.5435974434698969,0.20765870809555054
d12-s10,606,0.24047619047619048,7,0.5235159322453677,0.21270166337490082
d12-s10,707,0.28055555555555556,0,0.5340541410483742,0.22350716590881348
d12-s10,707,0.28055555555555556,1,0.594080007221455,0.24326969683170319
d12-s10,707,0.28055555555555556,2,0.5077995067601638,0.23919686675071716
d12-s10,707,0.28055555555555556,3,0.5002262099776074,0.25276461243629456
d12-s10,707,0.28055555555555556,4,0.5118028986369094,0.2128099948167801
d12-s10,707,0.28055555555555556,5,0.5443979996984195,0.2308364361524582
d12-s10,707,0.28055555555555556,6,0.5236632670836511,0.22273434698581696
d12-s10,707,0.28055555555555556,7,0.6204176118101099,0.23342877626419067
d12-s10,808,0.32063492063492066,0,0.585779491504811,0.2605893909931183
d12-s10,808,0.32063492063492066,1,0.5804904830025602,0.2853115200996399
d12-s10,808,0.32063492063492066,2,0.6089868776860534,0.29393431544303894
d12-s10,808,0.32063492063492066,3,0.5713848937619395,0.24417081475257874
d12-s10,808,0.32063492063492066,4,0.609957566651287,0.27187493443489075
d12-s10,808,0.32063492063492066,5,0.5954079660586413,0.32485726475715637
d12-s10,808,0.32063492063492066,6,0.6036081302405217,0.29874035716056824
d12-s10,808,0.32063492063492066,7,0.5807048536007213,0.25978466868400574
d12-s10,909,0.3607142857142857,0,0.5728502831166763,0.31730231642723083
d12-s10,909,0.3607142857142857,1,0.4885799920339191,0.26721081137657166
d12-s10,909,0.3607142857142857,2,0.5210230292080038,0.30136674642562866
d12-s10,909,0.3607142857142857,3,0.4707109160189503,0.23493485152721405
d12-s10,909,0.3607142857142857,4,0.5715975795080167,0.29911360144615173
d12-s10,909,0.3607142857142857,5,0.5876053024162345,0.301294207572937
d12-s10,909,0.3607142857142857,6,0.6205494366249824,0.31445637345314026
d12-s10,909,0.3607142857142857,7,0.6331522080269648,0.4653033912181854
d12-s10,1010,0.4007936507936508,0,0.5140666974148992,0.3004833459854126
d12-s10,1010,0.4007936507936508,1,0.5470291156626962,0.2878919243812561
d12-s10,1010,0.4007936507936508,2,0.5774766584025071,0.3807421326637268
d12-s10,1010,0.4007936507936508,3,0.5761986273301214,0.37222641706466675
d12-s10,1010,0.4007936507936508,4,0.5925030277531748,0.36912432312965393
d12-s10,1010,0.4007936507936508,5,0.5395189768340874,0.31896987557411194
d12-s10,1010,0.4007936507936508,6,0.5555480424976799,0.2947228252887726
d12-s10,1010,0.4007936507936508,7,0.6396388345009287,0.3509270250797272
d12-s10,1111,0.44087301587301586,0,0.5405850590483369,0.32697686553001404
d12-s10,1111,0.44087301587301586,1,0.5118133941445765,0.30789655447006226
d12-s10,1111,0.44087301587301586,2,0.4975392583313997,0.36003467440605164
d12-s10,1111,0.44087301587301586,3,0.4707378658141759,0.33466678857803345
d12-s10,1111,0.44087301587301586,4,0.5439345090411646,0.32701247930526733
d12-s10,1111,0.44087301587301586,5,0.5345887982966415,0.29775750637054443
d12-s10,1111,0.44087301587301586,6,0.5249254348623674,0.3332024812698364
d12-s10,1111,0.44087301587301586,7,0.5327559343111408,0.32389503717422485
d12-s10,1212,0.48095238095238096,0,0.5364123779268998,0.4221991002559662
d12-s10,1212,0.48095238095238096,1,0.5960629222279069,0.43682822585105896
d12-s10,1212,0.48095238095238096,2,0.5464352500791029,0.40357837080955505
d12-s10,1212,0.48095238095238096,3,0.541053760714969,0.3434673249721527
d12-s10,1212,0.48095238095238096,4,0.5748960372297374,0.3564724326133728
d12-s10,1212,0.48095238095238096,5,0.5345306742687944,0.3741655945777893
d12-s10,1212,0.48095238095238096,6,0.5465822997506439,0.35412561893463135
d12-s10,1212,0.48095238095238096,7,0.5745615346039872,0.45084118843078613
d12-s10,1313,0.5210317460317461,0,0.523805259041472,0.3666529059410095
d12-s10,1313,0.5210317460317461,1,0.5047110672105902,0.3761408030986786
d12-s10,1313,0.5210317460317461,2,0.5021326850342855,0.3944551944732666
d12-s10,1313,0.5210317460317461,3,0.3983663311037009,0.3848106265068054
d12-s10,1313,0.5210317460317461,4,0.4947923179611744,0.3451510965824127
d12-s10,1313,0.5210317460317461,5,0.5293179611366775,0.3458670377731323
d12-s10,1313,0.5210317460317461,6,0.4868406534179921,0.3636012077331543
d12-s10,1313,0.5210317460317461,7,0.490492989337788,0.3598211407661438
d12-s10,1414,0.5611111111111111,0,0.5676797570126965,0.42273518443107605
d12-s10,1414,0.5611111111111111,1,0.5918090320006647,0.4651287794113159
d12-s10,1414,0.5611111111111111,2,0.6127189020234058,0.5261602997779846
d12-s10,1414,0.5611111111111111,3,0.5635297408734032,0.43793797492980957
d12-s10,1414,0.5611111111111111,4,0.5326727988875948,0.45175203680992126
d12-s10,1414,0.5611111111111111,5,0.6306143125774147,0.541002631187439
d12-s10,1414,0.5611111111111111,6,0.574212011692454,0.44025248289108276
d12-s10,1414,0.5611111111111111,7,0.5447710193181736,0.427234023809433
d12-s10,1515,0.6011904761904762,0,0.5256658316585126,0.5246047973632812
d12-s10,1515,0.6011904761904762,1,0.6048508485513,0.5177291631698608
d12-s10,1515,0.6011904761904762,2,0.5049860941495831,0.4694484770298004
d12-s10,1515,0.6011904761904762,3,0.5234450131591378,0.4702930152416229
d12-s10,1515,0.6011904761904762,4,0.4910803377235549,0.41254401206970215
d12-s10,1515,0.6011904761904762,5,0.4587101485360956,0.36034002900123596
d12-s10,1515,0.6011904761904762,6,0.4850731638522583,0.4264402687549591
d12-s10,1515,0.6011904761904762,7,0.4472877017380778,0.40420204401016235
d12-s10,1616,0.6412698412698413,0,0.5041680656858039,0.5296761989593506
d12-s10,1616,0.6412698412698413,1,0.4999182283391753,0.47752881050109863
d12-s10,1616,0.6412698412698413,2,0.4397253907388361,0.4425528943538666
d12-s10,1616,0.6412698412698413,3,0.4892509429426158,0.4429488182067871
d12-s10,1616,0.6412698412698413,4,0.4202608577277155,0.40041083097457886
d12-s10,1616,0.6412698412698413,5,0.44908151668788443,0.45613303780555725
d12-s10,1616,0.6412698412698413,6,0.4909827576292844,0.5172445774078369
d12-s10,1616,0.6412698412698413,7,0.5408136896226702,0.5474317669868469
d12-s10,1717,0.6813492063492064,0,0.4973751972425326,0.5093158483505249
d12-s10,1717,0.6813492063492064,1,0.464556866571038,0.5245784521102905
d12-s10,1717,0.6813492063492064,2,0.4890302917732111,0.5224754810333252
d12-s10,1717,0.6813492063492064,3,0.42123145300487413,0.46848276257514954
d12-s10,1717,0.6813492063492064,4,0.3759577801286481,0.39737915992736816
d12-s10,1717,0.6813492063492064,5,0.4258567585392959,0.4265733063220978
d12-s10,1717,0.6813492063492064,6,0.4189059148408814,0.4201316833496094
d12-s10,1717,0.6813492063492064,7,0.4572897233879674,0.463665634393692
d12-s10,1818,0.7214285714285714,0,0.4702398830569795,0.4864013195037842
d12-s10,1818,0.7214285714285714,1,0.4592522809486976,0.49474677443504333
d12-s10,1818,0.7214285714285714,2,0.4127068330075598,0.4092288315296173
d12-s10,1818,0.7214285714285714,3,0.5097784112022284,0.5115710496902466
d12-s10,1818,0.7214285714285714,4,0.4453030708852078,0.518609881401062
d12-s10,1818,0.7214285714285714,5,0.4014885906956866,0.44688212871551514
d12-s10,1818,0.7214285714285714,6,0.44897085493649713,0.40870410203933716
d12-s10,1818,0.7214285714285714,7,0.3872910713790779,0.4509270489215851
d12-s10,1919,0.7615079365079365,0,0.3109187907844632,0.42617520689964294
d12-s10,1919,0.7615079365079365,1,0.476761390701014,0.5138180255889893
d12-s10,1919,0.7615079365079365,2,0.3589709272744458,0.44460320472717285
d12-s10,1919,0.7615079365079365,3,0.41919540466899,0.5623689293861389
d12-s10,1919,0.7615079365079365,4,0.4327803672675396,0.5343685150146484
d12-s10,1919,0.7615079365079365,5,0.39254158621859087,0.4791956841945648
d12-s10,1919,0.7615079365079365,6,0.4444088766205811,0.508316695690155
d12-s10,1919,0.7615079365079365,7,0.41899671925598947,0.5062787532806396
d12-s10,2020,0.8015873015873016,0,0.43258551488010744,0.49039196968078613
d12-s10,2020,0.8015873015873016,1,0.3572616127594292,0.4526563584804535
d12-s10,2020,0.8015873015873016,2,0.3511056027001136,0.4504631459712982
d12-s10,2020,0.8015873015873016,3,0.3721977609776317,0.4799744784832001
d12-s10,2020,0.8015873015873016,4,0.442397838442602,0.8145002126693726
d12-s10,2020,0.8015873015873016,5,0.41065596698372964,0.5147011876106262
d12-s10,2020,0.8015873015873016,6,0.3903372177419986,0.44924691319465637
d12-s10,2020,0.8015873015873016,7,0.43980754237341374,0.48874959349632263
d12-s10,2121,0.8416666666666667,0,0.37632805097655037,0.4630964994430542
d12-s10,2121,0.8416666666666667,1,0.3624289214658863,0.45101189613342285
d12-s10,2121,0.8416666666666667,2,0.4076440943946582,0.43092089891433716
d12-s10,2121,0.8416666666666667,3,0.3878771865632245,0.44647523760795593
d12-s10,2121,0.8416666666666667,4,0.42341686765305864,0.4424453675746918
d12-s10,2121,0.8416666666666667,5,0.38699422781385767,0.46366554498672485
d12-s10,2121,0.8416666666666667,6,0.4298370582284928,0.4562116265296936
d12-s10,2121,0.8416666666666667,7,0.4388276758264988,0.47861871123313904
d12-s10,2222,0.8817460317460317,0,0.36339204142109943,0.432024747133255
d12-s10,2222,0.8817460317460317,1,0.41078799027007734,0.4566410481929779
d12-s10,2222,0.8817460317460317,2,0.33125718541681104,0.4714518189430237
d12-s10,2222,0.8817460317460317,3,0.3320767169079075,0.4641711711883545
d12-s10,2222,0.8817460317460317,4,0.41642249246056595,0.5742836594581604
d12-s10,2222,0.8817460317460317,5,0.35554779356744415,0.4076492190361023
d12-s10,2222,0.8817460317460317,6,0.36869179291151194,0.45068246126174927
d12-s10,2222,0.8817460317460317,7,0.35481622262568024,0.5310491919517517
d12-s10,2323,0.9218253968253968,0,0.3526483110937678,0.5068248510360718
d12-s10,2323,0.9218253968253968,1,0.33156440313902913,0.43738776445388794
d12-s10,2323,0.9218253968253968,2,0.3545572579085238,0.5673385262489319
d12-s10,2323,0.9218253968253968,3,0.38042351881916386,0.49429187178611755
d12-s10,2323,0.9218253968253968,4,0.3456042056321444,0.4723612368106842
d12-s10,2323,0.9218253968253968,5,0.33844703613203564,0.4729540944099426
d12-s10,2323,0.9218253968253968,6,0.36786774929835414,0.4553107023239136
d12-s10,2323,0.9218253968253968,7,0.37752505365360295,0.46308451890945435
d12-s10,2424,0.9619047619047619,0,0.39519473117385295,0.5004998445510864
d12-s10,2424,0.9619047619047619,1,0.32981441421626156,0.4647682011127472
d12-s10,2424,0.9619047619047619,2,0.3460947941571432,0.4326108694076538
d12-s10,2424,0.9619047619047619,3,0.38451141618366835,0.4720004200935364
d12-s10,2424,0.9619047619047619,4,0.3419622757763379,0.44191959500312805
d12-s10,2424,0.9619047619047619,5,0.35518577533553364,0.42423322796821594
d12-s10,2424,0.9619047619047619,6,0.36906623557329793,0.4691946506500244
d12-s10,2424,0.9619047619047619,7,0.36616786411301894,0.4922865331172943
d12-s11,0,0.0,0,0.6029377237873186,0.2358689308166504
d12-s11,0,0.0,1,0.6270658575911762,0.32888638973236084
d12-s11,0,0.0,2,0.5650187390292726,0.28101325035095215
d12-s11,0,0.0,3,0.5540914711894498,0.26364871859550476
d12-s11,0,0.0,4,0.6281794934496694,0.2560873031616211
d12-s11,0,0.0,5,0.6294000267175774,0.2246885448694229
d12-s11,0,0.0,6,0.553819671197382,0.2251918762922287
d12-s11,0,0.0,7,0.6503120236751417,0.28106608986854553
d12-s11,101,0.04007936507936508,0,0.5214672912617638,0.13254016637802124
d12-s11,101,0.04007936507936508,1,0.4993874510397363,0.1197662502527237
d12-s11,101,0.04007936507936508,2,0.5212845910277324,0.12259523570537567
d12-s11,101,0.04007936507936508,3,0.5166431225561102,0.12413540482521057
d12-s11,101,0.04007936507936508,4,0.5247782562928789,0.16334250569343567
d12-s11,101,0.04007936507936508,5,0.523456164642158,0.1324130892753601
d12-s11,101,0.04007936507936508,6,0.5200260559958325,0.12488596141338348
d12-s11,101,0.04007936507936508,7,0.4592975124955939,0.12299685925245285
d12-s11,202,0.08015873015873017,0,0.5988136939997436,0.2506420612335205
d12-s11,202,0.08015873015873017,1,0.6007562968212317,0.2510676085948944
d12-s11,202,0.08015873015873017,2,0.5927971292986426,0.29308223724365234
