run,probe,step,d_probe,progress,batch/bos_count,batch/mean_segment_length
d12-s10,066a03cc,102,-5.650955677032471,0.04047619047619048,1018.4455445544554,516.1948427606304
d12-s10,066a03cc,203,-0.8658046722412109,0.08055555555555556,993.3564356435644,528.3665155741508
d12-s10,066a03cc,304,-0.2226886749267578,0.12063492063492064,991.990099009901,528.9919452170379
d12-s10,066a03cc,405,-0.10634493827819824,0.16071428571428573,989.960396039604,530.1616236005084
d12-s10,066a03cc,506,-0.09776878356933594,0.2007936507936508,989.5742574257425,530.3414345676053
d12-s10,066a03cc,607,-0.04779648780822754,0.24087301587301588,991.3960396039604,529.4407155295233
d12-s10,066a03cc,708,-0.041260719299316406,0.28095238095238095,991.1485148514852,529.4943825137975
d12-s10,066a03cc,809,-0.036540985107421875,0.32103174603174606,991.6534653465346,529.2828521655681
d12-s10,066a03cc,910,-0.02134561538696289,0.3611111111111111,992.2871287128713,528.9514787215661
d12-s10,066a03cc,1011,-0.043337106704711914,0.4011904761904762,992.0990099009902,528.999616811943
d12-s10,066a03cc,1112,-0.026907920837402344,0.44126984126984126,993.1089108910891,528.5287016629775
d12-s10,066a03cc,1213,-0.03315854072570801,0.48134920634920636,997.9306930693069,525.9040653525512
d12-s10,066a03cc,1314,-0.02947831153869629,0.5214285714285715,995.6138613861386,527.1211390598687
d12-s10,066a03cc,1415,-0.03117203712463379,0.5615079365079365,994.4851485148515,527.823683088114
d12-s10,066a03cc,1516,-0.019011497497558594,0.6015873015873016,990.2673267326733,530.0248656743486
d12-s10,066a03cc,1617,-0.037309885025024414,0.6416666666666667,993.0693069306931,528.5623113316474
d12-s10,066a03cc,1718,-0.010864973068237305,0.6817460317460318,990.0297029702971,530.1988324221054
d12-s10,066a03cc,1819,-0.029552459716796875,0.7218253968253968,998.7722772277227,525.597044134019
d12-s10,066a03cc,1920,-0.024929046630859375,0.7619047619047619,995.990099009901,526.9554782074508
d12-s10,066a03cc,2021,-0.015851974487304688,0.801984126984127,994.7920792079208,527.59407563545
d12-s10,066a03cc,2122,-0.018542051315307617,0.8420634920634921,990.7623762376238,529.8216359147448
d12-s10,066a03cc,2223,-0.01862359046936035,0.8821428571428571,988.7821782178218,530.7903141797954
d12-s10,066a03cc,2324,-0.015155315399169922,0.9222222222222223,992.4158415841584,528.9174565621928
d12-s10,066a03cc,2425,-0.011677742004394531,0.9623015873015873,990.4752475247525,529.8369937401567
d12-s10,5c54f16c,102,-5.765681266784668,0.04047619047619048,1018.4455445544554,516.1948427606304
d12-s10,5c54f16c,203,-0.8554904460906982,0.08055555555555556,993.3564356435644,528.3665155741508
d12-s10,5c54f16c,304,-0.22257232666015625,0.12063492063492064,991.990099009901,528.9919452170379
d12-s10,5c54f16c,405,-0.09992098808288574,0.16071428571428573,989.960396039604,530.1616236005084
d12-s10,5c54f16c,506,-0.09051823616027832,0.2007936507936508,989.5742574257425,530.3414345676053
