run,step,progress,K,b,s2,signal_raw,gbar2,row_trace,b_noise,mean_sq_norm_sub,cos_mean,cos_sd,cos_min,cos_max,cos_pred_mean,I_exact,I_sketch,rel_err_inner,abs_err_cos,sd_err_cos,pred_cos_from_bnoise,analytic_full_sd,null_block_sd
d12-s10,0,0.0,8,4,0.1884063996041603,0.0737321422962467,0.0972829422467668,0.7536255984166412,10.221127108834915,0.2621385417878628,0.2755726490701948,0.043452485403345,0.1924362331628799,0.3475598096847534,0.2844419647099793,0.0737321422962467,0.0721477153910402,-0.0214889579478168,-0.0088693156397845,0.0542711373880986,0.2812716579626793,0.0156039253959942,0.0132980969020793
d12-s10,101,0.040079365079365,8,4,0.118430856582625,0.0137969686420132,0.0286008257148413,0.4737234263305002,34.335326738944865,0.1322278250008821,0.1024896726012229,0.0146825787463016,0.0745024979114532,0.1295682191848755,0.1050934987673833,0.0137969686420132,0.013509142351613,-0.0208615600910828,-0.0026038261661603,0.0161270544313966,0.1043424000854125,0.0056619090482486,0.0153269909017987
d12-s10,202,0.0801587301587301,8,4,0.2485873968546497,0.0398232812740952,0.0708967058809264,0.994349587418599,24.969052162595567,0.2884106785058975,0.1392513609358242,0.0338261049249161,0.0716221332550048,0.1958592683076858,0.1388011834404356,0.0398232812740952,0.0397665267033513,-0.0014251605826555,0.0004501774953886,0.0300364063119349,0.1380783871543006,0.0030211001725882,0.0162181870720805
d12-s10,303,0.1202380952380952,8,4,0.2376346300169903,0.0461035468675287,0.0758078756196525,0.9505385200679614,20.61747055598963,0.2837381735444069,0.1657082427825246,0.0276731907660275,0.1060971245169639,0.2267406731843948,0.1645463120307805,0.0461035468675287,0.0465720681588697,0.0101623697779108,0.001161930751744,0.0270689624877421,0.1624862306995536,0.0028894145913402,0.0151358266136144
d12-s10,404,0.1603174603174603,8,4,0.1993459703546177,0.0522585061294473,0.0771767524237745,0.7973838814184708,15.258451503441472,0.2516044769436121,0.2070282255964619,0.0172035344815676,0.1759389340877533,0.2373156994581222,0.2081764083630926,0.0522585061294473,0.0521134727556409,-0.0027753065395165,-0.0011481827666307,0.0219749255183631,0.2077010189155241,0.0030977887101683,0.0153432449582133
d12-s10,505,0.2003968253968254,8,4,0.1726608586928811,0.044117356267131,0.0656999636037412,0.6906434347715243,15.654687705892233,0.216778215020895,0.2032769572521959,0.0397854286583091,0.1391690522432327,0.2730868756771087,0.2049520211518011,0.044117356267131,0.0443290396196687,0.0047981876170445,-0.0016750638996052,0.0501341830161067,0.2035137906974146,0.0031138659547172,0.0148630668553889
d12-s10,606,0.2404761904761904,8,4,0.1728361651710039,0.0338202648904462,0.0554247855368217,0.6913446606840158,20.441728145048067,0.2066564299166202,0.164068162973438,0.0212611975938318,0.1162778884172439,0.2105308622121811,0.1640908375300368,0.0338202648904462,0.0338411093387574,0.0006163301316144,-2.2674556598857587e-05,0.0211996969457646,0.1636545491489891,0.0041708239684123,0.0148935044310804
d12-s10,707,0.2805555555555555,8,4,0.1878219895898537,0.0444964982611674,0.0679742469598991,0.7512879583594148,16.884204099608244,0.2323184870183468,0.1923577572618212,0.0410521353956492,0.125480517745018,0.2836454212665558,0.1918934414369676,0.0444964982611674,0.0446509002980581,0.0034699817496743,0.0004643158248535,0.0415294924498195,0.1915323170048426,0.0052216883324786,0.0150972439790136
d12-s10,808,0.3206349206349206,8,4,0.2095317419535019,0.0703761584713648,0.0965676262155526,0.8381269678140078,11.90924577326895,0.2799079082906246,0.2549178451299667,0.0187726291789835,0.2164355814456939,0.2959061563014984,0.2527637122305065,0.0703761584713648,0.0712140317702403,0.0119056413006178,0.0021541328994601,0.0241365007533519,0.2514261239662841,0.0061516676349068,0.0151596152278871
d12-s10,909,0.3607142857142857,8,4,0.2450065477974996,0.067616235712274,0.0982420541869615,0.9800261911899985,14.493947805084613,0.3126227874308824,0.2147437504359654,0.047235476894151,0.1399479508399963,0.2992584407329559,0.2217055050451553,0.067616235712274,0.0674802263970601,-0.0020114890126788,-0.00696175460919,0.066767744580483,0.2162869735633332,0.0068311144615039,0.0149882633255791
d12-s10,1010,0.4007936507936508,8,4,0.2608327266316662,0.0735532544530985,0.1061573452820567,1.0433309065266647,14.184700789710783,0.334385983645916,0.222809546227966,0.0337224394731018,0.1681671142578125,0.3012160956859588,0.2217786675169148,0.0735532544530985,0.0745692836753752,0.013813518243772,0.0010308787110511,0.0424378404780547,0.2199651259735474,0.0074506326413933,0.0147105363196292
d12-s10,1111,0.4408730158730158,8,4,0.2731820576791445,0.0532482402992727,0.0873959975091658,1.092728230716578,20.52139609825758,0.3264302983880043,0.1647616334791694,0.0292595358158622,0.0776432380080223,0.2099825739860534,0.163452029221196,0.0532482402992727,0.053582578608983,0.0062788611948708,0.0013096042579733,0.0270044872004821,0.1631228492852504,0.0070766552186901,0.015089027961311
d12-s10,1212,0.4809523809523809,8,4,0.3102353536159553,0.0824743737811667,0.1212537929831611,1.2409414144638211,15.046387836256514,0.392709732055664,0.2108344111059393,0.0230583803253659,0.1686794757843017,0.259832888841629,0.2114556654493654,0.0824743737811667,0.082587220782445,0.0013682674521145,-0.0006212543434261,0.0269572510451089,0.2100135749827397,0.0098558269665353,0.0150558197172861
d12-s10,1313,0.5210317460317461,8,4,0.3191852229860054,0.047877275356724,0.0877754282299747,1.2767408919440215,26.666949663097554,0.3670625016093254,0.1320516280829906,0.0432379278363813,0.0649007111787796,0.1971055418252945,0.1306180400230191,0.047877275356724,0.0482503721464043,0.0077927740645311,0.0014335880599715,0.0417133141067585,0.1304335789487833,0.0078642145538254,0.0151626923051793
d12-s10,1414,0.5611111111111111,8,4,0.3593166807117467,0.1047087500580511,0.1496233351470195,1.437266722846987,13.726328717038044,0.4640254266560077,0.2315813031579767,0.0277811284401905,0.1817553341388702,0.2897629737854004,0.2269150180624218,0.1047087500580511,0.1077217738447511,0.0287752817699524,0.0046662850955548,0.0379719176772043,0.2256530420850942,0.0100013006770252,0.0153221274101588
d12-s10,1515,0.6011904761904762,8,4,0.3858884427812979,0.0623117753085468,0.1105478306562091,1.5435537711251917,24.771461950522752,0.4482002258300781,0.1435318840667605,0.0407372246796544,0.0623196773231029,0.2196653038263321,0.1404819173902752,0.0623117753085468,0.0648256699086327,0.0403438128289216,0.0030499666764853,0.0475904611929857,0.1390266510224143,0.0094938252457805,0.0150763581385091
d12-s10,1616,0.6412698412698413,8,4,0.4229239426344447,0.0538169302914356,0.1066824231207412,1.6916957705377789,31.43426727196649,0.4767408668994903,0.1160086914896965,0.0275026440807573,0.0471321046352386,0.1619345843791961,0.1136923198074209,0.0538169302914356,0.0556850325551132,0.0347121668508619,0.0023163716822755,0.0329044173189835,0.1128850772981713,0.0083973696426845,0.01493063399646
d12-s10,1717,0.6813492063492064,8,4,0.4303675378569137,0.0362077491453755,0.0900036913774897,1.7214701514276547,47.54424652346888,0.4665752910077572,0.0796524742618203,0.0255441972343328,0.0397408232092857,0.1299514174461364,0.0781496537533289,0.0362077491453755,0.0375456609128064,0.036950978699592,0.0015028205084913,0.0291077161140058,0.0776032296481187,0.0097217503357462,0.0155194654468633
d12-s10,1818,0.7214285714285714,8,4,0.4304344098145764,0.0354494854046945,0.0892537866315166,1.7217376392583057,48.56876255332881,0.4658838920295238,0.0781710954782154,0.032863794875486,0.0095258746296167,0.1510182917118072,0.0765133457820895,0.0354494854046945,0.0365487737147632,0.0310099934461429,0.0016577496961258,0.0341758454876502,0.0760908152620516,0.0100129370572833,0.0150781703658783
d12-s10,1919,0.7615079365079365,8,4,0.4752235598990881,0.0216670637103396,0.0810700086977256,1.9008942395963524,87.7319725925409,0.496890626847744,0.0446042218598969,0.0303225486773611,-0.0161399487406015,0.1079264059662818,0.0438367991618632,0.0216670637103396,0.022630651047349,0.0444724467464249,0.0007674226980337,0.0319771048702491,0.0436052979888198,0.0084070666621615,0.0150858083316185
d12-s10,2020,0.8015873015873016,8,4,0.4980661554709635,0.0195193219699787,0.0817775914038492,1.992264621883854,102.0662820638959,0.5175854824483395,0.0400686203107138,0.0275364045272117,-0.0064474251121282,0.0837405323982238,0.0387119317068236,0.0195193219699787,0.0200111757438108,0.0251983022047892,0.0013566886038901,0.0267628061974458,0.0377122674818595,0.0089895319151665,0.0150804404166724
d12-s10,2121,0.8416666666666667,8,4,0.4359615463655097,0.0180941755233077,0.0725893688189964,1.7438461854620388,96.376106400412,0.4540557228028774,0.0407119788620288,0.0235625454699155,-0.0017449898878112,0.0861747711896896,0.0398763149669339,0.0180941755233077,0.0184770500596393,0.0211600984990105,0.0008356638950948,0.0235631757077397,0.0398501211438062,0.0081115967257638,0.0152174664241525
d12-s10,2222,0.8817460317460317,8,4,0.4679863577644556,0.005507804647579,0.0640060993681359,1.8719454310578223,339.8714280617506,0.4734941646456718,0.0115318327776289,0.0277143084615057,-0.0430962145328521,0.0852630212903022,0.0117222013839728,0.005507804647579,0.0053213410094618,-0.0338544392999017,-0.0001903686063439,0.0276106479471797,0.0116322545974412,0.0068334183116042,0.0152827310153701
d12-s10,2323,0.9218253968253968,8,4,0.482361779027877,0.001332420140076,0.0616276425185606,1.929447116111508,1448.077117778619,0.4836941957473755,0.0026705796435635,0.0234623797534941,-0.0576447956264019,0.0530550926923751,0.002765867478585,0.001332420140076,0.0011295558021103,-0.1522525304624208,-9.528783502148669e-05,0.0234255460179125,0.0027546746319638,0.0062411233611334,0.0153427644098364
d12-s10,2424,0.961904761904762,8,4,0.4589790555817014,0.0032101102894291,0.0605824922371418,1.8359162223268053,571.9168678946755,0.4621891677379608,0.0065267718081096,0.0173677015922943,-0.0385066531598567,0.0379131995141506,0.0069607794475672,0.0032101102894291,0.0030534233983202,-0.0488104385774153,-0.0004340076394575,0.0174046006039011,0.0069454468569785,0.006828760082815,0.0149116767355723
d12-s11,0,0.0,8,4,0.1883252090892136,0.0737311794841534,0.0972718306203051,0.7533008363568544,10.216855903122449,0.2620563879609108,0.2766524888575077,0.0399995757778367,0.2033983319997787,0.3547783493995666,0.2843995577326588,0.0737311794841534,0.0721809165745217,-0.021025879695373,-0.007747068875151,0.0461210510057494,0.2813561611130545,0.0156034243452394,0.0135667541717961
d12-s11,101,0.040079365079365,8,4,0.1106797867075875,0.019654646888634,0.0334896202270824,0.4427191468303501,22.52490972434451,0.1303344340994954,0.1534637875322784,0.0208310945489985,0.1167141050100326,0.1894992291927337,0.1517753127576862,0.019654646888634,0.0199325218801394,0.0141378775757138,0.0016884747745921,0.0220828697923756,0.1508016442494734,0.0071721946072971,0.0155477273216504
d12-s11,202,0.0801587301587301,8,4,0.2071410097977621,0.0724673388637709,0.0983599650884912,0.8285640391910485,11.433620334101684,0.2796083427965641,0.2590917998126575,0.0441153496265347,0.1750607639551162,0.3231902122497558,0.2610534321075769,0.0724673388637709,0.0726026817480748,0.001867639772979,-0.0019616322949194,0.0543511082601132,0.2591744460087382,0.002930068648375,0.0156643118187088
d12-s11,303,0.1202380952380952,8,4,0.2108858318781951,0.0376997591042308,0.0640604880890052,0.8435433275127805,22.3752975497956,0.2485855929553508,0.1508323712540524,0.0355819614165035,0.0971524864435195,0.2091672420501709,0.15525776544202,0.0376997591042308,0.0376123598377767,-0.0023182977432935,-0.0044253941879675,0.0468623173040639,0.1516570568520846,0.0023495249337277,0.0151951329901778
d12-s11,404,0.1603174603174603,8,4,0.1971047956942015,0.0665611080668853,0.0911992075286605,0.7884191827768063,11.845042933848802,0.2636659108102321,0.2513421598289694,0.0388366427110744,0.1721252799034118,0.3230879008769989,0.2536357435477753,0.0665611080668853,0.066506558537263,-0.0008195405876872,-0.0022935837188059,0.0492269284931819,0.2524448823963136,0.0029075009208981,0.0148624824484188
d12-s11,505,0.2003968253968254,8,4,0.169849675993439,0.0295607666463527,0.0507919761455326,0.679398703973756,22.983121923110897,0.1994104441255331,0.1491213749561991,0.0194205503899394,0.1163113936781883,0.1916428506374359,0.1486209132403414,0.0295607666463527,0.0297482443222244,0.0063421114247318,0.0005004617158576,0.0218995395868049,0.1482408155512213,0.0029111981349598,0.0154801549021404
d12-s11,606,0.2404761904761904,8,4,0.1707767176249441,0.0409015133608312,0.0622486030639493,0.6831068704997766,16.701261502806485,0.2116782329976558,0.1932651773095131,0.0252781882691674,0.1496409028768539,0.2361967414617538,0.1945774057738497,0.0409015133608312,0.0409797007484331,0.0019116013364123,-0.0013122284643366,0.0339798746434961,0.1932249394297887,0.0037986498165744,0.0152850046353928
d12-s11,707,0.2805555555555555,8,4,0.2067822061585421,0.0857083458138891,0.1115561215837068,0.8271288246341685,9.650505056184755,0.2924905475229025,0.2897104429347174,0.043168346158111,0.2034879177808761,0.3540642559528351,0.2983612385823881,0.0857083458138891,0.0852595822328349,-0.0052359379567143,-0.0086507956476706,0.0731948005437233,0.2930294508178424,0.0037016070059783,0.0151543075400619
d12-s11,808,0.3206349206349206,8,4,0.1950389339524666,0.0516462507198528,0.0760261174639111,0.7801557358098664,15.105757435166032,0.2466851864010095,0.2063698034201349,0.032969229062112,0.129099041223526,0.2681974470615387,0.2099397278582478,0.0516462507198528,0.0509293591515712,-0.0138808056400892,-0.0035699244381128,0.0359140554546242,0.2093609747519145,0.0061142296869293,0.0157112105396923
d12-s11,909,0.3607142857142857,8,4,0.2535054792906602,0.0649981517769891,0.0966863366883217,1.014021917162641,15.600780782841085,0.3185036294162273,0.1988690692399229,0.0309117642085797,0.141364112496376,0.2547691762447357,0.2084496866285384,0.0649981517769891,0.0631183413837992,-0.0289209822402286,-0.0095806173886155,0.0437201814654169,0.2040735032097129,0.0069824294160049,0.0150989147605351
