run,probe,n_seg,rho_first_last,rho_adjacent_med,loss_first,loss_last,drop_mean,drop_sd,cv_across_seg_first,cv_across_seg_last
d12-s10,066a03cc,37,0.817125237191651,0.9924098671726755,4.380621942426828,2.8808734846793693,1.4997484577474571,0.5801087601740881,0.3389775325736775,0.39821164791423547
d12-s10,5c54f16c,44,0.8035536602700781,0.9951670220326934,3.7161672560809067,2.5188200331932475,1.1973472228876592,0.8176163566744137,0.5386069370900675,0.616502370953755
d12-s11,066a03cc,37,0.817125237191651,0.9900379506641367,4.421148493737701,2.874970989715295,1.5461775040224073,0.6118083039311327,0.33322063533285606,0.3901104678225355
d12-s11,5c54f16c,44,0.7906183368869936,0.9944562899786779,3.7574189221783825,2.509274816171962,1.2481441060064198,0.8641404811265448,0.5373091423756479,0.6222915171644462
d12-s7,066a03cc,37,0.816888045540797,0.989326375711575,4.3292725330520225,2.8823033441916075,1.4469691888604153,0.5852018427295956,0.33438123044758183,0.3984668063489434
d12-s7,5c54f16c,44,0.8521677327647474,0.9960199004975123,3.683470793627951,2.500596383905593,1.1828744097223582,0.7720043376193821,0.5422582598794847,0.6121099890620193
d12-s8,066a03cc,37,0.8477229601518027,0.9905123339658446,4.3544747714545915,2.869272954253062,1.4852018172015298,0.5675075290457523,0.33243317237154146,0.3943042795804632
d12-s8,5c54f16c,44,0.8238805970149251,0.9937455579246623,3.713680437996646,2.5165102525321736,1.1971701854644723,0.8020719129442091,0.5409529087345142,0.6188047747839029
d12-s9,066a03cc,37,0.7922201138519924,0.9912239089184062,4.445069340784599,2.890504861327699,1.5545644794569002,0.6208315692115319,0.3362389040070868,0.4016885670741329
d12-s9,5c54f16c,44,0.7826581378820183,0.9955934612651028,3.7975610454785946,2.517294057922934,1.2802669875556605,0.8652913400046707,0.5470568943173701,0.6165100039557599
d14-s7,066a03cc,37,0.86219165085389,0.9862428842504746,3.875871649243781,2.765665096095509,1.110206553148271,0.4532908506836959,0.349901471246916,0.3948387746416417
d14-s7,5c54f16c,44,0.9076048329779671,0.9984363894811654,3.2951487521747937,2.4261021933002413,0.8690465588745525,0.6082451033954595,0.5546177701501371,0.6298521997251253
d16-s7,066a03cc,37,0.8681214421252373,0.991698292220114,3.562639499273037,2.69749254907078,0.8651469502022562,0.34725088986553815,0.36348974124351313,0.4008802199506908
d16-s7,5c54f16c,44,0.9634683724235961,0.9982942430703624,3.0778907022232826,2.337539355725755,0.7403513464975281,0.46260642529840595,0.5760241759860992,0.6263653259336103
