run,step,n_blocks,k,null_block_sd,null_block_max,analytic_block_sd,null_full_half,analytic_full_sd,eff_blocks
d12-s10,0,52,4096,0.01329809690207939,0.05232631938806039,0.015625,-0.002143076782170032,0.015603925395994237,1.002703016723259
d12-s10,101,113,4096,0.015326990901798773,0.12373705935465103,0.015625,-0.026682090514442435,0.005661909048248607,7.615777979397264
d12-s10,202,113,4096,0.0162181870720805,0.46707800867519506,0.015625,-0.02886598529221291,0.003021100172588261,26.749138575336953
d12-s10,303,113,4096,0.01513582661361445,0.13484692191208086,0.015625,0.03273359070474597,0.0028894145913402596,29.242892571243914
d12-s10,404,113,4096,0.015343244958213336,0.17378470717108122,0.015625,0.004722812136478089,0.003097788710168309,25.441134075819186
d12-s10,505,113,4096,0.014863066855388928,0.13861322129889456,0.015625,0.009907805909357128,0.0031138659547172167,25.17910133385582
d12-s10,606,113,4096,0.014893504431080472,0.07721606928322931,0.015625,0.03268640664740836,0.004170823968412391,14.034480155487854
d12-s10,707,113,4096,0.015097243979013691,0.11389307191729195,0.015625,-0.028057457086630315,0.005221688332478655,8.954022040687208
d12-s10,808,113,4096,0.01515961522788714,0.1354834710480274,0.015625,0.007177194746120063,0.006151667634906846,6.451405285694351
d12-s10,909,113,4096,0.014988263325579126,0.17246013671972657,0.015625,-0.010885580987634303,0.006831114461503981,5.231869795452863
d12-s10,1010,113,4096,0.014710536319629236,0.12177393252394826,0.015625,0.014542285033606314,0.0074506326413933946,4.397985068483118
d12-s10,1111,113,4096,0.015089027961311082,0.15319289785731427,0.015625,-0.007795879225997624,0.007076655218690132,4.875105048209812
d12-s10,1212,113,4096,0.015055819717286133,0.1257923935606837,0.015625,-0.003884314259784112,0.009855826966535364,2.5133554430461316
d12-s10,1313,113,4096,0.015162692305179342,0.10095566119970935,0.015625,-0.002453971439249855,0.007864214553825463,3.947565501695824
d12-s10,1414,113,4096,0.015322127410158842,0.21014829241431254,0.015625,0.0058244729362577135,0.010001300677025224,2.4407712776830484
d12-s10,1515,113,4096,0.015076358138509187,0.13509448081758244,0.015625,-0.024411116177126876,0.00949382524578059,2.7086792783584084
d12-s10,1616,113,4096,0.01493063399646008,0.12768532043557052,0.015625,0.007970684160978321,0.008397369642684532,3.4622108298233583
d12-s10,1717,113,4096,0.015519465446863332,0.17639010132369343,0.015625,-0.00804561761141185,0.009721750335746283,2.5831589142040814
