run,arm,step,progress,p1,p2,actual,residual_p1,residual_p2,normalized_residual,direction_norm,loss_before,loss_after,c_gg,c_gHg,c_dhd,c_eta_star,c_Hg_norm,c_verdict_code_gradient,c_verdict_code_update,c_eta_star_rho
d12-s10,native,1,0.0003968253968253968,-0.03626688372622468,-0.03615609857911551,-0.036040306091308594,0.00022657763491608363,0.00011579248780691637,0.003202571415539851,33.01509301282509,10.40013313293457,10.364092826843262,4.3755569244241554,-5.166755286355304e-05,0.00022157029421833978,,0.6636137079657219,2.0,2.0,-3.722081470397319e-05
d12-s10,native,2,0.0007936507936507937,-0.0686522721586712,-0.0695639404988661,-0.06911945343017578,-0.0004671812715045798,0.0004444870686903246,0.006389618895979157,51.744372260914595,10.364092826843262,10.294973373413086,4.377422895507482,-0.0013683522327575188,-0.0018233366803898064,,0.6834548629303285,2.0,2.0,-0.0009569270135526692
d12-s10,native,3,0.0011904761904761906,-0.10587819692974498,-0.11036866506483836,-0.10877609252929688,-0.002897895599551892,0.0015925725355414866,0.014429571424152831,69.80846009257756,10.294973373413086,10.186197280883789,4.4018940692046895,-0.014054321138397816,-0.008980936270186753,,0.7618867641928795,2.0,2.0,-0.008792242347795414
d12-s10,native,5,0.001984126984126984,-0.2383481166977047,-0.2660710148399798,-0.26909828186035156,-0.030750165162646864,-0.00302726702037176,-0.011249670564387916,127.03805160247398,10.016469955444336,9.747371673583984,4.674848772933978,-0.34234334797516947,-0.05544579628455021,,1.3316560226530776,2.0,2.0,-0.11890114936356387
d12-s10,native,9,0.0035714285714285713,-0.7278983688135974,-0.41634521030319116,-0.2895336151123047,0.4383647537012927,0.12681159519088647,0.3045828126581297,273.9383839696559,7.622768402099609,7.333234786987305,16.93691842180027,102.51178753023598,0.6231063170208124,0.16521922824538307,68.70878359573886,2.0,2.0,0.3625303319522645
d12-s10,native,17,0.006746031746031746,-0.12082697069221338,-0.07484056193467516,-0.07403898239135742,0.046787988300855954,0.0008015795433177347,0.010710496054497776,379.8780949645586,5.357212543487549,5.283173561096191,4.224503866724391,10.892740762716953,0.09197281751507644,0.3878274493765408,8.669590711371177,2.0,2.0,0.6112948217365891
d12-s10,native,33,0.013095238095238096,-0.11609813759162227,-0.019596608807055355,-0.03123950958251953,0.08485862800910274,-0.011642900775464177,-0.37269793703736986,598.542520937232,4.849823951721191,4.818584442138672,3.212576079412515,4.278956722175672,0.19300305756913383,0.7507848964125661,4.219609035998251,2.0,2.0,0.5657687681994455
d12-s10,native,41,0.01626984126984127,-0.2232488375218486,-0.13135802567580207,-0.13825178146362305,0.08499705605822555,-0.0068937557878209765,-0.04986377545981112,736.2239233396973,4.631906032562256,4.493654251098633,3.335571278967913,5.311940092519334,0.18378162369209303,0.6279384219082799,4.650780843084519,2.0,2.0,0.6253773973204694
d12-s10,native,65,0.025793650793650792,-0.18580756225411935,-0.07080941762122234,-0.07698464393615723,0.10882291831796212,-0.00617522631493489,-0.08021374132815315,842.0556939841994,3.962825298309326,3.885840654373169,2.907773041374309,6.558159541332279,0.22999628926579402,0.44338247995467334,5.665640434073728,2.0,2.0,0.6788170090453199
d12-s10,native,127,0.0503968253968254,-0.18492801935938424,-0.028379404442867517,-0.04610586166381836,0.13882215769556588,-0.017726457220950842,-0.38447296246632573,1190.3855334492346,2.9654247760772705,2.919318914413452,2.7812172877544508,5.087398917090548,0.31309722983303345,0.5466874788236602,6.059513409487663,2.0,2.0,0.5034317272833521
d12-s10,native,253,0.1003968253968254,-0.21787025714348304,-0.08870666843952432,-0.10194706916809082,0.11592318797539222,-0.013240400728566498,-0.12987524640591347,794.6908426653374,2.521078109741211,2.41913104057312,4.407090793672344,9.440204198772157,0.25832717740791744,0.4668427399319978,10.661301528770693,2.0,2.0,0.4217889162000114
d12-s10,native,379,0.1503968253968254,-0.1109744322992009,0.004973937525009797,-0.003788471221923828,0.10718596107727707,-0.008762408746933625,-1.7616644163451503,749.0769041199469,2.227818489074707,2.224030017852783,4.10389434384636,8.199351929509183,0.2318967396484214,0.5005144771352705,10.604080192250168,2.0,2.0,0.3816879404210096
d12-s10,native,401,0.15912698412698412,0.017274916669734408,0.0848720785037491,0.07945585250854492,0.062180935838810514,-0.00541622599520418,-0.06381634679731481,748.7409429353277,2.128342628479004,2.207798480987549,4.291982089991216,4.778308124195366,0.1351943236680294,0.8982221276728478,7.501590114784807,2.0,2.0,0.3074622989237392
d12-s10,native,505,0.2003968253968254,-0.0030041231947409465,0.043004654539509024,0.038826942443847656,0.0418310656385886,-0.004177712095661368,-0.09714557971447581,729.2848664317095,2.0116026401519775,2.050429582595825,3.296846601457518,3.5876285603524702,0.09201755546849995,0.9189486999550521,5.401949089507279,2.0,2.0,0.36576960694368127
d12-s10,native,631,0.2503968253968254,-0.04084691587346805,0.016136960728161863,0.010935544967651367,0.05178246084111942,-0.005201415760510496,-0.3223293312868452,727.6825337464501,1.9596918821334839,1.9706274271011353,3.6808387972233323,6.620768003039378,0.11396775320325983,0.5559534476262542,7.786283151702257,2.0,2.0,0.44320512957942115
d12-s10,native,757,0.3003968253968254,-0.06239354582207401,0.009134032372816604,0.008867025375366211,0.07126057119744023,-0.0002670069974503933,-0.02923210544392433,741.2551938053374,1.8907623291015625,1.8996293544769287,4.274094555226121,8.305582895327838,0.14305515638978122,0.5146050083529283,8.248668971359606,2.0,2.0,0.4870394934266745
d12-s10,native,883,0.3503968253968254,-0.05857711487368365,0.001373980742477146,0.0024285316467285156,0.06100564652041217,0.0010545509042513695,0.43423395600875087,757.192647622206,1.896697998046875,1.8991265296936035,5.2127496972245035,20.1001249098074,0.1199021912323216,0.25933916931436884,16.396213548489605,2.0,2.0,0.5369350495858589
d12-s10,native,1009,0.4003968253968254,-0.05813960418122281,-0.0047754339452794475,-0.0046471357345581055,0.05349246844666471,0.00012829821072134207,0.02686629365864558,705.2421302457509,1.8245192766189575,1.8198721408843994,6.574254005089939,49.97739443453922,0.10672834047188673,0.13154455288182235,32.523836456147556,2.0,2.0,0.5993059674477725
d12-s10,native,1135,0.4503968253968254,-0.004854848049165161,0.03009181811763701,0.03110349178314209,0.03595833983230725,0.0010116736655050793,0.03252604796138678,650.0120580863005,1.7905032634735107,1.8216067552566528,5.930243618093077,22.512611370075533,0.06989333233360434,0.2634187354193722,18.03130419779719,2.0,2.0,0.5126989956234357
d12-s10,native,1261,0.5003968253968254,-0.025122444943967905,0.004560860867205967,0.0035773515701293945,0.0286997965140973,-0.0009835092970765721,-0.21564115321919056,599.8446271621291,1.6882390975952148,1.6918164491653442,6.825303733607621,40.95393973158687,0.05936661162234774,0.1666580499541883,30.396160716947936,2.0,2.0,0.5157223623303318
d12-s10,native,1386,0.55,-0.02539833300763528,0.0013854082307930386,0.0013812780380249023,0.026779611045660182,-4.1301927681362816e-06,-0.0029812099252305344,560.1917170644625,1.6970335245132446,1.6984148025512695,8.756927970166547,80.37905886435736,0.05356748247685664,0.10894539067624799,47.54214992573777,2.0,2.0,0.5713315547134039
d12-s10,native,1512,0.6,-0.053145336796026246,-0.024511479786858345,-0.02669703960418701,0.026448297191839235,-0.0021855598173286667,-0.08186524984537596,502.30910858338603,1.6356290578842163,1.6089320182800293,9.739862855729623,110.29929676284338,0.0572677140183358,0.088303943375736,60.86698636498944,2.0,2.0,0.5806501239220286
d12-s10,native,1638,0.65,-0.05152602688580317,-0.03448995280907329,-0.0358203649520874,0.015705661933715767,-0.0013304121430141105,-0.03714122245246923,448.1065690973753,1.6438720226287842,1.6080516576766968,10.001637377371578,98.2343167033824,0.034072148153459755,0.10181408812127668,55.344291662440725,2.0,2.0,0.5612480472282563
d12-s10,native,1764,0.7,-0.04158533998875931,-0.02765029859461103,-0.027274608612060547,0.014310731376698763,0.0003756899825504839,0.013587194411842803,393.41340875858333,1.6016550064086914,1.5743803977966309,11.271770561984047,124.38405240488905,0.027870082788296554,0.09062070534004404,65.59973993604049,2.0,2.0,0.5647633611348177
