run,kind,s0,s1,gap,progress,cos
d12-s10,batch_grad,1212,1818,606,0.48095238095238096,0.38557752980140175
d12-s10,batch_grad,1212,1919,707,0.48095238095238096,-0.12949172051984037
d12-s10,batch_grad,1212,2020,808,0.48095238095238096,-0.284228253475538
d12-s10,batch_grad,1212,2121,909,0.48095238095238096,0.3146076244176956
d12-s10,batch_grad,1212,2222,1010,0.48095238095238096,0.015078699185393197
d12-s10,batch_grad,1212,2323,1111,0.48095238095238096,-0.022967479379796336
d12-s10,batch_grad,1212,2424,1212,0.48095238095238096,-0.012315546787845594
d12-s10,batch_grad,1313,1414,101,0.5210317460317461,-0.23902911961456552
d12-s10,batch_grad,1313,1515,202,0.5210317460317461,0.014550161745161817
d12-s10,batch_grad,1313,1616,303,0.5210317460317461,-0.48027699363339804
d12-s10,batch_grad,1313,1717,404,0.5210317460317461,-0.16581223419260324
d12-s10,batch_grad,1313,1818,505,0.5210317460317461,-0.11535370947868155
d12-s10,batch_grad,1313,1919,606,0.5210317460317461,-0.4828019163862888
d12-s10,batch_grad,1313,2020,707,0.5210317460317461,0.002817728305453005
d12-s10,batch_grad,1313,2121,808,0.5210317460317461,-0.09772857387627133
d12-s10,batch_grad,1313,2222,909,0.5210317460317461,0.1339705558461116
d12-s10,batch_grad,1313,2323,1010,0.5210317460317461,-0.029272504663384238
d12-s10,batch_grad,1313,2424,1111,0.5210317460317461,-0.003885772737335294
d12-s10,batch_grad,1414,1515,101,0.5611111111111111,-0.557111580456203
d12-s10,batch_grad,1414,1616,202,0.5611111111111111,0.37491001184508477
d12-s10,batch_grad,1414,1717,303,0.5611111111111111,0.536827793521787
d12-s10,batch_grad,1414,1818,404,0.5611111111111111,-0.4354949063331003
d12-s10,batch_grad,1414,1919,505,0.5611111111111111,0.10689503417400668
d12-s10,batch_grad,1414,2020,606,0.5611111111111111,0.432650133780236
d12-s10,batch_grad,1414,2121,707,0.5611111111111111,-0.3955458681352213
d12-s10,batch_grad,1414,2222,808,0.5611111111111111,-0.13058061212710295
d12-s10,batch_grad,1414,2323,909,0.5611111111111111,-0.13412518321295241
d12-s10,batch_grad,1414,2424,1010,0.5611111111111111,-0.0649223981528355
d12-s10,batch_grad,1515,1616,101,0.6011904761904762,-0.15000477543725527
d12-s10,batch_grad,1515,1717,202,0.6011904761904762,-0.5019835096303659
d12-s10,batch_grad,1515,1818,303,0.6011904761904762,0.5964599510241047
d12-s10,batch_grad,1515,1919,404,0.6011904761904762,0.11913144293007884
d12-s10,batch_grad,1515,2020,505,0.6011904761904762,-0.46026306947905643
d12-s10,batch_grad,1515,2121,606,0.6011904761904762,0.4203211700568898
d12-s10,batch_grad,1515,2222,707,0.6011904761904762,0.017487165011605823
d12-s10,batch_grad,1515,2323,808,0.6011904761904762,0.10264876443356992
d12-s10,batch_grad,1515,2424,909,0.6011904761904762,0.07285979617009695
d12-s10,batch_grad,1616,1717,101,0.6412698412698413,0.13688462012726055
d12-s10,batch_grad,1616,1818,202,0.6412698412698413,-0.11353655492881104
d12-s10,batch_grad,1616,1919,303,0.6412698412698413,0.2662141724782485
d12-s10,batch_grad,1616,2020,404,0.6412698412698413,0.10805470519210103
d12-s10,batch_grad,1616,2121,505,0.6412698412698413,-0.011197093921021055
d12-s10,batch_grad,1616,2222,606,0.6412698412698413,-0.15286256139508692
d12-s10,batch_grad,1616,2323,707,0.6412698412698413,0.017999073701006483
d12-s10,batch_grad,1616,2424,808,0.6412698412698413,0.05367709090075823
d12-s10,batch_grad,1717,1818,101,0.6813492063492064,-0.5230369890995262
d12-s10,batch_grad,1717,1919,202,0.6813492063492064,-0.0036820090484560716
d12-s10,batch_grad,1717,2020,303,0.6813492063492064,0.5578861236040022
d12-s10,batch_grad,1717,2121,404,0.6813492063492064,-0.37018491631022016
d12-s10,batch_grad,1717,2222,505,0.6813492063492064,-0.08212773253381751
d12-s10,batch_grad,1717,2323,606,0.6813492063492064,-0.0590089867430471
d12-s10,batch_grad,1717,2424,707,0.6813492063492064,0.03429817238736653
d12-s10,batch_grad,1818,1919,101,0.7214285714285714,0.22885928754693038
d12-s10,batch_grad,1818,2020,202,0.7214285714285714,-0.49814916582324786
d12-s10,batch_grad,1818,2121,303,0.7214285714285714,0.4339266973262567
d12-s10,batch_grad,1818,2222,404,0.7214285714285714,0.021449140202351898
d12-s10,batch_grad,1818,2323,505,0.7214285714285714,0.05611066170460301
d12-s10,batch_grad,1818,2424,606,0.7214285714285714,-0.027829113977651976
d12-s10,batch_grad,1919,2020,101,0.7615079365079365,-0.13171830525228126
d12-s10,batch_grad,1919,2121,202,0.7615079365079365,0.16745558287069123
d12-s10,batch_grad,1919,2222,303,0.7615079365079365,-0.017935069723477155
d12-s10,batch_grad,1919,2323,404,0.7615079365079365,0.02190912520038476
d12-s10,batch_grad,1919,2424,505,0.7615079365079365,-0.015510398243387739
d12-s10,batch_grad,2020,2121,101,0.8015873015873016,-0.30180410856376766
d12-s10,batch_grad,2020,2222,202,0.8015873015873016,-0.012512073044632477
d12-s10,batch_grad,2020,2323,303,0.8015873015873016,-0.07047580761332686
d12-s10,batch_grad,2020,2424,404,0.8015873015873016,0.05383780630236772
d12-s10,batch_grad,2121,2222,101,0.8416666666666667,-0.08223380540286604
d12-s10,batch_grad,2121,2323,202,0.8416666666666667,0.06586302725682701
d12-s10,batch_grad,2121,2424,303,0.8416666666666667,0.019332234029100115
d12-s10,batch_grad,2222,2323,101,0.8817460317460317,-0.09864286674426236
d12-s10,batch_grad,2222,2424,202,0.8817460317460317,-0.0021788867612592814
d12-s10,batch_grad,2323,2424,101,0.9218253968253968,0.028775057958880884
d12-s10,probe_grad,0,1,1,0.0,0.9816572743580109
d12-s10,probe_grad,0,2,2,0.0,0.9795053637868925
d12-s10,probe_grad,0,4,4,0.0,0.9438180306002031
d12-s10,probe_grad,0,8,8,0.0,0.31425020379793184
d12-s10,probe_grad,0,16,16,0.0,0.6437521691354384
d12-s10,probe_grad,0,32,32,0.0,0.5538879865244399
d12-s10,probe_grad,0,40,40,0.0,0.48934710117280394
d12-s10,probe_grad,0,64,64,0.0,0.3555981406117494
d12-s10,probe_grad,0,126,126,0.0,0.1223079876070364
d12-s10,probe_grad,0,252,252,0.0,0.051519651258542604
d12-s10,probe_grad,0,378,378,0.0,0.03265873364900255
d12-s10,probe_grad,0,400,400,0.0,0.031282787422066555
d12-s10,probe_grad,0,504,504,0.0,0.02278440902398476
d12-s10,probe_grad,0,630,630,0.0,0.022019281798492593
d12-s10,probe_grad,0,756,756,0.0,0.022033283004081233
d12-s10,probe_grad,0,882,882,0.0,0.014387088281879207
d12-s10,probe_grad,0,1008,1008,0.0,0.015406354405557815
d12-s10,probe_grad,0,1134,1134,0.0,0.011195318404470451
d12-s10,probe_grad,0,1260,1260,0.0,0.009816024508826056
d12-s10,probe_grad,0,1385,1385,0.0,0.010843214202768039
d12-s10,probe_grad,0,1511,1511,0.0,0.009191256776345257
d12-s10,probe_grad,0,1637,1637,0.0,0.009804427679747168
d12-s10,probe_grad,0,1763,1763,0.0,0.009216035975238204
d12-s10,probe_grad,0,1889,1889,0.0,0.007888917432440705
d12-s10,probe_grad,0,2015,2015,0.0,0.009362256883026483
d12-s10,probe_grad,0,2141,2141,0.0,0.0089670469774532
d12-s10,probe_grad,0,2267,2267,0.0,0.008880902698887033
d12-s10,probe_grad,0,2393,2393,0.0,0.008949226722756392
d12-s10,probe_grad,0,2519,2519,0.0,0.008891396637730706
d12-s10,probe_grad,1,2,1,0.0003968253968253968,0.980775015709606
d12-s10,probe_grad,1,4,3,0.0003968253968253968,0.9489454294251686
d12-s10,probe_grad,1,8,7,0.0003968253968253968,0.31426399088384954
d12-s10,probe_grad,1,16,15,0.0003968253968253968,0.6488796387418392
d12-s10,probe_grad,1,32,31,0.0003968253968253968,0.5569930810065697
d12-s10,probe_grad,1,40,39,0.0003968253968253968,0.49218068644472046
d12-s10,probe_grad,1,64,63,0.0003968253968253968,0.3578952116333653
d12-s10,probe_grad,1,126,125,0.0003968253968253968,0.12304836561295235
d12-s10,probe_grad,1,252,251,0.0003968253968253968,0.05229489090775268
d12-s10,probe_grad,1,378,377,0.0003968253968253968,0.03285986140823033
d12-s10,probe_grad,1,400,399,0.0003968253968253968,0.03170301761314577
d12-s10,probe_grad,1,504,503,0.0003968253968253968,0.023061597287622963
d12-s10,probe_grad,1,630,629,0.0003968253968253968,0.022103542172428797
d12-s10,probe_grad,1,756,755,0.0003968253968253968,0.022174213084405675
d12-s10,probe_grad,1,882,881,0.0003968253968253968,0.014605758494478307
d12-s10,probe_grad,1,1008,1007,0.0003968253968253968,0.015530017582725101
d12-s10,probe_grad,1,1134,1133,0.0003968253968253968,0.011364057969140915
d12-s10,probe_grad,1,1260,1259,0.0003968253968253968,0.009971644026608169
d12-s10,probe_grad,1,1385,1384,0.0003968253968253968,0.010996327588216937
d12-s10,probe_grad,1,1511,1510,0.0003968253968253968,0.009392701558525328
d12-s10,probe_grad,1,1637,1636,0.0003968253968253968,0.00996634401264304
d12-s10,probe_grad,1,1763,1762,0.0003968253968253968,0.009397148588171797
d12-s10,probe_grad,1,1889,1888,0.0003968253968253968,0.00808360362556055
d12-s10,probe_grad,1,2015,2014,0.0003968253968253968,0.009517494335888634
d12-s10,probe_grad,1,2141,2140,0.0003968253968253968,0.00909774056918814
d12-s10,probe_grad,1,2267,2266,0.0003968253968253968,0.009004744762834293
d12-s10,probe_grad,1,2393,2392,0.0003968253968253968,0.00908159419950282
d12-s10,probe_grad,1,2519,2518,0.0003968253968253968,0.009001702520045734
d12-s10,probe_grad,2,4,2,0.0007936507936507937,0.9594824519113296
d12-s10,probe_grad,2,8,6,0.0007936507936507937,0.319943453753272
d12-s10,probe_grad,2,16,14,0.0007936507936507937,0.6606909305414718
d12-s10,probe_grad,2,32,30,0.0007936507936507937,0.5648833880150045
d12-s10,probe_grad,2,40,38,0.0007936507936507937,0.5001034393467648
d12-s10,probe_grad,2,64,62,0.0007936507936507937,0.3642258673495539
d12-s10,probe_grad,2,126,124,0.0007936507936507937,0.12496605079483458
d12-s10,probe_grad,2,252,250,0.0007936507936507937,0.05422384761107177
d12-s10,probe_grad,2,378,376,0.0007936507936507937,0.03330099422424659
d12-s10,probe_grad,2,400,398,0.0007936507936507937,0.032736896483955294
d12-s10,probe_grad,2,504,502,0.0007936507936507937,0.023763044824478014
d12-s10,probe_grad,2,630,628,0.0007936507936507937,0.022406775515184534
d12-s10,probe_grad,2,756,754,0.0007936507936507937,0.022676305538285972
d12-s10,probe_grad,2,882,880,0.0007936507936507937,0.015223101421354308
d12-s10,probe_grad,2,1008,1006,0.0007936507936507937,0.015954783574793158
