run,step,probe_step,gap,side,progress,cos
d12-s11,2222,2267,45,above,0.8817460317460317,0.05284706368593558
d12-s11,2323,2267,56,below,0.9218253968253968,0.034033366662538825
d12-s11,2323,2393,70,above,0.9218253968253968,0.038393140183607274
d12-s11,2424,2393,31,below,0.9619047619047619,-0.03126059996235239
d12-s11,2424,2519,95,above,0.9619047619047619,-0.03889779882055766
d12-s7,0,0,0,below,0.0,0.3753853651688418
d12-s7,0,0,0,above,0.0,0.3753853651688418
d12-s7,101,64,37,below,0.04007936507936508,0.12011243824800177
d12-s7,101,126,25,above,0.04007936507936508,0.011286698059146848
d12-s7,202,126,76,below,0.08015873015873017,-0.03619796335220153
d12-s7,202,252,50,above,0.08015873015873017,0.05197164808292178
d12-s7,303,252,51,below,0.12023809523809524,0.08819916846307574
d12-s7,303,378,75,above,0.12023809523809524,0.029733245139818936
d12-s7,404,400,4,below,0.16031746031746033,0.2181058077144708
d12-s7,404,504,100,above,0.16031746031746033,-0.014625285267771028
d12-s7,505,504,1,below,0.2003968253968254,-0.04768523282392789
d12-s7,505,630,125,above,0.2003968253968254,0.12481889108900618
d12-s7,606,504,102,below,0.24047619047619048,0.02041655477663032
d12-s7,606,630,24,above,0.24047619047619048,0.01067582784805305
d12-s7,707,630,77,below,0.28055555555555556,-0.08930446126706819
d12-s7,707,756,49,above,0.28055555555555556,-0.10737250646307832
d12-s7,808,756,52,below,0.32063492063492066,-0.01853841084412834
d12-s7,808,882,74,above,0.32063492063492066,-0.00577445572837493
d12-s7,909,882,27,below,0.3607142857142857,-0.06931299693885379
d12-s7,909,1008,99,above,0.3607142857142857,-0.00771254002097273
d12-s7,1010,1008,2,below,0.4007936507936508,0.26285639988459164
d12-s7,1010,1134,124,above,0.4007936507936508,0.04332818852050706
d12-s7,1111,1008,103,below,0.44087301587301586,-0.1204809263872632
d12-s7,1111,1134,23,above,0.44087301587301586,-0.014904164952209658
d12-s7,1212,1134,78,below,0.48095238095238096,-0.13642552194186297
d12-s7,1212,1260,48,above,0.48095238095238096,-0.15712844407219118
d12-s7,1313,1260,53,below,0.5210317460317461,0.1933683565486756
d12-s7,1313,1385,72,above,0.5210317460317461,0.06327742595208084
d12-s7,1414,1385,29,below,0.5611111111111111,0.07518121034654088
d12-s7,1414,1511,97,above,0.5611111111111111,0.07313266282175811
d12-s7,1515,1511,4,below,0.6011904761904762,0.2087720867413744
d12-s7,1515,1637,122,above,0.6011904761904762,-0.0036068259407560153
d12-s7,1616,1511,105,below,0.6412698412698413,0.18620761857362114
d12-s7,1616,1637,21,above,0.6412698412698413,0.09639418205450168
d12-s7,1717,1637,80,below,0.6813492063492064,-0.1195661459161933
d12-s7,1717,1763,46,above,0.6813492063492064,-0.13020474557193423
d12-s7,1818,1763,55,below,0.7214285714285714,0.004339820004641052
d12-s7,1818,1889,71,above,0.7214285714285714,0.13731486819852048
d12-s7,1919,1889,30,below,0.7615079365079365,0.11985334251955775
d12-s7,1919,2015,96,above,0.7615079365079365,0.10111567297765209
d12-s7,2020,2015,5,below,0.8015873015873016,-0.13350601626099848
d12-s7,2020,2141,121,above,0.8015873015873016,-0.12053102531934157
d12-s7,2121,2015,106,below,0.8416666666666667,0.15073712306769316
d12-s7,2121,2141,20,above,0.8416666666666667,0.14169523495321054
d12-s7,2222,2141,81,below,0.8817460317460317,0.013232476888158293
d12-s7,2222,2267,45,above,0.8817460317460317,0.020984775052142093
d12-s7,2323,2267,56,below,0.9218253968253968,0.03746995872126076
d12-s7,2323,2393,70,above,0.9218253968253968,0.049153071972879096
d12-s7,2424,2393,31,below,0.9619047619047619,0.009207353096521806
d12-s7,2424,2519,95,above,0.9619047619047619,-0.002507204504147413
d12-s8,0,0,0,below,0.0,0.37384371375612263
d12-s8,0,0,0,above,0.0,0.37384371375612263
d12-s8,101,64,37,below,0.04007936507936508,0.008885094162492741
d12-s8,101,126,25,above,0.04007936507936508,-0.0927548680697117
d12-s8,202,126,76,below,0.08015873015873017,-0.10059638696388333
d12-s8,202,252,50,above,0.08015873015873017,-0.0965771436234518
d12-s8,303,252,51,below,0.12023809523809524,0.04933004533967867
d12-s8,303,378,75,above,0.12023809523809524,0.11189073690067027
d12-s8,404,400,4,below,0.16031746031746033,0.09015867697817412
d12-s8,404,504,100,above,0.16031746031746033,0.07151336075362186
d12-s8,505,504,1,below,0.2003968253968254,-0.12732423831542586
d12-s8,505,630,125,above,0.2003968253968254,-0.041915627253817755
d12-s8,606,504,102,below,0.24047619047619048,0.047178611743673056
d12-s8,606,630,24,above,0.24047619047619048,9.143478508669787e-05
d12-s8,707,630,77,below,0.28055555555555556,-0.19275605720086453
d12-s8,707,756,49,above,0.28055555555555556,-0.05052475975213655
d12-s8,808,756,52,below,0.32063492063492066,0.24742955069402847
d12-s8,808,882,74,above,0.32063492063492066,0.07641848982541216
d12-s8,909,882,27,below,0.3607142857142857,0.002283283969249754
d12-s8,909,1008,99,above,0.3607142857142857,0.08077576712675401
d12-s8,1010,1008,2,below,0.4007936507936508,0.07958244254108601
d12-s8,1010,1134,124,above,0.4007936507936508,-0.1413976784735179
d12-s8,1111,1008,103,below,0.44087301587301586,-0.0658292886698941
d12-s8,1111,1134,23,above,0.44087301587301586,-0.10277759939583492
d12-s8,1212,1134,78,below,0.48095238095238096,-0.07855275066796454
d12-s8,1212,1260,48,above,0.48095238095238096,0.07218536230036278
d12-s8,1313,1260,53,below,0.5210317460317461,-0.09575177561121304
d12-s8,1313,1385,72,above,0.5210317460317461,-0.02526909649282674
d12-s8,1414,1385,29,below,0.5611111111111111,0.08709104077368576
d12-s8,1414,1511,97,above,0.5611111111111111,0.07133200409572614
d12-s8,1515,1511,4,below,0.6011904761904762,0.15989748528554196
d12-s8,1515,1637,122,above,0.6011904761904762,0.08865134274349365
d12-s8,1616,1511,105,below,0.6412698412698413,-0.03347713547963951
d12-s8,1616,1637,21,above,0.6412698412698413,-0.07720920112518719
d12-s8,1717,1637,80,below,0.6813492063492064,-0.1395469246004404
d12-s8,1717,1763,46,above,0.6813492063492064,-0.04581007285550147
d12-s8,1818,1763,55,below,0.7214285714285714,-0.023561314319602532
d12-s8,1818,1889,71,above,0.7214285714285714,-0.027807049724936597
d12-s8,1919,1889,30,below,0.7615079365079365,0.08890008162132465
d12-s8,1919,2015,96,above,0.7615079365079365,0.0661514431392565
d12-s8,2020,2015,5,below,0.8015873015873016,-0.024181352510445845
d12-s8,2020,2141,121,above,0.8015873015873016,-0.01433618509866417
d12-s8,2121,2015,106,below,0.8416666666666667,0.11667026851437523
d12-s8,2121,2141,20,above,0.8416666666666667,0.12213365560047634
d12-s8,2222,2141,81,below,0.8817460317460317,-0.014987962353181674
d12-s8,2222,2267,45,above,0.8817460317460317,-0.009464363644689123
d12-s8,2323,2267,56,below,0.9218253968253968,0.031367914160580136
d12-s8,2323,2393,70,above,0.9218253968253968,0.04050363053061217
d12-s8,2424,2393,31,below,0.9619047619047619,-0.017052568210427024
d12-s8,2424,2519,95,above,0.9619047619047619,-0.02254745150329188
d12-s9,0,0,0,below,0.0,0.352985900831328
d12-s9,0,0,0,above,0.0,0.352985900831328
d12-s9,101,64,37,below,0.04007936507936508,-0.0975275421723212
d12-s9,101,126,25,above,0.04007936507936508,-0.3750746579161224
d12-s9,202,126,76,below,0.08015873015873017,0.301182252045414
d12-s9,202,252,50,above,0.08015873015873017,0.14379059617612416
d12-s9,303,252,51,below,0.12023809523809524,0.0076779439399560275
d12-s9,303,378,75,above,0.12023809523809524,-0.013106323628383628
d12-s9,404,400,4,below,0.16031746031746033,-0.07513380322941904
d12-s9,404,504,100,above,0.16031746031746033,-0.135042301757894
d12-s9,505,504,1,below,0.2003968253968254,-0.2040550090092551
d12-s9,505,630,125,above,0.2003968253968254,-0.0946234598201369
d12-s9,606,504,102,below,0.24047619047619048,-0.18431081802608906
d12-s9,606,630,24,above,0.24047619047619048,-0.1637707368996236
d12-s9,707,630,77,below,0.28055555555555556,0.1379853955874038
d12-s9,707,756,49,above,0.28055555555555556,-0.07525148648835096
d12-s9,808,756,52,below,0.32063492063492066,0.12540456160277724
d12-s9,808,882,74,above,0.32063492063492066,0.10732953917191888
d12-s9,909,882,27,below,0.3607142857142857,0.08843393705335235
d12-s9,909,1008,99,above,0.3607142857142857,0.0930689790309314
d12-s9,1010,1008,2,below,0.4007936507936508,0.14491526908092706
d12-s9,1010,1134,124,above,0.4007936507936508,-0.011193315746157626
d12-s9,1111,1008,103,below,0.44087301587301586,-0.17534160471876237
d12-s9,1111,1134,23,above,0.44087301587301586,-0.054675346291657934
d12-s9,1212,1134,78,below,0.48095238095238096,0.029636807240878645
d12-s9,1212,1260,48,above,0.48095238095238096,-0.026351006018299566
d12-s9,1313,1260,53,below,0.5210317460317461,-0.06881634943124935
d12-s9,1313,1385,72,above,0.5210317460317461,-0.15417359717722132
d12-s9,1414,1385,29,below,0.5611111111111111,-0.036124323990888
d12-s9,1414,1511,97,above,0.5611111111111111,-0.07961739972433066
d12-s9,1515,1511,4,below,0.6011904761904762,0.16892174312870692
d12-s9,1515,1637,122,above,0.6011904761904762,0.1362524938459961
d12-s9,1616,1511,105,below,0.6412698412698413,-0.1880896804876381
d12-s9,1616,1637,21,above,0.6412698412698413,-0.13065090721268321
d12-s9,1717,1637,80,below,0.6813492063492064,0.11399589074149274
d12-s9,1717,1763,46,above,0.6813492063492064,0.06772279872457435
d12-s9,1818,1763,55,below,0.7214285714285714,0.08974072820466564
d12-s9,1818,1889,71,above,0.7214285714285714,0.037259704888663654
d12-s9,1919,1889,30,below,0.7615079365079365,-0.04564663082313725
d12-s9,1919,2015,96,above,0.7615079365079365,-0.011994972070006387
d12-s9,2020,2015,5,below,0.8015873015873016,-0.06177642828275713
d12-s9,2020,2141,121,above,0.8015873015873016,-0.055457855878982824
d12-s9,2121,2015,106,below,0.8416666666666667,0.1698163498958195
d12-s9,2121,2141,20,above,0.8416666666666667,0.1508633717228761
d12-s9,2222,2141,81,below,0.8817460317460317,0.005944674040484323
d12-s9,2222,2267,45,above,0.8817460317460317,0.019186905221114846
d12-s9,2323,2267,56,below,0.9218253968253968,0.006034633519662646
d12-s9,2323,2393,70,above,0.9218253968253968,0.013661753777473013
d12-s9,2424,2393,31,below,0.9619047619047619,0.018558623383734298
d12-s9,2424,2519,95,above,0.9619047619047619,0.016619243826435814
d14-s7,0,0,0,below,0.0,0.39692695225959485
d14-s7,0,0,0,above,0.0,0.39692695225959485
d14-s7,151,128,23,below,0.04017025804735302,0.07602857298757337
d14-s7,151,188,37,above,0.04017025804735302,0.15064280522460452
d14-s7,302,188,114,below,0.08034051609470604,-0.27120180806780547
d14-s7,302,376,74,above,0.08034051609470604,-0.25353678628902304
d14-s7,453,400,53,below,0.12051077414205906,-0.12103899757343632
d14-s7,453,564,111,above,0.12051077414205906,-0.09572666397492212
d14-s7,604,564,40,below,0.16068103218941207,0.07931064802264834
d14-s7,604,752,148,above,0.16068103218941207,-0.005249012232939765
d14-s7,755,752,3,below,0.2008512902367651,-0.11956844375166112
d14-s7,755,940,185,above,0.2008512902367651,-0.06892736145570438
d14-s7,906,752,154,below,0.24102154828411812,-0.15969233932490864
d14-s7,906,940,34,above,0.24102154828411812,-0.09583010951824993
d14-s7,1057,940,117,below,0.2811918063314711,-0.06852028614980832
d14-s7,1057,1127,70,above,0.2811918063314711,-0.19830775752740182
d14-s7,1208,1127,81,below,0.32136206437882414,-0.20324915585310488
d14-s7,1208,1315,107,above,0.32136206437882414,-0.13340988281748817
d14-s7,1359,1316,43,below,0.36153232242617717,0.05326391350965869
d14-s7,1359,1503,144,above,0.36153232242617717,-0.06446551145872598
d14-s7,1510,1503,7,below,0.4017025804735302,0.07698610385735312
d14-s7,1510,1691,181,above,0.4017025804735302,0.008242591346264644
d14-s7,1661,1503,158,below,0.4418728385208832,0.14785811510704988
d14-s7,1661,1691,30,above,0.4418728385208832,0.08259867424737842
d14-s7,1812,1691,121,below,0.48204309656823624,0.02513885646979732
d14-s7,1812,1879,67,above,0.48204309656823624,0.05489395580080556
d14-s7,1963,1879,84,below,0.5222133546155893,0.11624512579265239
d14-s7,1963,2067,104,above,0.5222133546155893,0.09278184682000189
d14-s7,2114,2067,47,below,0.5623836126629422,-0.19875902257019398
d14-s7,2114,2255,141,above,0.5623836126629422,-0.05421387329720013
d14-s7,2265,2255,10,below,0.6025538707102953,-0.007970759761677755
d14-s7,2265,2443,178,above,0.6025538707102953,-0.0748739922131638
d14-s7,2416,2255,161,below,0.6427241287576483,-0.12383682928308815
d14-s7,2416,2443,27,above,0.6427241287576483,-0.1333271856793796
d14-s7,2567,2443,124,below,0.6828943868050014,-0.11848674713370909
d14-s7,2567,2631,64,above,0.6828943868050014,-0.12132422432066117
d14-s7,2718,2631,87,below,0.7230646448523543,-0.13595427364103416
d14-s7,2718,2819,101,above,0.7230646448523543,-0.05048395493671137
d14-s7,2869,2819,50,below,0.7632349028997074,-0.07496339109727658
d14-s7,2869,3006,137,above,0.7632349028997074,-0.0515084362540409
d14-s7,3020,3006,14,below,0.8034051609470604,0.06415485334745295
d14-s7,3020,3194,174,above,0.8034051609470604,0.04195448044817558
d14-s7,3171,3006,165,below,0.8435754189944135,0.0471901149964677
d14-s7,3171,3194,23,above,0.8435754189944135,0.03269993076129109
d14-s7,3322,3194,128,below,0.8837456770417664,-0.02998407738334133
d14-s7,3322,3382,60,above,0.8837456770417664,-0.014382455882765616
d14-s7,3473,3382,91,below,0.9239159350891194,0.04288187036819063
d14-s7,3473,3570,97,above,0.9239159350891194,0.041379023234368054
d14-s7,3624,3570,54,below,0.9640861931364725,-0.07675707416577551
d14-s7,3624,3758,134,above,0.9640861931364725,-0.0799421850416814
d16-s7,0,0,0,below,0.0,0.3927202266349258
d16-s7,0,0,0,above,0.0,0.3927202266349258
d16-s7,216,128,88,below,0.04017857142857143,-0.12605026763965552
d16-s7,216,256,40,above,0.04017857142857143,-0.2109111766371418
d16-s7,432,400,32,below,0.08035714285714286,-0.1296080621899969
d16-s7,432,538,106,above,0.08035714285714286,-0.16105973091338055
d16-s7,648,538,110,below,0.12053571428571429,-0.2233734637026262
d16-s7,648,806,158,above,0.12053571428571429,-0.045181124418846884
d16-s7,864,806,58,below,0.16071428571428573,0.01354444084818228
d16-s7,864,1075,211,above,0.16071428571428573,-0.010798598625745962
d16-s7,1080,1075,5,below,0.20089285714285715,-0.08198607921826914
d16-s7,1080,1344,264,above,0.20089285714285715,0.0667654531359681
d16-s7,1296,1075,221,below,0.24107142857142858,-0.15444253077295134
d16-s7,1296,1344,48,above,0.24107142857142858,-0.08326196653943135
d16-s7,1512,1344,168,below,0.28125,0.09447809191233261
d16-s7,1512,1613,101,above,0.28125,0.10057464537037288
d16-s7,1728,1613,115,below,0.32142857142857145,0.06377447845260838
d16-s7,1728,1881,153,above,0.32142857142857145,-0.06253338797548208
d16-s7,1944,1882,62,below,0.36160714285714285,0.013037883851152454
d16-s7,1944,2150,206,above,0.36160714285714285,0.258280562066204
d16-s7,2160,2150,10,below,0.4017857142857143,0.12046081526661054
d16-s7,2160,2419,259,above,0.4017857142857143,0.0221375289860339
d16-s7,2376,2150,226,below,0.4419642857142857,0.08374661434084799
d16-s7,2376,2419,43,above,0.4419642857142857,-0.07078627891463123
d16-s7,2592,2419,173,below,0.48214285714285715,0.15600813723938234
d16-s7,2592,2688,96,above,0.48214285714285715,0.17058508692776037
d16-s7,2808,2688,120,below,0.5223214285714286,0.10585244173501382
d16-s7,2808,2956,148,above,0.5223214285714286,0.10271056513041084
d16-s7,3024,2956,68,below,0.5625,-0.10397623283478112
d16-s7,3024,3225,201,above,0.5625,-0.04043549143681126
d16-s7,3240,3225,15,below,0.6026785714285714,-0.06683764463939108
d16-s7,3240,3494,254,above,0.6026785714285714,-0.07718115907601521
d16-s7,3456,3225,231,below,0.6428571428571429,0.019491281194324358
d16-s7,3456,3494,38,above,0.6428571428571429,-0.009488831295674202
d16-s7,3672,3494,178,below,0.6830357142857143,-0.06428438808847405
d16-s7,3672,3763,91,above,0.6830357142857143,-0.1259501572706344
d16-s7,3888,3763,125,below,0.7232142857142857,0.1190707363321175
d16-s7,3888,4031,143,above,0.7232142857142857,0.0781012200890664
d16-s7,4104,4031,73,below,0.7633928571428571,-0.05698356603080649
d16-s7,4104,4300,196,above,0.7633928571428571,-0.01786014249744117
d16-s7,4320,4300,20,below,0.8035714285714286,0.01564899032977633
d16-s7,4320,4569,249,above,0.8035714285714286,-0.007612161063668709
d16-s7,4536,4300,236,below,0.84375,0.01867384742311927
d16-s7,4536,4569,33,above,0.84375,0.014171093198044436
d16-s7,4752,4569,183,below,0.8839285714285714,0.06242891133743101
d16-s7,4752,4838,86,above,0.8839285714285714,0.0753634547808858
d16-s7,4968,4838,130,below,0.9241071428571429,-0.10310965793333556
d16-s7,4968,5106,138,above,0.9241071428571429,-0.08875048959457209
d16-s7,5184,5106,78,below,0.9642857142857143,0.050464390319864216
d16-s7,5184,5375,191,above,0.9642857142857143,0.06771820787884976
