run,step,progress,role,share
d12-s10,0,0.0,backout_scalar,2.8423708990686214e-11
d12-s10,0,0.0,unembedding,0.9986511529574439
d12-s10,0,0.0,resid_scalar,1.3422395134889376e-10
d12-s10,0,0.0,smear_gate,0.0
d12-s10,0,0.0,smear_scalar,4.446167848880506e-08
d12-s10,0,0.0,attn_k,0.0
d12-s10,0,0.0,attn_out,0.00023424280700578998
d12-s10,0,0.0,attn_q,0.0
d12-s10,0,0.0,attn_v,0.0
d12-s10,0,0.0,mlp_in,0.0
d12-s10,0,0.0,mlp_out,0.0011129710624934541
d12-s10,0,0.0,ve_gate,0.0
d12-s10,0,0.0,token_embedding,1.5885352803849504e-06
d12-s10,0,0.0,value_embedding,0.0
d12-s10,0,0.0,x0_scalar,1.3450393714048393e-11
d12-s10,101,0.04007936507936508,backout_scalar,0.002113018362527597
d12-s10,101,0.04007936507936508,unembedding,0.33797540883224153
d12-s10,101,0.04007936507936508,resid_scalar,0.028162836420508913
d12-s10,101,0.04007936507936508,smear_gate,0.0038557756228151485
d12-s10,101,0.04007936507936508,smear_scalar,0.013814090480800156
d12-s10,101,0.04007936507936508,attn_k,0.09980032371308674
d12-s10,101,0.04007936507936508,attn_out,0.06725481367065149
d12-s10,101,0.04007936507936508,attn_q,0.15677046428749777
d12-s10,101,0.04007936507936508,attn_v,0.021357406040313706
d12-s10,101,0.04007936507936508,mlp_in,0.02837085099025247
d12-s10,101,0.04007936507936508,mlp_out,0.2328537573010132
d12-s10,101,0.04007936507936508,ve_gate,0.00020886461091545796
d12-s10,101,0.04007936507936508,token_embedding,0.00022422940099430972
d12-s10,101,0.04007936507936508,value_embedding,4.812077474559798e-06
d12-s10,101,0.04007936507936508,x0_scalar,0.007233348188906938
d12-s10,202,0.08015873015873017,backout_scalar,0.0002134451794018899
d12-s10,202,0.08015873015873017,unembedding,0.0694999096779628
d12-s10,202,0.08015873015873017,resid_scalar,0.003587046038402193
d12-s10,202,0.08015873015873017,smear_gate,0.000665696116857672
d12-s10,202,0.08015873015873017,smear_scalar,0.008270331947768704
d12-s10,202,0.08015873015873017,attn_k,0.06220942780000931
d12-s10,202,0.08015873015873017,attn_out,0.11773324385065807
d12-s10,202,0.08015873015873017,attn_q,0.0880847838180962
d12-s10,202,0.08015873015873017,attn_v,0.10003578679373468
d12-s10,202,0.08015873015873017,mlp_in,0.06373414607402644
d12-s10,202,0.08015873015873017,mlp_out,0.4839713654197295
d12-s10,202,0.08015873015873017,ve_gate,0.0007566415092491258
d12-s10,202,0.08015873015873017,token_embedding,2.18756521849496e-05
d12-s10,202,0.08015873015873017,value_embedding,6.6837719337975925e-06
d12-s10,202,0.08015873015873017,x0_scalar,0.0012096163499846259
d12-s10,303,0.12023809523809524,backout_scalar,0.006985123829895101
d12-s10,303,0.12023809523809524,unembedding,0.12914518585905782
d12-s10,303,0.12023809523809524,resid_scalar,0.022906303958805583
d12-s10,303,0.12023809523809524,smear_gate,8.423760293927088e-05
d12-s10,303,0.12023809523809524,smear_scalar,0.0017766823295785274
d12-s10,303,0.12023809523809524,attn_k,0.04201834241940314
d12-s10,303,0.12023809523809524,attn_out,0.1636060153315631
d12-s10,303,0.12023809523809524,attn_q,0.06066956633336917
d12-s10,303,0.12023809523809524,attn_v,0.1733914088444284
d12-s10,303,0.12023809523809524,mlp_in,0.07783038308623655
d12-s10,303,0.12023809523809524,mlp_out,0.31563345233702017
d12-s10,303,0.12023809523809524,ve_gate,0.0017638801965753524
d12-s10,303,0.12023809523809524,token_embedding,1.230283487015621e-05
d12-s10,303,0.12023809523809524,value_embedding,5.179354185909795e-06
d12-s10,303,0.12023809523809524,x0_scalar,0.004171935682071731
d12-s10,404,0.16031746031746033,backout_scalar,0.0724977278938544
d12-s10,404,0.16031746031746033,unembedding,0.0785190859997239
d12-s10,404,0.16031746031746033,resid_scalar,0.3120909762445786
d12-s10,404,0.16031746031746033,smear_gate,2.54966276911219e-05
d12-s10,404,0.16031746031746033,smear_scalar,1.9474975223866248e-05
d12-s10,404,0.16031746031746033,attn_k,0.023699314660360883
d12-s10,404,0.16031746031746033,attn_out,0.14106533706819707
d12-s10,404,0.16031746031746033,attn_q,0.02888187420125297
d12-s10,404,0.16031746031746033,attn_v,0.13733852902821955
d12-s10,404,0.16031746031746033,mlp_in,0.05620461483804864
d12-s10,404,0.16031746031746033,mlp_out,0.14537220232480152
d12-s10,404,0.16031746031746033,ve_gate,0.0015727513447459987
d12-s10,404,0.16031746031746033,token_embedding,5.796191793655321e-06
d12-s10,404,0.16031746031746033,value_embedding,2.8499023671483864e-06
d12-s10,404,0.16031746031746033,x0_scalar,0.002703968699140684
d12-s10,505,0.2003968253968254,backout_scalar,0.037124338202861276
d12-s10,505,0.2003968253968254,unembedding,0.09738157193223423
d12-s10,505,0.2003968253968254,resid_scalar,0.21427888205108553
d12-s10,505,0.2003968253968254,smear_gate,2.8537132072833855e-05
d12-s10,505,0.2003968253968254,smear_scalar,0.00071864364609273
d12-s10,505,0.2003968253968254,attn_k,0.014487786210605431
d12-s10,505,0.2003968253968254,attn_out,0.18723532444813987
d12-s10,505,0.2003968253968254,attn_q,0.02294968289492046
d12-s10,505,0.2003968253968254,attn_v,0.15736183333217793
d12-s10,505,0.2003968253968254,mlp_in,0.08344640584375661
d12-s10,505,0.2003968253968254,mlp_out,0.18224505696355664
d12-s10,505,0.2003968253968254,ve_gate,0.002498123065924108
d12-s10,505,0.2003968253968254,token_embedding,5.714230722006205e-06
d12-s10,505,0.2003968253968254,value_embedding,3.043082354868269e-06
d12-s10,505,0.2003968253968254,x0_scalar,0.00023505696349548116
d12-s10,606,0.24047619047619048,backout_scalar,0.016902825304541475
d12-s10,606,0.24047619047619048,unembedding,0.13851657580460178
d12-s10,606,0.24047619047619048,resid_scalar,0.043595086542214924
d12-s10,606,0.24047619047619048,smear_gate,3.46137489371277e-05
d12-s10,606,0.24047619047619048,smear_scalar,0.0020832656309687854
d12-s10,606,0.24047619047619048,attn_k,0.013686625188832223
d12-s10,606,0.24047619047619048,attn_out,0.20218112928584916
d12-s10,606,0.24047619047619048,attn_q,0.02428304205739002
d12-s10,606,0.24047619047619048,attn_v,0.1775969820712959
d12-s10,606,0.24047619047619048,mlp_in,0.08103006658506609
d12-s10,606,0.24047619047619048,mlp_out,0.2966122346229064
d12-s10,606,0.24047619047619048,ve_gate,0.0015585266687246065
d12-s10,606,0.24047619047619048,token_embedding,5.601240029772798e-06
d12-s10,606,0.24047619047619048,value_embedding,3.4745566202254437e-06
d12-s10,606,0.24047619047619048,x0_scalar,0.0019099506920214778
d12-s10,707,0.28055555555555556,backout_scalar,0.01491365589675698
d12-s10,707,0.28055555555555556,unembedding,0.08297491948875095
d12-s10,707,0.28055555555555556,resid_scalar,0.11622611359365424
d12-s10,707,0.28055555555555556,smear_gate,1.0754538223313224e-05
d12-s10,707,0.28055555555555556,smear_scalar,1.5485517546163384e-05
d12-s10,707,0.28055555555555556,attn_k,0.016141493986653373
d12-s10,707,0.28055555555555556,attn_out,0.1531808019615873
d12-s10,707,0.28055555555555556,attn_q,0.026212311884689577
d12-s10,707,0.28055555555555556,attn_v,0.11956351648943686
d12-s10,707,0.28055555555555556,mlp_in,0.07975717819585605
d12-s10,707,0.28055555555555556,mlp_out,0.38961776636846746
d12-s10,707,0.28055555555555556,ve_gate,0.0007861819626575523
d12-s10,707,0.28055555555555556,token_embedding,3.003640690544934e-06
d12-s10,707,0.28055555555555556,value_embedding,2.564099807431961e-06
d12-s10,707,0.28055555555555556,x0_scalar,0.0005942523752222303
d12-s10,808,0.32063492063492066,backout_scalar,0.018502011678518886
d12-s10,808,0.32063492063492066,unembedding,0.10556541800964817
d12-s10,808,0.32063492063492066,resid_scalar,0.07573539812229448
d12-s10,808,0.32063492063492066,smear_gate,1.6464434025198045e-05
d12-s10,808,0.32063492063492066,smear_scalar,4.474911296834521e-05
d12-s10,808,0.32063492063492066,attn_k,0.009306986960123734
d12-s10,808,0.32063492063492066,attn_out,0.1339973358500541
d12-s10,808,0.32063492063492066,attn_q,0.01307250182958394
d12-s10,808,0.32063492063492066,attn_v,0.13178932130714024
d12-s10,808,0.32063492063492066,mlp_in,0.058921729616544856
d12-s10,808,0.32063492063492066,mlp_out,0.45217757032707095
d12-s10,808,0.32063492063492066,ve_gate,0.0007583994937891925
d12-s10,808,0.32063492063492066,token_embedding,2.4162033392527154e-06
d12-s10,808,0.32063492063492066,value_embedding,2.223224018097312e-06
d12-s10,808,0.32063492063492066,x0_scalar,0.0001074738308805428
d12-s10,909,0.3607142857142857,backout_scalar,0.013834272056610693
d12-s10,909,0.3607142857142857,unembedding,0.06935752369179052
d12-s10,909,0.3607142857142857,resid_scalar,0.09857275960287835
d12-s10,909,0.3607142857142857,smear_gate,1.8042268498638004e-05
d12-s10,909,0.3607142857142857,smear_scalar,0.00020899308661920842
d12-s10,909,0.3607142857142857,attn_k,0.00737022772143392
d12-s10,909,0.3607142857142857,attn_out,0.11528177589028121
d12-s10,909,0.3607142857142857,attn_q,0.01280078861484364
d12-s10,909,0.3607142857142857,attn_v,0.11077417641585278
d12-s10,909,0.3607142857142857,mlp_in,0.0708810137368631
d12-s10,909,0.3607142857142857,mlp_out,0.4997459493743023
d12-s10,909,0.3607142857142857,ve_gate,0.0008790410828953408
d12-s10,909,0.3607142857142857,token_embedding,1.735669265538415e-06
d12-s10,909,0.3607142857142857,value_embedding,1.8396850547793456e-06
d12-s10,909,0.3607142857142857,x0_scalar,0.0002718611028100036
d12-s10,1010,0.4007936507936508,backout_scalar,0.031069219008854784
d12-s10,1010,0.4007936507936508,unembedding,0.04589412621191396
d12-s10,1010,0.4007936507936508,resid_scalar,0.10752562064827448
d12-s10,1010,0.4007936507936508,smear_gate,1.4848616116568955e-05
d12-s10,1010,0.4007936507936508,smear_scalar,0.001090907308589075
d12-s10,1010,0.4007936507936508,attn_k,0.009116759239937457
d12-s10,1010,0.4007936507936508,attn_out,0.0949622773246349
d12-s10,1010,0.4007936507936508,attn_q,0.01636388515974377
d12-s10,1010,0.4007936507936508,attn_v,0.08584439364051792
d12-s10,1010,0.4007936507936508,mlp_in,0.055446122024435565
d12-s10,1010,0.4007936507936508,mlp_out,0.5514025823278564
d12-s10,1010,0.4007936507936508,ve_gate,0.0006671439604252337
d12-s10,1010,0.4007936507936508,token_embedding,1.2266942285492802e-06
d12-s10,1010,0.4007936507936508,value_embedding,1.469642497428184e-06
d12-s10,1010,0.4007936507936508,x0_scalar,0.0005994181919738449
d12-s10,1111,0.44087301587301586,backout_scalar,0.04235443686162266
d12-s10,1111,0.44087301587301586,unembedding,0.04984089857856602
d12-s10,1111,0.44087301587301586,resid_scalar,0.13226303836961512
d12-s10,1111,0.44087301587301586,smear_gate,6.267778651314302e-06
d12-s10,1111,0.44087301587301586,smear_scalar,0.00040548339946589997
d12-s10,1111,0.44087301587301586,attn_k,0.00874079093140693
d12-s10,1111,0.44087301587301586,attn_out,0.08236407889578082
d12-s10,1111,0.44087301587301586,attn_q,0.014044770729926928
d12-s10,1111,0.44087301587301586,attn_v,0.0916604961200714
d12-s10,1111,0.44087301587301586,mlp_in,0.047605430712458416
d12-s10,1111,0.44087301587301586,mlp_out,0.5300388944295341
d12-s10,1111,0.44087301587301586,ve_gate,0.00033093362528537057
d12-s10,1111,0.44087301587301586,token_embedding,1.2329720300370042e-06
d12-s10,1111,0.44087301587301586,value_embedding,1.458991560192977e-06
d12-s10,1111,0.44087301587301586,x0_scalar,0.00034178760402479614
d12-s10,1212,0.48095238095238096,backout_scalar,0.001329179626015647
d12-s10,1212,0.48095238095238096,unembedding,0.04087139335784242
d12-s10,1212,0.48095238095238096,resid_scalar,0.008528454460689575
d12-s10,1212,0.48095238095238096,smear_gate,5.9134570483005496e-06
d12-s10,1212,0.48095238095238096,smear_scalar,0.00020797453367603694
d12-s10,1212,0.48095238095238096,attn_k,0.00723440010645774
d12-s10,1212,0.48095238095238096,attn_out,0.07480444831494731
d12-s10,1212,0.48095238095238096,attn_q,0.013012416323577664
d12-s10,1212,0.48095238095238096,attn_v,0.08424779610712368
d12-s10,1212,0.48095238095238096,mlp_in,0.0617047861767647
d12-s10,1212,0.48095238095238096,mlp_out,0.707689942167176
d12-s10,1212,0.48095238095238096,ve_gate,0.0002689397158252038
d12-s10,1212,0.48095238095238096,token_embedding,8.694883433657691e-07
d12-s10,1212,0.48095238095238096,value_embedding,1.1621919005307048e-06
d12-s10,1212,0.48095238095238096,x0_scalar,9.23239726119037e-05
d12-s10,1313,0.5210317460317461,backout_scalar,0.030182875298069393
d12-s10,1313,0.5210317460317461,unembedding,0.02854188193237519
d12-s10,1313,0.5210317460317461,resid_scalar,0.170087510988776
d12-s10,1313,0.5210317460317461,smear_gate,4.5420604498235906e-06
d12-s10,1313,0.5210317460317461,smear_scalar,0.0002580559663047737
d12-s10,1313,0.5210317460317461,attn_k,0.006813060952514858
d12-s10,1313,0.5210317460317461,attn_out,0.06183792953001089
d12-s10,1313,0.5210317460317461,attn_q,0.012584884932989569
d12-s10,1313,0.5210317460317461,attn_v,0.06747735539369958
d12-s10,1313,0.5210317460317461,mlp_in,0.0503182331570843
d12-s10,1313,0.5210317460317461,mlp_out,0.570954899791414
d12-s10,1313,0.5210317460317461,ve_gate,0.0008379984415178632
d12-s10,1313,0.5210317460317461,token_embedding,7.282146120426614e-07
d12-s10,1313,0.5210317460317461,value_embedding,1.0899031364502627e-06
d12-s10,1313,0.5210317460317461,x0_scalar,9.895343704523468e-05
d12-s10,1414,0.5611111111111111,backout_scalar,0.010449566412171013
d12-s10,1414,0.5611111111111111,unembedding,0.03707936294199804
d12-s10,1414,0.5611111111111111,resid_scalar,0.06605824898652528
d12-s10,1414,0.5611111111111111,smear_gate,6.328988663916541e-06
d12-s10,1414,0.5611111111111111,smear_scalar,0.0007698389483791849
d12-s10,1414,0.5611111111111111,attn_k,0.007453377923715237
d12-s10,1414,0.5611111111111111,attn_out,0.054771540183254
d12-s10,1414,0.5611111111111111,attn_q,0.012693690797270602
d12-s10,1414,0.5611111111111111,attn_v,0.054827584825512886
d12-s10,1414,0.5611111111111111,mlp_in,0.050506520543548594
d12-s10,1414,0.5611111111111111,mlp_out,0.7041068625129111
d12-s10,1414,0.5611111111111111,ve_gate,0.0004948192133646304
d12-s10,1414,0.5611111111111111,token_embedding,5.003560424534129e-07
