run,step,gap,progress,cos_batch,grad_norm,cos_probe
d12-s10,0,,0.0,,0.30765901545532753,
d12-s10,1,1.0,0.0003968253968253968,0.972013160768209,0.30967168753735336,0.9816572743580114
d12-s10,2,1.0,0.0007936507936507937,0.967597687406023,0.3275662778600705,0.9807750157096056
d12-s10,4,2.0,0.0015873015873015873,0.8666429445913458,0.44067406651005575,0.9594824519113293
d12-s10,8,4.0,0.0031746031746031746,0.2687799163513964,2.325582794857171,0.3551019347715673
d12-s10,16,8.0,0.006349206349206349,-0.12342451332075634,0.24779918672343856,0.3192979345707014
d12-s10,32,16.0,0.012698412698412698,0.39064938868927673,0.17258166604640493,0.7988585092802255
d12-s10,40,8.0,0.015873015873015872,0.7877411556973214,0.156364871721355,0.955296749930731
d12-s10,64,24.0,0.025396825396825397,0.5251755424248907,0.1383813071184138,0.7515858988218217
d12-s10,126,62.0,0.05,0.10830460541618037,0.2550054521878129,0.38349902372589584
d12-s10,252,126.0,0.1,0.17075555848681442,0.26910872396669344,0.302970778317767
d12-s10,378,126.0,0.15,-0.0845690832092472,0.20255855273127563,0.42651362359290623
d12-s10,400,22.0,0.15873015873015872,-0.01785417989858638,0.21339317406121683,0.7118044329787785
d12-s10,504,104.0,0.2,-0.026091245428346795,0.21825565902478122,0.5275297195468442
d12-s10,630,126.0,0.25,0.13804283758813593,0.19826772251459443,0.5802877956147026
d12-s10,756,126.0,0.3,0.33242220576243087,0.28490387944211887,0.6272714048509322
d12-s10,882,126.0,0.35,-0.27650500459667776,0.23348561368853135,0.6335846515550365
d12-s10,1008,126.0,0.4,0.29052733920384866,0.2690275820357128,0.6990630960415632
d12-s10,1134,126.0,0.45,-0.02552133170198331,0.2474059448580285,0.6912631677083115
d12-s10,1260,126.0,0.5,-0.09710191499755949,0.23276012838763036,0.7419698549342054
d12-s10,1385,125.0,0.5496031746031746,-0.207615488672948,0.28446455367387313,0.7873568129966347
d12-s10,1511,126.0,0.5996031746031746,0.07963280902397242,0.2540807708325653,0.8219762020583373
d12-s10,1637,126.0,0.6496031746031746,0.3424539345964732,0.2319153763455057,0.8391149750335581
d12-s10,1763,126.0,0.6996031746031746,0.3983182379816646,0.18978975184447677,0.8668078508167424
d12-s10,1889,126.0,0.7496031746031746,-0.2218351330282664,0.19171198578805512,0.8707240528763155
d12-s10,2015,126.0,0.7996031746031746,-0.06433016918543158,0.16347418153499993,0.8994034639572095
d12-s10,2141,126.0,0.8496031746031746,-0.01170729240053655,0.1318563174554101,0.9186443122716016
d12-s10,2267,126.0,0.8996031746031746,0.1511774684421938,0.1122823152618609,0.938349242495102
d12-s10,2393,126.0,0.9496031746031746,-0.0697248395915546,0.09362292097554739,0.9568622706894273
d12-s10,2519,126.0,0.9996031746031746,0.005923942797017319,0.09361578337740359,0.9735356614679762
d12-s11,0,,0.0,,0.3078707781142092,
d12-s11,1,1.0,0.0003968253968253968,0.9723790383993046,0.3097796255200587,0.9979370749195994
d12-s11,2,1.0,0.0007936507936507937,0.9685830033320313,0.32686321527850576,0.9968227308643723
d12-s11,4,2.0,0.0015873015873015873,0.8752089258747671,0.4285179794568404,0.9732590162308901
d12-s11,8,4.0,0.0031746031746031746,0.39737395020282185,2.066381387000712,0.41038878356248265
d12-s11,16,8.0,0.006349206349206349,-0.19602272506203453,0.2588701010060609,0.3844028585010316
d12-s11,32,16.0,0.012698412698412698,0.10243955522936166,0.143573762096184,0.7813367027824009
d12-s11,40,8.0,0.015873015873015872,0.6677149271436263,0.12803537497930814,0.9406761952176241
d12-s11,64,24.0,0.025396825396825397,0.5667891522494709,0.11849010655988786,0.7767922635203491
d12-s11,126,62.0,0.05,-0.38074602806480884,0.16109298203877978,0.4336957542904421
d12-s11,252,126.0,0.1,-0.32429998193077225,0.22148597822009897,0.28119397089934484
d12-s11,378,126.0,0.15,0.16342215066871368,0.19312502322774067,0.45622897083342995
d12-s11,400,22.0,0.15873015873015872,0.060632215454491475,0.19973280983716282,0.732898107718004
d12-s11,504,104.0,0.2,0.0358251829280619,0.182615787955682,0.5571854840113756
d12-s11,630,126.0,0.25,0.07946322438828217,0.21125457536416703,0.5861326944454804
d12-s11,756,126.0,0.3,-0.05613474371056378,0.24049142357041076,0.6303315951709627
d12-s11,882,126.0,0.35,0.25428021854207405,0.2653003241874259,0.6834904363412675
d12-s11,1008,126.0,0.4,0.14332640902080176,0.2688961401794081,0.7343017171125206
d12-s11,1134,126.0,0.45,-0.009137102221003647,0.31575409762274625,0.7346797458855724
d12-s11,1260,126.0,0.5,-0.4246567042226679,0.3545720588063194,0.7279288492033337
d12-s11,1385,125.0,0.5496031746031746,-0.02528164270555854,0.30506676475968747,0.7924332955709694
d12-s11,1511,126.0,0.5996031746031746,-0.06705847399074397,0.3114614177756935,0.7904607062897049
d12-s11,1637,126.0,0.6496031746031746,0.24214277734163192,0.27840692659600275,0.8631682746895388
d12-s11,1763,126.0,0.6996031746031746,0.0049586484163249385,0.22394681810054554,0.8756166270794664
d12-s11,1889,126.0,0.7496031746031746,0.030784848119273088,0.2201668404859206,0.9009208638071017
d12-s11,2015,126.0,0.7996031746031746,-0.10154446928362097,0.16810056837025733,0.9228613397826416
d12-s11,2141,126.0,0.8496031746031746,-0.09247759519733095,0.134449303015783,0.9409601568507291
d12-s11,2267,126.0,0.8996031746031746,0.04341043730635347,0.11473104358128022,0.9561396514387487
d12-s11,2393,126.0,0.9496031746031746,-0.008918704933882223,0.099193570178201,0.9749674921062782
d12-s11,2519,126.0,0.9996031746031746,-0.0178763595090451,0.10065116691365625,0.9895078209300113
d12-s7,0,,0.0,,0.3050564093731215,
d12-s7,1,1.0,0.0003968253968253968,0.971543884672996,0.30726542329925033,1.0135170016538075
d12-s7,2,1.0,0.0007936507936507937,0.966453519659055,0.32542724046360316,1.0134057878078722
d12-s7,4,2.0,0.0015873015873015873,0.8575509899570082,0.446769860359302,0.9864026037122248
d12-s7,8,4.0,0.0031746031746031746,0.13924794748191976,3.0846772354996603,0.2314217866722693
d12-s7,16,8.0,0.006349206349206349,-0.19711917964270578,0.2378644133989456,0.18418006368404086
d12-s7,32,16.0,0.012698412698412698,0.3287511636409777,0.16274982877236413,0.7785081996114187
d12-s7,40,8.0,0.015873015873015872,0.7113241332155068,0.17378244556787656,0.9130177595878571
d12-s7,64,24.0,0.025396825396825397,0.572404293274134,0.15000900563464611,0.7002661116528376
d12-s7,126,62.0,0.05,-0.10226626033028745,0.20698451147918356,0.3272673027385142
d12-s7,252,126.0,0.1,-0.1899100264632953,0.3135144294198064,0.28403063853767374
d12-s7,378,126.0,0.15,-0.15518448828665118,0.24248461109098093,0.4453026180060181
d12-s7,400,22.0,0.15873015873015872,0.0905177614315162,0.26185218820628314,0.7022748193769078
d12-s7,504,104.0,0.2,-0.28322849144932905,0.32532878966293105,0.4899445395900732
d12-s7,630,126.0,0.25,-0.008592627135243915,0.23258145078466289,0.5615322220308506
d12-s7,756,126.0,0.3,0.2590221042888661,0.30374780656194555,0.6433637737281476
d12-s7,882,126.0,0.35,-0.4840164899445883,0.39606288353990493,0.670922932794172
d12-s7,1008,126.0,0.4,0.3956099298648289,0.3727762032516465,0.7350511299673501
d12-s7,1134,126.0,0.45,-0.06827558603017227,0.4342185288314279,0.7528339003891735
d12-s7,1260,126.0,0.5,-0.30648089960113123,0.35618165108470967,0.7678163156342097
d12-s7,1385,125.0,0.5496031746031746,-0.5078077198040835,0.366262114655768,0.8178339039649207
d12-s7,1511,126.0,0.5996031746031746,-0.4953091003451234,0.3763017539408873,0.8303356231339905
d12-s7,1637,126.0,0.6496031746031746,-0.43295833327642175,0.3326158118240109,0.8018220513456886
d12-s7,1763,126.0,0.6996031746031746,0.5881923751234966,0.28701936372204695,0.8769861846618207
d12-s7,1889,126.0,0.7496031746031746,-0.38958684425226797,0.24415268195888568,0.892129431130732
d12-s7,2015,126.0,0.7996031746031746,0.28568319954892596,0.18430373521149684,0.9137933709965426
d12-s7,2141,126.0,0.8496031746031746,-0.130951869280425,0.1447210610145693,0.9259358510401097
d12-s7,2267,126.0,0.8996031746031746,0.0072641627429263856,0.11740397924105764,0.9453496515824051
d12-s7,2393,126.0,0.9496031746031746,-0.012040525308638745,0.10564035693651223,0.9594037762429007
d12-s7,2519,126.0,0.9996031746031746,-0.026341107497528896,0.10450657689261843,0.9734825528595704
d12-s8,0,,0.0,,0.30579196637153083,
d12-s8,1,1.0,0.0003968253968253968,0.971623554996714,0.30869017739479787,0.9788203385174733
d12-s8,2,1.0,0.0007936507936507937,0.9674901068298701,0.32618511441779147,0.9788352447413332
d12-s8,4,2.0,0.0015873015873015873,0.866156929873564,0.43779727643893834,0.9579921663838933
d12-s8,8,4.0,0.0031746031746031746,0.2060583723296805,2.6866191696805797,0.30251012943467837
d12-s8,16,8.0,0.006349206349206349,-0.1805753182768703,0.2514160214209048,0.2512930725610765
d12-s8,32,16.0,0.012698412698412698,0.40571832459364215,0.17780296660059702,0.7653253775953393
d12-s8,40,8.0,0.015873015873015872,0.7940693816120235,0.15617255732661184,0.9232428027235114
d12-s8,64,24.0,0.025396825396825397,0.6051797007460151,0.13522989876110678,0.7311357761256231
d12-s8,126,62.0,0.05,-0.2605807762244368,0.23274342570661694,0.3189318956478081
d12-s8,252,126.0,0.1,0.1374273702456317,0.2080050531943101,0.2989417928911337
d12-s8,378,126.0,0.15,-0.24520492637460398,0.2401859942640788,0.43959973879478764
d12-s8,400,22.0,0.15873015873015872,-0.1929078476471979,0.20630103349747805,0.7210701599081589
d12-s8,504,104.0,0.2,-0.36620488960873804,0.17126817578729958,0.5395302327636747
d12-s8,630,126.0,0.25,0.06737569016847333,0.2080573475848944,0.5797259967724201
d12-s8,756,126.0,0.3,-0.30610244386817537,0.2901116536408293,0.5518931701471408
d12-s8,882,126.0,0.35,-0.20324112829852656,0.22440151988541476,0.6459271800332754
d12-s8,1008,126.0,0.4,0.11132467913487612,0.21138235301025682,0.7068496423911672
d12-s8,1134,126.0,0.45,-0.5900900561026491,0.2497698217616796,0.7307986665709436
d12-s8,1260,126.0,0.5,-0.17818767844914613,0.3075491751242651,0.7617835204849512
d12-s8,1385,125.0,0.5496031746031746,-0.04693045392818971,0.2684857799562365,0.8042348098340975
d12-s8,1511,126.0,0.5996031746031746,-0.10086576624813594,0.2266620161207249,0.8211627056545417
d12-s8,1637,126.0,0.6496031746031746,0.19025638410089865,0.23056040779315443,0.8434335255651036
d12-s8,1763,126.0,0.6996031746031746,-0.21447336324133504,0.20443093918386837,0.8664764004922898
d12-s8,1889,126.0,0.7496031746031746,-0.05596700244983943,0.16996744665678082,0.897183016099161
d12-s8,2015,126.0,0.7996031746031746,0.12476873247246946,0.1300679118139754,0.9150674632845355
d12-s8,2141,126.0,0.8496031746031746,-0.013422503410480471,0.11681175621408833,0.9279558673856364
d12-s8,2267,126.0,0.8996031746031746,0.07045874954481343,0.10235456948651825,0.9496596260621806
d12-s8,2393,126.0,0.9496031746031746,-0.08110661606181231,0.08921863234227198,0.9711720353508921
d12-s8,2519,126.0,0.9996031746031746,0.02108927380579979,0.09046001119752188,0.9873852716215163
d12-s9,0,,0.0,,0.303880349901558,
d12-s9,1,1.0,0.0003968253968253968,0.9716793200513948,0.30626290166986114,0.9943894391147395
d12-s9,2,1.0,0.0007936507936507937,0.9680061428625051,0.32283908535882927,0.9931061667731195
d12-s9,4,2.0,0.0015873015873015873,0.8759700538241625,0.42387549963934745,0.9698093179799274
d12-s9,8,4.0,0.0031746031746031746,0.48058148828603786,1.9296654895193488,0.44973847441258624
d12-s9,16,8.0,0.006349206349206349,-0.31671720339852355,0.2740435750422689,0.3794033832786562
d12-s9,32,16.0,0.012698412698412698,-0.049396995375333395,0.12600769250431643,0.761900463209989
d12-s9,40,8.0,0.015873015873015872,0.2630231744075675,0.1083541994429008,0.9359992113967452
d12-s9,64,24.0,0.025396825396825397,0.23680112507489012,0.12007460135601832,0.7669812811276352
d12-s9,126,62.0,0.05,0.012691053494062356,0.3575344955692203,0.4017399781408579
d12-s9,252,126.0,0.1,0.38623661880587723,0.2474256700444988,0.3525333846555996
d12-s9,378,126.0,0.15,0.1203467823596701,0.18065519803400612,0.48428867763843503
d12-s9,400,22.0,0.15873015873015872,-0.029867681771494632,0.20221857471585644,0.7385878873733965
d12-s9,504,104.0,0.2,-0.04785024836079139,0.2200121625969662,0.5551231254536886
d12-s9,630,126.0,0.25,0.2083663913353528,0.24848739410219728,0.5940812945351821
d12-s9,756,126.0,0.3,-0.7090709708181442,0.30213923642711626,0.5214347989604257
d12-s9,882,126.0,0.35,-0.39904600956818764,0.24589155829790887,0.6234247200104377
d12-s9,1008,126.0,0.4,-0.2646849658473653,0.24762072680409958,0.694391144472888
d12-s9,1134,126.0,0.45,-0.2826619984789404,0.3098019058111496,0.7359544615613611
d12-s9,1260,126.0,0.5,0.15758259801667288,0.2744799503265443,0.7629824336900302
d12-s9,1385,125.0,0.5496031746031746,-0.12080342653421934,0.2964472444069054,0.7988602319511935
d12-s9,1511,126.0,0.5996031746031746,0.5518234860537639,0.2675491103856767,0.8435961533944443
d12-s9,1637,126.0,0.6496031746031746,0.5431992486269299,0.24903203170415136,0.8746260761068093
d12-s9,1763,126.0,0.6996031746031746,-0.018865868757384482,0.2310422841724334,0.8850149966020385
d12-s9,1889,126.0,0.7496031746031746,0.01992698562673505,0.200970968400774,0.8981363285100523
d12-s9,2015,126.0,0.7996031746031746,-0.17775167050045557,0.171446713670641,0.9216972912419975
d12-s9,2141,126.0,0.8496031746031746,-0.10207979380399532,0.12474824452447561,0.938373074474829
d12-s9,2267,126.0,0.8996031746031746,0.010295746191588866,0.11183455180105531,0.9550963530290125
d12-s9,2393,126.0,0.9496031746031746,-0.001786516949045067,0.09882863476890627,0.9687934569136978
d12-s9,2519,126.0,0.9996031746031746,-0.008434675662704552,0.0965277945983653,0.9827730532655883
d14-s7,0,,0.0,,0.3369908899855007,
d14-s7,1,1.0,0.00026602819898909286,0.972928770843056,0.33888879554433904,1.0136625791121117
d14-s7,2,1.0,0.0005320563979781857,0.9695198181028796,0.35788172459903533,1.0124849004692789
d14-s7,4,2.0,0.0010641127959563714,0.8807883349489622,0.4642590097324741,0.9913807312976186
d14-s7,8,4.0,0.002128225591912743,0.2463102092179467,2.532032777371539,0.3551440602255418
d14-s7,16,8.0,0.004256451183825486,-0.07630273869829614,0.2488299384083686,0.31680611230475375
d14-s7,32,16.0,0.008512902367650971,0.4405175786142274,0.16289698643222042,0.7729591975687206
d14-s7,40,8.0,0.010641127959563713,0.7481303615709559,0.16044026860584404,0.9292004977587669
d14-s7,64,24.0,0.017025804735301943,0.20589787382220082,0.1010129306218745,0.7400378464268792
d14-s7,128,64.0,0.034051609470603886,-0.05282115565989941,0.21935807372961444,0.33501690591240224
d14-s7,188,60.0,0.05001330140994945,-0.387594746148947,0.22205460992088302,0.45855192959975866
d14-s7,376,188.0,0.1000266028198989,0.14781877604505278,0.2289297272246584,0.37918876636891463
d14-s7,400,24.0,0.10641127959563713,0.018402593711269368,0.21232766723605384,0.7082357406660177
d14-s7,564,164.0,0.15003990422984836,-0.17093054353914292,0.1529205281536444,0.5202839133987357
d14-s7,752,188.0,0.2000532056397978,0.018073377152232433,0.19906270944975502,0.5589207992045999
d14-s7,940,188.0,0.25006650704974726,0.1677350283745478,0.2906554176260631,0.6206412098832866
d14-s7,1127,187.0,0.29981378026070765,0.27219435234740236,0.2961685621859102,0.690482522022695
d14-s7,1315,188.0,0.34982708167065707,0.11426345736340623,0.325762640584745,0.7422729899801677
d14-s7,1316,1.0,0.3500931098696462,-0.833539421621603,0.3161299788472096,0.9452250691386257
d14-s7,1503,187.0,0.39984038308060654,-0.045580810086866146,0.4050443637671703,0.8051699423588828
d14-s7,1691,188.0,0.449853684490556,0.20082836171201532,0.42521921190889034,0.8323358742428709
d14-s7,1879,188.0,0.49986698590050543,0.28316020744885884,0.4654142963730459,0.8678066771682099
d14-s7,2067,188.0,0.5498802873104549,0.523556711938588,0.44654931289599326,0.8947484427008773
d14-s7,2255,188.0,0.5998935887204043,0.017458740405236588,0.41200486239803724,0.9046984826661574
d14-s7,2443,188.0,0.6499068901303539,0.33819490960146353,0.3684033034667626,0.9232726553465747
d14-s7,2631,188.0,0.6999201915403033,0.16789139746033482,0.2884089841965457,0.9360190674522197
d14-s7,2819,188.0,0.7499334929502527,-0.013196310885332282,0.298533105175044,0.9390406141870353
d14-s7,3006,187.0,0.7996807661612131,-0.19105233722789325,0.21432798646857773,0.9526709410968699
d14-s7,3194,188.0,0.8496940675711625,0.14662216137523607,0.1873009137001824,0.9611174985801956
d14-s7,3382,188.0,0.899707368981112,-0.025834615209690374,0.1477611179828746,0.9703874168895329
d14-s7,3570,188.0,0.9497206703910615,0.033673207898441644,0.13892556602304826,0.9801697794094417
d14-s7,3758,188.0,0.9997339718010109,0.013909219400276951,0.13161727833916437,0.996295493464435
d16-s7,0,,0.0,,0.3577127133300992,
d16-s7,1,1.0,0.00018601190476190475,0.9724917669421322,0.3598406500892716,1.062171725480819
d16-s7,2,1.0,0.0003720238095238095,0.9688978538270604,0.3787370379741673,1.0616084152799978
d16-s7,4,2.0,0.000744047619047619,0.8762365033380807,0.4900088088248707,1.0412473262872062
d16-s7,8,4.0,0.001488095238095238,0.11027515665953469,3.7221577110303996,0.22662895179216885
d16-s7,16,8.0,0.002976190476190476,-0.07417440849957778,0.23370308283591154,0.19401213486171962
d16-s7,32,16.0,0.005952380952380952,0.35304967787473984,0.1730964567106409,0.843303695808186
d16-s7,40,8.0,0.00744047619047619,0.7420004392317213,0.16735889912010082,0.9604451805660249
d16-s7,64,24.0,0.011904761904761904,0.37692476316457996,0.18605199278688897,0.7357295773387926
d16-s7,128,64.0,0.023809523809523808,0.021245253919302175,0.21526431334426446,0.3329830520623242
d16-s7,256,128.0,0.047619047619047616,-0.12883139585592407,0.18740529413366921,0.34318021732848114
d16-s7,269,13.0,0.050037202380952384,0.18455585069635028,0.34680706510431775,0.795339365817213
d16-s7,400,131.0,0.0744047619047619,0.512847916046968,0.20964474037199562,0.48881879436216996
d16-s7,538,138.0,0.10007440476190477,0.36618480553065536,0.22425714326186694,0.5442818671503504
d16-s7,806,268.0,0.14992559523809523,-0.20181469946777783,0.14816174100642954,0.5383238257549989
d16-s7,1075,269.0,0.19996279761904762,-0.24529251666104415,0.18100896275002237,0.6034918284709009
d16-s7,1344,269.0,0.25,-0.20440490009059142,0.24932559142287708,0.6665001608147785
d16-s7,1613,269.0,0.3000372023809524,-0.08194538744802637,0.2880017628019444,0.7076021070538578
d16-s7,1881,268.0,0.34988839285714285,-0.480175582676737,0.30075691499740537,0.7252156813140506
d16-s7,1882,1.0,0.35007440476190477,-0.8714422640201147,0.33495105658464075,0.9142562956115207
d16-s7,2150,268.0,0.39992559523809523,-0.3813649245805293,0.29895733317795636,0.7756389122624558
d16-s7,2419,269.0,0.4499627976190476,-0.2797208589169371,0.3594702781524836,0.7991530048751163
d16-s7,2688,269.0,0.5,0.23108207506285042,0.4020261948139691,0.8231255539717065
d16-s7,2956,268.0,0.5498511904761905,0.14615011394786415,0.34447937105466603,0.863653251934349
d16-s7,3225,269.0,0.5998883928571429,-0.3956779539135152,0.31961788037147054,0.8629234401013244
d16-s7,3494,269.0,0.6499255952380952,0.010547585706688553,0.28696881394088164,0.884005510084388
d16-s7,3763,269.0,0.6999627976190477,-0.09172952065498909,0.28535138527321524,0.9060492054649522
d16-s7,4031,268.0,0.7498139880952381,0.29101864904158065,0.22072849356882696,0.9043055592863942
d16-s7,4300,269.0,0.7998511904761905,0.05620680304395101,0.1827192135923598,0.9220104887579396
d16-s7,4569,269.0,0.8498883928571429,0.08401784794345865,0.14720594607071094,0.939083617685647
d16-s7,4838,269.0,0.8999255952380952,0.0521360310319486,0.13567423402544582,0.9469419868998875
d16-s7,5106,268.0,0.9497767857142857,-0.03310184710366817,0.12530780866228028,0.960199333476167
d16-s7,5375,269.0,0.9998139880952381,0.01127222688058807,0.11184819025431669,0.974368906800677
