run,step,progress,K,b,s2,signal_raw,gbar2,row_trace,b_noise,mean_sq_norm_sub,cos_mean,cos_sd,cos_min,cos_max,cos_pred_mean,I_exact,I_sketch,rel_err_inner,abs_err_cos,sd_err_cos,pred_cos_from_bnoise
d12-s10,0,0.0,8,4,0.1884063996041603,0.07373214229624676,0.0972829422467668,0.7536255984166412,10.221127108834915,0.2621385417878628,0.2755726490701948,0.04345248540334503,0.19243623316287994,0.3475598096847534,0.2844419647099793,0.07373214229624676,0.07214771539104027,-0.021488957947816825,-0.008869315639784502,0.05427113738809867,0.2812716579626793
d12-s10,101,0.04007936507936508,8,4,0.11843085658262506,0.013796968642013217,0.02860082571484135,0.47372342633050024,34.335326738944865,0.13222782500088215,0.10248967260122299,0.014682578746301618,0.07450249791145325,0.1295682191848755,0.10509349876738339,0.013796968642013217,0.013509142351613072,-0.02086156009108286,-0.0026038261661603945,0.01612705443139666,0.10434240008541258
d12-s10,202,0.08015873015873017,8,4,0.24858739685464976,0.03982328127409523,0.07089670588092645,0.994349587418599,24.969052162595567,0.2884106785058975,0.13925136093582427,0.033826104924916195,0.07162213325500488,0.19585926830768585,0.13880118344043563,0.03982328127409523,0.03976652670335138,-0.0014251605826555939,0.0004501774953886438,0.03003640631193495,0.1380783871543006
d12-s10,303,0.12023809523809524,8,4,0.23763463001699034,0.046103546867528725,0.07580787561965252,0.9505385200679614,20.61747055598963,0.2837381735444069,0.16570824278252466,0.027673190766027526,0.10609712451696396,0.22674067318439484,0.16454631203078057,0.046103546867528725,0.046572068158869794,0.010162369777910817,0.0011619307517440316,0.027068962487742106,0.16248623069955365
d12-s10,404,0.16031746031746033,8,4,0.1993459703546177,0.05225850612944732,0.07717675242377453,0.7973838814184708,15.258451503441472,0.2516044769436121,0.20702822559646197,0.017203534481567605,0.1759389340877533,0.23731569945812225,0.20817640836309267,0.05225850612944732,0.0521134727556409,-0.002775306539516517,-0.0011481827666307179,0.021974925518363164,0.2077010189155241
d12-s10,505,0.2003968253968254,8,4,0.1726608586928811,0.044117356267131064,0.0656999636037412,0.6906434347715243,15.654687705892233,0.216778215020895,0.2032769572521959,0.03978542865830916,0.13916905224323273,0.27308687567710876,0.20495202115180117,0.044117356267131064,0.044329039619668754,0.004798187617044543,-0.0016750638996052597,0.050134183016106795,0.2035137906974146
d12-s10,606,0.24047619047619048,8,4,0.17283616517100395,0.03382026489044623,0.05542478553682173,0.6913446606840158,20.441728145048067,0.20665642991662025,0.164068162973438,0.021261197593831865,0.11627788841724396,0.2105308622121811,0.1640908375300368,0.03382026489044623,0.0338411093387574,0.000616330131614471,-2.2674556598857587e-05,0.021199696945764655,0.16365454914898914
d12-s10,707,0.28055555555555556,8,4,0.1878219895898537,0.044496498261167465,0.06797424695989918,0.7512879583594148,16.884204099608244,0.2323184870183468,0.1923577572618212,0.04105213539564928,0.125480517745018,0.2836454212665558,0.19189344143696765,0.044496498261167465,0.044650900298058134,0.0034699817496743825,0.0004643158248535742,0.041529492449819516,0.1915323170048426
d12-s10,808,0.32063492063492066,8,4,0.20953174195350194,0.07037615847136486,0.0965676262155526,0.8381269678140078,11.90924577326895,0.2799079082906246,0.25491784512996674,0.01877262917898356,0.21643558144569397,0.2959061563014984,0.25276371223050653,0.07037615847136486,0.07121403177024037,0.011905641300617883,0.002154132899460183,0.02413650075335197,0.2514261239662841
d12-s10,909,0.3607142857142857,8,4,0.2450065477974996,0.06761623571227407,0.09824205418696152,0.9800261911899985,14.493947805084611,0.31262278743088245,0.2147437504359654,0.04723547689415106,0.13994795083999634,0.29925844073295593,0.22170550504515538,0.06761623571227407,0.06748022639706013,-0.002011489012678881,-0.006961754609190006,0.06676774458048303,0.21628697356333326
