region,n_pts,n_pts_both,step_lo,step_hi,n_abs,medabsz_abs,n_inf_abs,medrel_abs,medabsrel_abs,seedsdrel_abs,medgap_abs,n_prog,medabsz_prog,n_inf_prog,medrel_prog,medabsrel_prog,seedsdrel_prog,medgap_prog,align_dz,align_dz_max,align_drel,sign_flip_frac,metric,arm,tier
post,19,9,538,5106,9,2.440553387857104,0,-4.631857791378778,4.940154550158735,2.2718646455583915,126.0,19,0.8594486884242939,0,-0.9561637490660053,2.161280019020482,2.091607464597091,0.04999999999999999,2.0455170095654434,9.166792700028351,3.2643525734263017,0.0,calib/grad_cosine_prev,none,sparse
warmup,13,13,0,400,13,2.9104869114926992,0,0.11925960986012332,0.16111073508113907,0.12489148620417628,8.0,13,6.852272489491058,0,0.1697910758567337,0.2990607671491561,0.09616344308186461,0.0031746031746031746,3.1826546936984217,398.5333316500558,0.29499672943896693,0.3076923076923077,calib/grad_norm,none,sparse
post,19,9,538,5106,9,3.28373504694049,0,0.14033416055991524,0.43984177758731274,0.14023892073991984,126.0,19,0.893734066201928,0,0.16049631280652052,0.17063961203812866,0.16550443766307663,0.04999999999999999,2.661680126282669,42.5053383318065,0.25993153701981975,0.3333333333333333,calib/grad_norm,none,sparse
warmup,12,10,1,270,12,3.8712299017513887,0,0.29957699848183406,0.29957699848183406,0.0958454986091494,8.0,10,5.059415354332121,0,0.46580634666290366,0.6577384633896455,0.12199176716599466,0.004761904761904762,10.36495128040829,2015.7631989234842,0.8585096725641507,0.5,curvature/Hg_norm,native,sparse
post,21,10,401,5376,10,1.8761630678899475,0,-0.3954353918083743,0.3954353918083743,0.22004246681525047,126.0,21,4.791569976774317,0,0.9964847277394873,0.9964847277394873,0.2295687336787405,0.04999999999999999,4.76985522957103,12.042865059654625,1.38046071190725,0.7,curvature/Hg_norm,native,sparse
warmup,12,10,1,270,12,3.87405359571226,0,0.29815706089166283,0.29815706089166283,0.09713774506240233,8.0,10,5.139772285499027,0,0.5105541503635985,0.6619327361873213,0.12339966924863019,0.004761904761904762,10.35093007691556,1856.9937656356628,0.8890425065243577,0.4,curvature/Hg_norm,shadow_fp32,sparse
post,21,10,401,5376,10,1.830789003885966,0,-0.3927152593931196,0.3927152593931196,0.21572845706595617,126.0,21,4.748460809010217,0,0.9482612626453586,0.9482612626453586,0.22676190670916335,0.04999999999999999,4.779402972210711,12.417149976169112,1.3798608291269623,0.7,curvature/Hg_norm,shadow_fp32,sparse
warmup,12,10,1,270,12,0.0,0,0.0,0.0,0.0,8.0,10,0.0,0,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,curvature/arith_eps,native,sparse
post,21,10,401,5376,10,0.0,0,0.0,0.0,0.0,126.0,21,0.0,0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,curvature/arith_eps,native,sparse
warmup,12,10,1,270,12,0.0,0,0.0,0.0,0.0,8.0,10,0.0,0,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,curvature/arith_eps,shadow_fp32,sparse
