metric,arm,tier,group,w_n_abs,w_n_prog,w_n_pts_both,w_medabsz_abs,w_medabsz_prog,w_n_inf_abs,w_n_inf_prog,w_medabsrel_abs,w_medabsrel_prog,w_medrel_abs,w_medrel_prog,w_seedsdrel_abs,w_align_dz,w_align_dz_max,w_align_drel,w_sign_flip_frac,w_frac_zero_sd_abs,w_frac_exact_eq_abs,w_frac_exact_eq_prog,w_medgap_abs,w_medgap_prog,p_n_abs,p_n_prog,p_n_pts_both,p_medabsz_abs,p_medabsz_prog,p_n_inf_abs,p_n_inf_prog,p_medabsrel_abs,p_medabsrel_prog,p_medrel_abs,p_medrel_prog,p_seedsdrel_abs,p_align_dz,p_align_dz_max,p_align_drel,p_sign_flip_frac,p_frac_zero_sd_abs,p_frac_exact_eq_abs,p_frac_exact_eq_prog,p_medgap_abs,p_medgap_prog,deterministic,verdict,verdict_prog,verdict_flip,align_unstable_warmup,align_unstable_post,align_unstable,untestable_warmup,why_unsafe,unsafe
calib/grad_cosine_prev,none,sparse,dynamics,12.0,10.0,10.0,1.1991156809990131,3.448789042462331,0.0,0.0,0.4623509521079246,1.8500800214889428,0.0270977151894125,0.1690712287881452,0.4389882457391653,3.477044459646483,18.86925339590865,1.7974547714790317,0.4,0.0,0.0,0.0,12.0,0.0063492063492063,9.0,19.0,9.0,2.440553387857104,0.8594486884242939,0.0,0.0,4.940154550158735,2.161280019020482,-4.631857791378778,-0.9561637490660052,2.2718646455583915,0.6023351328542215,1.8760774094617048,2.733590102385095,0.0,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,False,True,False,alignment-unstable in window; verdict flips with alignment,True
curvature/c_fd_gradient,native,sparse,dynamics,12.0,10.0,10.0,1.4208167104919491,1.3076284079747278,0.0,0.0,0.4150902227956468,0.6749515924253399,0.1486595423474179,-0.0458823493540207,0.2637745634463041,0.8024135465840772,5.503035440030497,0.8231568126195554,0.7,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.2272913390684836,2.948059377248755,0.0,0.0,0.2724150733026428,0.6857012582193899,-0.2724150733026428,0.6857012582193899,0.2137356127468113,3.451575649298409,6.0401488684522375,0.6192547665536103,0.8,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,True,True,False,alignment-unstable after window,True
curvature/c_fd_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.8554215610082607,1.6948936720246417,0.0,0.0,0.3282350516790683,0.6839124933983711,0.3282350516790683,-0.0891770363537754,0.2266901656859202,1.001317521452206,6.5330022209384335,0.6958338203400045,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.798202338823883,3.008991022926525,0.0,0.0,0.2947699315137761,0.6608165216193943,-0.2947699315137761,0.6608165216193943,0.2048154311073489,3.59192577802314,6.257131947949233,0.6205599459705278,0.8,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
curvature/c_fd_random,native,sparse,dynamics,12.0,10.0,10.0,0.0789078067429889,0.0882267860850049,0.0,0.0,1.2148154547810786,3.18593666716005,0.88345068527102,0.949911265029379,95.9168203957081,0.063864151591666,1.0146190578578105,1.6105083188987637,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0999143510376773,0.2055744813834958,0.0,0.0,7.273716655684382,5.053671939024693,-1.4663680118582758,0.9728561732056608,127.61757389368032,0.056626715068823,0.2525031740854495,1.454558840387805,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/c_fd_random,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.253753658857393,0.7458612653169916,0.0,0.0,1.306,4.589363255855332,0.25,-1.2977928287812506,59.63061570756503,0.351780723059662,1.874507600849981,5.845486111111111,0.5,0.0,0.0833333333333333,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0905676980580937,0.1240524536207127,0.0,0.0,1.3331360306017943,6.880047469134429,1.01736559599066,-0.775,19.401609970579536,0.0586818587978286,0.359861786027393,1.0146590793626975,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/c_fd_update,native,sparse,dynamics,12.0,10.0,10.0,0.2591655219658574,0.6347988974832657,0.0,0.0,5.895025884844383,18.65930794180732,0.7102148661350061,-1.1522274332507787,9.697639505078824,0.2430605591932379,0.5436152468995077,1.128935284448256,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.2618162391809945,0.8769153549972062,0.0,0.0,5.2296592244126,34.55146429540568,0.522852461606476,0.2426607839809944,48.857879534471714,0.0216126273597052,0.7809715564543198,1.0259762269388517,0.3,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/c_fd_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.9374039941023714,0.399240184563828,0.0,0.0,1.7777777777777777,1.3937015683955931,0.91,0.6721389496724853,35.46916588242613,0.3267667077299751,1.518961997027903,8.941688910590278,0.1,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.2008207613090019,0.1957295265041745,0.0,0.0,4.625,3.078886310904652,-0.2578964064778957,0.9927839071464956,19.451030409549524,0.051644668877929,1.7822672450225163,6.502994607877031,0.4,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_eps_gradient,native,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_eps_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.083489495416371,0.5566551902713159,2.0,2.0,0.1283144571282642,0.1594249231845128,-0.0641572285641321,-0.0791802819482681,0.1040300890527208,1.1883903341492197,4.563160824279206,0.2893439845127891,0.2,0.3333333333333333,0.3333333333333333,0.2,8.0,0.0047619047619047,10.0,21.0,10.0,2.8117450620595754,2.283958681670609,0.0,0.0,0.256805754166708,0.2599171955077147,0.256805754166708,-0.2599171955077147,0.1054235367827662,3.420761092876905,7.048150047613843,0.8265875909581062,0.9,0.0,0.1,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,True,True,False,alignment-unstable after window,True
curvature/curv_eps_random,native,sparse,dynamics,12.0,10.0,10.0,1.4596643634472044,1.6508079009034673,0.0,0.0,2.333333333333333,1.11447590985977,2.333333333333333,1.11447590985977,1.5434702946897587,0.4494437697049584,1.9064354292726515,0.7384665559772294,0.0,0.0,0.0833333333333333,0.1,8.0,0.0047619047619047,10.0,21.0,10.0,0.6106035991086691,1.2866647057736578,0.0,0.0,0.5907407407407408,0.8997039874629984,-0.2407407407407407,-0.6982409478329203,0.5913043705598089,0.7477033087033882,2.2262160021095805,0.7018655635706075,0.2,0.0,0.2,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_eps_random,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.3291698266611175,0.9433718271507204,0.0,0.0,0.7,0.7973594507657591,0.0,-0.0950022267026239,1.5306824572885476,0.3863164336091517,3.718418512744264,0.6515824874860958,0.3,0.0,0.25,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.6559983828356244,0.5197809674907395,0.0,0.0,2.2464128035320083,0.6666666666666666,2.2464128035320083,0.0018220970680795,1.4990843269260037,0.4550979280344724,1.557581044863944,1.3458167937160133,0.1,0.0,0.0,0.0952380952380952,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_eps_update,native,sparse,dynamics,12.0,10.0,10.0,0.631158185986449,1.082200954168487,1.0,0.0,0.7000000000000001,0.6049584450716559,0.0,0.0031956984883839,1.2847908467119962,1.2056839659261738,2.218180599356638,1.737344590053763,0.3,0.0833333333333333,0.1666666666666666,0.1,8.0,0.0047619047619047,10.0,21.0,10.0,0.4219314802728746,0.4942298842321698,0.0,0.0,0.6763565891472868,0.8995682497509134,-0.5968596292092319,-0.5079326336343667,1.2514700570988833,0.5269359966529417,2.1903907275818777,0.95422682128265,0.3,0.0,0.1,0.0476190476190476,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_eps_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.0822206735673214,0.7610771190873422,0.0,0.0,0.8,0.7937293971137647,0.0,0.1859932456304693,2.145991058078604,1.4581752151287823,2.3084063656000424,1.1826953124999997,0.2,0.0,0.1666666666666666,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.4135830446806787,0.73482386017331,0.0,0.0,0.9385149201943098,0.9008036739380022,0.2920454545454549,0.0006700915791807,0.956288133550086,0.4171932279688989,2.87089578701156,0.7435016324899901,0.3,0.0,0.0,0.0952380952380952,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_floor_gradient,native,sparse,dynamics,12.0,10.0,10.0,2.8532767824783454,41.8286814358052,0.0,0.0,0.01321101764942,0.2067715689300946,-0.01321101764942,-0.2067715689300946,0.0049719714607541,33.23926007556097,202.21221360969872,0.2171670641404244,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.687483153520738,12.3436910319868,0.0,0.0,0.033832925862913,0.1646643174887739,-0.0306217560882677,-0.1646643174887739,0.0121092951684098,10.529722679872616,21.79208575338838,0.2142925634343591,0.4,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,True,True,True,False,alignment-unstable in window; alignment-unstable after window; verdict flips with alignment,True
curvature/curv_floor_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,2.185368593741984,0.8129769725546838,0.0,0.0,0.2874492131803783,0.3632801572357098,0.1416843724224855,-0.0347576092697293,0.2020162546712606,0.5341553005957754,4.609215427902771,0.4049909540422052,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.04638853350607,2.4670296463105275,0.0,0.0,0.3795343564953433,0.5158837292502205,-0.3795343564953433,0.5158837292502205,0.2124160616529852,3.0713307964267265,6.893146191999351,0.6076710944183419,0.7,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,True,True,False,alignment-unstable after window,True
curvature/curv_floor_random,native,sparse,dynamics,12.0,10.0,10.0,0.0877843105468859,0.1176733433466874,0.0,0.0,0.9508210236427824,0.9580189770267538,-0.910921725467404,-0.9580189770267538,43.64601873817578,0.1510457117212376,2.0558139684048946,4.013624692815078,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.2508792030108479,1.695424512290936,0.0,0.0,0.9929659735896468,6.422472674662086,0.0064104597648727,6.422472674662086,5.580087643820894,0.1386089411198278,2.50903510502548,0.931801273164137,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_floor_random,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.1815770923485869,0.5762809625955119,0.0,0.0,0.9916189507692844,0.7995194649512544,-0.003179170513569,-0.7227106067575753,5.858865913960487,0.6611634640914846,2.49594048402091,5.132063613392543,0.1,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.2862540780693084,0.1809483760955475,0.0,0.0,0.9889976592558646,0.986694603160796,-0.9780327396239178,-0.1863215846768286,1.64863539709087,0.8487980370829777,2.5668972213742083,0.8413526292927028,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_floor_update,native,sparse,dynamics,12.0,10.0,10.0,0.2886077251993082,0.2722861610694272,0.0,0.0,0.9901206112588514,0.9063717396104872,-0.0128995074821089,-0.6921683248092421,3.808773786656441,0.3151417006175806,2.1994592174265613,0.907442273107973,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.2850441803952666,0.1868773374944123,0.0,0.0,1.0024270107066715,0.9510081296630716,0.1468810841314997,0.4798992714813948,3.23683896730034,0.2864871748063997,2.348235401042775,0.9773692198610348,0.3,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_floor_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.0311171600234648,1.323159792734975,0.0,0.0,0.99461906770354,0.9976923052499418,-0.3122578831292883,-0.8808684321118256,5.140045145667452,0.7428685305320311,2.527306010699709,2.782417925535388,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.1758933149566717,0.2858612720523509,0.0,0.0,0.9358962968501794,0.991692502309678,-0.3917118473034983,-0.2307435992528512,5.918662799970462,0.185393406352339,2.7318456294755027,0.8936804057124359,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_snr_gradient,native,sparse,dynamics,12.0,10.0,10.0,1.599205092107581,1.1624228907150145,0.0,0.0,0.4034798905974328,0.5240106243342074,0.2908790920627575,0.5006787091942799,0.2667908968717419,1.6080047815732643,5.187513815890755,0.4760164504977053,0.5,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.3645302451237984,4.3835915197607305,0.0,0.0,0.2733288625280805,1.0410521089594624,-0.2733288625280805,1.0410521089594624,0.2076175900699701,3.897398961385967,6.442779495972036,0.6890784941564594,0.8,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,post-dominated,True,False,True,True,False,alignment-unstable after window; verdict flips with alignment,True
curvature/curv_snr_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.7430982839402165,2.458867514791456,0.0,0.0,0.0957508758365642,0.1245713100400151,-0.01443392905219,0.0479924430573392,0.0948957936506258,0.8210544907843145,8.190138263800941,0.0701357076904152,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.4308031327410664,0.878013712849822,0.0,0.0,0.0877373637043595,0.0791405233628197,0.0612291490669858,0.0177878967541753,0.0593329410788503,0.3909854717385304,1.415335888137404,0.0298161500658054,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_snr_random,native,sparse,dynamics,12.0,10.0,10.0,1.0130799258194654,4.285918876210579,0.0,0.0,0.4357008943748072,1.0793368807036057,0.2996692884595251,1.0793368807036057,0.3758630403065469,1.3118300921997887,7.692890487252885,0.4159388671395973,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.8749725629759352,1.0828279148801805,0.0,0.0,0.4340931292486205,0.581763949325889,0.1730297427509824,0.3811619981106017,0.4103746572527011,0.4902993791551178,1.1601228608505776,0.2047486593956234,0.0,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,False,False,False,False,verdict flips with alignment,True
curvature/curv_snr_random,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.1182955346724317,1.5055072641278393,0.0,0.0,0.4986304548816667,0.6039697278710721,-0.2344283622052199,0.1310881941616954,0.4875331085071046,0.3884391592618393,1.4900196296109485,0.2357529506119741,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.9517265613038006,1.0665517438836214,0.0,0.0,0.4289316995303942,0.5115236787642365,-0.0513709020474468,0.2440715943614351,0.33201533397933,0.4141283523062282,0.900717783241035,0.1674219974730453,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_snr_update,native,sparse,dynamics,12.0,10.0,10.0,1.0150490888245314,2.3206857032765305,0.0,0.0,0.4671913943848003,1.604040313984806,0.3493932225278302,1.604040313984806,0.4926829984799566,1.4649603244679197,3.724608618670346,0.6395988287073126,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.697196157348041,0.6096578814875528,0.0,0.0,0.2933494749813551,0.4727016963843781,-0.1102971783828626,0.3705117494293087,0.4246432890061585,0.6336867408287217,1.19322382141257,0.2872832471302422,0.5,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/curv_snr_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.7317964144030167,1.2039732772600744,0.0,0.0,0.4864702978467851,0.5081024613618623,0.0428903154722404,0.4547902425437753,0.5487828171874196,0.2630410026694855,0.9855695392811804,0.166571479783431,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.959766081490845,0.7123736464252403,0.0,0.0,0.3382950181328906,0.3311391073279377,-0.0862323591254046,0.2126999017321749,0.2886948589944542,0.5855747250481604,1.6270378266483303,0.2647447717958399,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/e_curv_gradient,shadow_fp32,sparse,dynamics,7.0,5.0,5.0,0.9482884367335084,0.8281693650841973,0.0,0.0,0.8905596244394781,0.6641750394059479,-0.5737606310933588,-0.5081127348723842,0.9967924488033272,0.0838342886112204,0.4945052790973026,0.1081040335386445,0.0,0.0,0.0,0.0,24.0,0.0095238095238095,10.0,21.0,10.0,0.7971644506618311,1.156157347151979,0.0,0.0,0.3818626328922312,0.9765254256011922,0.16210541886659,0.9426711134167336,0.8006410056132566,0.5653088884009241,1.3513884298735896,0.6793767272278485,0.1,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/e_fd_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.492773696782563,3.489322515981798,0.0,0.0,0.1948404295772347,0.5215124565990754,0.1580839524777951,0.4261526631756905,0.0881030871895244,2.647840816044182,5.095586445798411,0.3207590709611098,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.2181444708554128,1.7985482807676458,0.0,0.0,0.3960018307354619,0.5890214496435955,-0.1536409267076899,-0.5571211171545716,0.3022471359825878,1.6258226335081898,3.4205988301751598,0.5274131699119327,0.4,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,False,False,False,verdict flips with alignment,True
curvature/e_lin_gradient,native,sparse,dynamics,12.0,10.0,10.0,0.7925759019486727,1.5602241620789354,0.0,0.0,0.1234241623346997,0.2093148364389,0.1234241623346997,-0.0245150031024819,0.1742640548644537,1.0936503473083885,4.913196529050711,0.258211823555015,0.6,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.8602702784823038,1.714985469495499,0.0,0.0,0.0681770568333126,0.1614815935218216,-0.0118520256356899,-0.1270124158473545,0.0539388937053276,1.031252801158678,7.4339493984514,0.1162223916744612,0.3,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/e_lin_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,2.520580764447116,6.115816168403621,0.0,0.0,0.1619270495967187,0.3008480040622941,0.136901839521804,0.0382357742133586,0.0319492696411261,1.7374252441632856,12.648104770670203,0.1357889058833158,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,1.5767853137936705,0.9557338532805412,0.0,0.0,0.0683326444486526,0.0613507947787005,0.0586330802412325,0.0517865482773779,0.0544769190289468,1.4177992399128114,3.68917487083471,0.1067773281138913,0.3,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,False,False,False,False,verdict flips with alignment,True
curvature/e_sym_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.6929521484110215,0.9909039662331652,0.0,0.0,0.8399026018914912,0.9848710824006268,0.2276342321352989,-0.0388728751583231,1.072105512630598,0.5572440784489268,2.8261862343872792,0.7536406972434244,0.1,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.837229551818854,0.5925033398574976,0.0,0.0,0.7319899756908681,0.9547943152110494,0.2521799262708041,0.0576648362774136,0.9567955795029583,0.4232878247087056,0.7895551653032366,0.411722393942646,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/e_sym_random,native,sparse,dynamics,12.0,10.0,10.0,1.1522217902151164,1.3160524607613466,0.0,0.0,0.8301209695578153,0.7337064740701786,-0.1353872215649919,-0.4759077489671722,0.9848133549368904,0.9119815727672956,2.020942540195028,0.6496710471795581,0.3,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.6011171360815101,0.7250162834624333,0.0,0.0,1.206927859979387,0.984779198122245,1.206927859979387,0.984779198122245,1.4874761205892248,0.3259014410442827,0.9433979782264446,0.6780455390718177,0.4,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/e_sym_random,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.142366205703179,0.9706670577176084,0.0,0.0,1.7491568275348544,0.9439519325950164,1.4821899750897112,0.4652681053597345,1.8551675160268248,0.2026454662886986,0.5972710725382165,0.4749585781963583,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.9395168148936162,0.4648123392566564,0.0,0.0,0.9304248552543456,3.780917612974896,0.4631737786183598,3.780917612974896,0.9799670441191652,0.1386169513593208,1.2086882571004798,0.4267362618339069,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/e_sym_update,native,sparse,dynamics,12.0,10.0,10.0,0.9414418819130832,0.7355006043240803,0.0,0.0,0.9612446412750666,0.923063484014409,-0.6929550836541207,-0.5222876352791124,1.3399187485573385,0.5955638002111644,1.782033674551806,1.434495065579176,0.2,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.3650041806915296,0.4260459761110606,0.0,0.0,0.4713602018092515,0.6823580220972313,0.0483696967187182,-0.2817126418613624,1.2182360820674345,0.1787552296091205,0.44109218698895,0.5691748771418343,0.2,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/e_sym_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.3776124146091755,0.3528408388476449,0.0,0.0,0.7067571636763874,0.6935150064530753,-0.2805502873221454,-0.6401900814082648,1.659610696250778,0.1065794637438967,0.5812519251020688,0.4065743547321026,0.0,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.2128422251010236,0.5535734325578542,0.0,0.0,0.5174781086942101,0.627533351656521,-0.190546297451368,0.5038050609767198,1.8035316684591824,0.1118385862471612,0.3181046164250734,0.3097126528249078,0.4,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/eta_star,native,sparse,dynamics,7.0,5.0,5.0,1.8020052591631448,3.154447945572204,0.0,0.0,0.2599367468003074,0.4808616310661089,-0.1519422342262305,0.0846617138898457,0.1998843983961865,0.5003682468206853,3.354839168854717,0.3316530529721873,0.2,0.0,0.0,0.0,24.0,0.0095238095238095,10.0,21.0,10.0,2.4047439003717828,1.8272983514243049,0.0,0.0,0.4274665853239013,0.4389201927799885,0.4274665853239013,-0.3973883592860892,0.1978820786260491,2.8042981534932387,5.800014666377589,1.6333588197927216,0.8,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,False,False,False,verdict flips with alignment,True
curvature/eta_star,shadow_fp32,sparse,dynamics,8.0,6.0,6.0,1.3639989635069467,2.0522320691672924,0.0,0.0,0.2748372354455387,0.5143256308893602,-0.1932751369473398,0.0573092113962293,0.2300589891885282,0.5962504986487637,3.359041482132599,0.4183806715176927,0.3333333333333333,0.0,0.0,0.0,20.0,0.0079365079365079,10.0,21.0,10.0,2.260688113306025,1.820257680704094,0.0,0.0,0.4122263337731188,0.4238010717539658,0.4122263337731188,-0.3994448413103233,0.194122072706388,2.81973752763568,5.8909140535376405,1.6520315906536696,0.8,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/eta_star_rho,native,sparse,dynamics,12.0,10.0,10.0,1.208616978243825,3.0502820840024434,0.0,0.0,0.1750493545667432,0.3488456529225645,0.0613490687374478,0.0360955073980666,0.0844761615470893,2.369200754578062,8.395940727867846,0.2595317328596366,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.0536290709900293,0.6846419904533186,0.0,0.0,0.0710674182216508,0.0386583542946312,-0.0710674182216508,0.0157894486274746,0.039900351947275,1.290199629410801,3.6713079235225785,0.1048561370747165,0.7,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,False,False,False,False,verdict flips with alignment,True
curvature/eta_star_rho,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,1.143010671339428,3.01821359428932,0.0,0.0,0.1626449736268607,0.3421689493094106,0.0591572455211433,0.0357486182511164,0.0871273184002663,2.325661622615755,8.823444648254648,0.2546475193286656,0.4,0.0,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,2.0570767327831616,0.6656828635605292,0.0,0.0,0.0673543854574857,0.0433325193889679,-0.0673543854574857,0.0097016728774365,0.0393427564588041,1.242852241138253,3.715531980631922,0.1017340077030952,0.7,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,warmup-dominated,True,False,False,False,False,verdict flips with alignment,True
curvature/fd_conclusive_random,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,1.0,3.0,1.0,1.0,-1.0,-1.0,0.0179581166395136,0.1299457209672833,3.213282138558192,0.390625,0.3333333333333333,0.75,0.6666666666666666,0.5,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.5731470650478276,0.1051829791520185,1159.1185023453827,1.0,,0.4,0.7,0.5714285714285714,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/fd_conclusive_update,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.9166666666666666,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,126.0,0.0499999999999999,False,not different,not different,False,False,False,False,False,,False
curvature/fd_cos_gradient,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.855568469399888,3.241064549223029,8.0,7.0,1.4485964153074901e-09,1.7708972137484731e-09,-5.229292015153888e-10,-4.2306836056667606e-10,0.0,2.6059781577567747,3.5189655869877314,1.8626051874250162e-09,0.5,0.6666666666666666,0.0,0.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.991282347141754,1.2262784835963076,0.0,0.0,1.5330338343265458e-07,1.6300452870469986e-07,5.516223919369097e-08,1.3567095544578724e-07,8.52999900875173e-08,1.132166713093094,2.725786011530375,4.0352103252220633e-07,0.4,0.0,0.0,0.0,126.0,0.0499999999999999,False,not different,uniformly different,True,False,False,False,False,verdict flips with alignment,True
