progress,d12_lo,d12_hi,d12_med,d14,d16,d14_below,d14_above,d14_in,d16_below,d16_above,d16_in,d14_rel,d16_rel,monotone,d12_range_rel,d12_sd_rel
0.05,0.0500646624714136,0.0580525137484073,0.0570627562701702,0.0407180227339267,0.0350962318480014,True,False,False,True,False,False,-0.28643435060965994,-0.3849537922452564,True,0.13998362152669774,0.05954451873765466
0.1,0.0430423133075237,0.0457918625324964,0.0454443302005529,0.0402803160250186,0.0414687450975179,True,False,False,True,False,False,-0.11363384943170463,-0.08748253270518291,False,0.06050368027955322,0.024608882664032838
0.15,0.0430895332247018,0.0444119907915592,0.0435433499515056,0.0452670082449913,0.0424952991306781,False,True,False,True,False,False,0.0395848802493457,-0.02406913620552198,False,0.030371057080592713,0.013605163250288224
0.2,0.0480826664716005,0.051095237955451,0.0499012637883424,0.048815120011568,0.0432935133576393,False,False,True,True,False,False,-0.021765857100960573,-0.13241649467496575,False,0.060370645052766715,0.02430748351627472
0.25,0.0516405422240495,0.0543370805680751,0.0526393614709377,0.0487467460334301,0.0439051780849695,True,False,False,True,False,False,-0.07394875866145756,-0.1659249493516437,True,0.05122665375632192,0.018427717783591962
0.3,0.052944540977478,0.0550587382167577,0.0533936135470867,0.0483849197626113,0.0433063972741365,True,False,False,True,False,False,-0.09380698274070443,-0.18892177552385547,True,0.03959644419674335,0.015422829530864608
0.35,0.0497521478682756,0.0542891602963209,0.0515524223446846,0.0460366643965244,0.0418717917054891,True,False,False,True,False,False,-0.10699318668832469,-0.18778226509842433,True,0.0880077447711455,0.03786531639532413
0.4,0.047357652336359,0.0491151753813028,0.0484602022916078,0.0445116534829139,0.0400860421359539,True,False,False,True,False,False,-0.08148023784411029,-0.1728048947311991,True,0.03626734850110517,0.014546014271367584
0.45,0.0463472213596105,0.0479527693241834,0.0470129586756229,0.0418810099363327,0.0377583838999271,True,False,False,True,False,False,-0.10916030141177235,-0.19685157106469187,True,0.034151178947293234,0.01291185146695252
0.5,0.0418439526110887,0.043881170451641,0.0437754914164543,0.0388164073228836,0.0356943067163229,True,False,False,True,False,False,-0.11328448712072448,-0.18460523088711356,True,0.04653786341702961,0.020046017606882263
0.55,0.0398966651409864,0.0401691105216741,0.0399331394582986,0.0360713750123977,0.0332236997783184,True,False,False,True,False,False,-0.0967057561285325,-0.16801683441360127,True,0.006822538482660727,0.002779913467622768
0.6,0.036565838381648,0.0371617786586284,0.0366773661226034,0.033870231360197,0.0320354662835598,True,False,False,True,False,False,-0.07653588736505357,-0.12656033760785534,True,0.01624817537301666,0.006968773570624675
0.65,0.0340726692229509,0.0347026921808719,0.0343720782548189,0.0323701240122318,0.0310050593689084,True,False,False,True,False,False,-0.058243619362947086,-0.0979579663745952,True,0.01832949853221844,0.007972433808475036
0.7,0.0328910369426012,0.0337207037955522,0.0330653004348278,0.0316659435629844,0.0306181330233812,True,False,False,True,False,False,-0.0423210088352759,-0.07401013688866986,True,0.025091768169059496,0.009961356894036173
0.75,0.0316510964184999,0.0324832778424024,0.0321885794401168,0.030868699774146,0.0298636043444275,True,False,False,True,False,False,-0.041004595074668804,-0.0722298136832864,True,0.025853313143274426,0.010297794100879342
0.8,0.0314391143620014,0.0318586304783821,0.0315349567681551,0.0304337255656719,0.0295317946001887,True,False,False,True,False,False,-0.03492096756559537,-0.063521957004528,True,0.013303208863261796,0.005106196201425909
0.85,0.0308742923662066,0.0309946844354271,0.0309636509045958,0.0302731171250343,0.0294945687055587,True,False,False,True,False,False,-0.022301432789342268,-0.047445380506439205,True,0.0038881742205221846,0.0017796391250441647
0.9,0.0305773764848709,0.0310197584331035,0.0308704022318124,0.0305370390415191,0.0295447316020727,True,False,False,True,False,False,-0.010798796458497906,-0.04294309545385777,True,0.014330294270565664,0.005802257603648931
0.95,0.0302918888628482,0.0308529958128929,0.0306848427280783,0.0303275249898433,0.029509793035686,False,False,True,True,False,False,-0.011644763553180448,-0.038294140947871536,False,0.01828612761737436,0.00690328641349465
1.0,0.0304710417985916,0.0309420228004455,0.0308364173397421,0.030485201627016,0.0296939983963966,False,False,True,True,False,False,-0.011389640659501987,-0.03704771960889075,False,0.015273531832989528,0.006616474832103683
