nominal,run,depth,seed,progress,n_matrix,median,mean,gmean,q25,q75
0.05,d12-s7,12,7,0.0503968253968254,78,0.05006466247141361,0.06120717291457531,0.05750165124835148,0.04480180982500315,0.07129275612533092
0.05,d12-s8,12,8,0.0503968253968254,78,0.053209029138088226,0.06419671618212493,0.06081726398325788,0.04750007763504982,0.0787720549851656
0.05,d12-s9,12,9,0.0503968253968254,78,0.057264262810349464,0.0666908510029316,0.06360321416073444,0.051679424941539764,0.07447179779410362
0.05,d12-s10,12,10,0.0503968253968254,78,0.058052513748407364,0.06779569716980824,0.06404161381176887,0.04993191733956337,0.08011615090072155
0.05,d12-s11,12,11,0.0503968253968254,78,0.05706275627017021,0.0668103076899663,0.06322789951850437,0.048576636239886284,0.08145335875451565
0.05,d14-s7,14,7,0.05027932960893855,91,0.04071802273392677,0.048580439208628055,0.04615916732911264,0.037300942465662956,0.05400748923420906
0.05,d16-s7,16,7,0.05022321428571429,104,0.03509623184800148,0.043119495161450826,0.04059875197769617,0.033065647818148136,0.04575210344046354
0.1,d12-s7,12,7,0.1003968253968254,78,0.044853633269667625,0.053110489765038855,0.05034209307510719,0.0404140567407012,0.06338022463023663
0.1,d12-s8,12,8,0.1003968253968254,78,0.04304231330752373,0.050677717926028445,0.0480993851118218,0.03870750032365322,0.05571942217648029
0.1,d12-s9,12,9,0.1003968253968254,78,0.04558346047997475,0.05456495079665612,0.051687391793100085,0.0410763006657362,0.06577540747821331
0.1,d12-s10,12,10,0.1003968253968254,78,0.04544433020055294,0.051471628583012484,0.049331302646860836,0.040071528404951096,0.05861948896199465
0.1,d12-s11,12,11,0.1003968253968254,78,0.04579186253249645,0.05417186571046328,0.05078057494229948,0.04019658640027046,0.06167825870215893
0.1,d14-s7,14,7,0.100292631018888,91,0.04028031602501869,0.04565368993924214,0.04391714488965602,0.036176785826683044,0.04997565411031246
0.1,d16-s7,16,7,0.10026041666666667,104,0.04146874509751797,0.04502826570891417,0.043760168880394926,0.03651213552802801,0.046210139989852905
0.15,d12-s7,12,7,0.1503968253968254,78,0.04441199079155922,0.051899161285314806,0.049331243115426714,0.03994107153266668,0.053576103411614895
0.15,d12-s8,12,8,0.1503968253968254,78,0.04426174238324165,0.050275408113614105,0.048610574523498026,0.039814881049096584,0.0528052868321538
0.15,d12-s9,12,9,0.1503968253968254,78,0.04308953322470188,0.05016510360516035,0.04836504323390867,0.03973036166280508,0.053238896653056145
0.15,d12-s10,12,10,0.1503968253968254,78,0.043269552290439606,0.051007143866557345,0.048949480069400066,0.04001951403915882,0.053306291811168194
0.15,d12-s11,12,11,0.1503968253968254,78,0.04354334995150566,0.04995936527848244,0.04837007339666789,0.03969131223857403,0.05381396692246199
0.15,d14-s7,14,7,0.15030593242883747,91,0.0452670082449913,0.050484548803869184,0.049046548833097975,0.04163755103945732,0.05312685668468475
0.15,d16-s7,16,7,0.15011160714285715,104,0.04249529913067818,0.04782162767906602,0.04611363756926007,0.03881633002310991,0.051500437781214714
0.2,d12-s7,12,7,0.2003968253968254,78,0.05109523795545101,0.05747820389194366,0.05560311857082641,0.04615419637411833,0.06389659829437733
0.2,d12-s8,12,8,0.2003968253968254,78,0.0494786836206913,0.05545715323816507,0.05409619643473836,0.04520095232874155,0.062213579192757607
0.2,d12-s9,12,9,0.2003968253968254,78,0.049901263788342476,0.0555506641857135,0.0542758167521134,0.045472102239727974,0.06487435474991798
0.2,d12-s10,12,10,0.2003968253968254,78,0.04808266647160053,0.056206575475442104,0.05428415166204991,0.04513308871537447,0.06264546141028404
0.2,d12-s11,12,11,0.2003968253968254,78,0.0508884321898222,0.05638042627236782,0.05476723058197047,0.045889717526733875,0.06251274794340134
0.2,d14-s7,14,7,0.20031923383878691,91,0.04881512001156807,0.05388378081740914,0.052023948609154484,0.04355963505804539,0.058094633743166924
0.2,d16-s7,16,7,0.20014880952380953,104,0.04329351335763931,0.04675638690017737,0.045719978531792854,0.03958637174218893,0.048369971103966236
0.25,d12-s7,12,7,0.2503968253968254,78,0.05263936147093773,0.05726665096023144,0.05597556461737201,0.04730646871030331,0.06504558026790619
0.25,d12-s8,12,8,0.2503968253968254,78,0.05289685167372227,0.058437249169517785,0.05705319946105525,0.04823597054928541,0.06425595283508301
0.25,d12-s9,12,9,0.2503968253968254,78,0.05433708056807518,0.05830917469201944,0.05694344798079828,0.04725069086998701,0.06725005246698856
0.25,d12-s10,12,10,0.2503968253968254,78,0.052637990564107895,0.05851697735488415,0.05689449645355995,0.04767771437764168,0.06456848047673702
0.25,d12-s11,12,11,0.2503968253968254,78,0.05164054222404957,0.05711780498043085,0.056037270986590615,0.047669717110693455,0.06491987966001034
0.25,d14-s7,14,7,0.2503325352487364,91,0.0487467460334301,0.052752330367054255,0.05143295939033162,0.043699463829398155,0.05754191614687443
0.25,d16-s7,16,7,0.2501860119047619,104,0.04390517808496952,0.04903949693275186,0.04717757904124972,0.04018249362707138,0.049503921531140804
0.3,d12-s7,12,7,0.3003968253968254,78,0.05294454097747803,0.058391899682390384,0.057010204652623325,0.047787646763026714,0.06492752768099308
0.3,d12-s8,12,8,0.3003968253968254,78,0.053393613547086716,0.05842878253987202,0.05690971746478761,0.04725860524922609,0.06346906162798405
0.3,d12-s9,12,9,0.3003968253968254,78,0.055058738216757774,0.0585707341058132,0.05696732980175356,0.047576759941875935,0.06495967321097851
0.3,d12-s10,12,10,0.3003968253968254,78,0.0537458136677742,0.059122022814475574,0.05730371197598646,0.04776894208043814,0.06454018130898476
0.3,d12-s11,12,11,0.3003968253968254,78,0.05325067229568958,0.05869992316151277,0.05726460002233606,0.047859725542366505,0.06591056287288666
0.3,d14-s7,14,7,0.30007980845969673,91,0.04838491976261139,0.05231149077087968,0.050759221527953105,0.04283630661666393,0.053200146183371544
0.3,d16-s7,16,7,0.3002232142857143,104,0.04330639727413654,0.04768495376293476,0.046125702881388154,0.03919745143502951,0.04939506109803915
0.35,d12-s7,12,7,0.3503968253968254,78,0.054289160296320915,0.0580787398876288,0.05658431857117315,0.04768900852650404,0.0629442697390914
0.35,d12-s8,12,8,0.3503968253968254,78,0.04986627586185932,0.0574835124783791,0.05583409593168843,0.04677824955433607,0.06335156410932541
0.35,d12-s9,12,9,0.3503968253968254,78,0.05286861024796963,0.05712560110558302,0.055746707758592653,0.04644162952899933,0.0638100877404213
0.35,d12-s10,12,10,0.3503968253968254,78,0.0515524223446846,0.05627018690873415,0.05491055387544467,0.04652364365756512,0.06119440868496895
0.35,d12-s11,12,11,0.3503968253968254,78,0.04975214786827564,0.055462687252423704,0.05435193388537357,0.04656490869820118,0.0638752356171608
0.35,d14-s7,14,7,0.3500931098696462,91,0.04603666439652443,0.05026421515823721,0.048903825651215746,0.041682807728648186,0.05217740871012211
0.35,d16-s7,16,7,0.35007440476190477,104,0.04187179170548916,0.0455795438387073,0.04424226304564,0.03793151769787073,0.047215571627020836
0.4,d12-s7,12,7,0.4003968253968254,78,0.04846020229160786,0.05426210805009573,0.05265186672301088,0.044685366563498974,0.05786998011171818
0.4,d12-s8,12,8,0.4003968253968254,78,0.04766417481005192,0.054592306224199444,0.052571475632553606,0.04429886024445295,0.05864901561290026
0.4,d12-s9,12,9,0.4003968253968254,78,0.047357652336359024,0.05517087208154874,0.0532010430678851,0.04444557148963213,0.05953825917094946
0.4,d12-s10,12,10,0.4003968253968254,78,0.04849557392299175,0.05507480362669016,0.05317676638200794,0.04520391672849655,0.056148214265704155
0.4,d12-s11,12,11,0.4003968253968254,78,0.049115175381302834,0.05577758890696061,0.05370171890714635,0.0445266654714942,0.060398842208087444
0.4,d14-s7,14,7,0.4001064112795956,91,0.04451165348291397,0.05030093481252482,0.048016297561953004,0.04045083932578564,0.05130011588335037
0.4,d16-s7,16,7,0.40011160714285715,104,0.0400860421359539,0.04453272576658772,0.04296968701750453,0.036763167940080166,0.045215170830488205
0.45,d12-s7,12,7,0.4503968253968254,78,0.047952769324183464,0.0537953641361151,0.05119447135707946,0.043004367500543594,0.056186881847679615
0.45,d12-s8,12,8,0.4503968253968254,78,0.04634722135961056,0.050532118106881775,0.04924403233909469,0.04190048389136791,0.052129341289401054
0.45,d12-s9,12,9,0.4503968253968254,78,0.047330742701888084,0.051575312534203895,0.049753304877469935,0.04190724901854992,0.052648356184363365
