progress,d12_lo,d12_hi,d12_med,d12_range_rel,d12_sd_rel,d14,d16,d14_out,d16_out,d14_dir,d16_dir,d14_rel,d16_rel
0.05,0.05750165124835148,0.06404161381176887,0.06322789951850437,0.10343475923161732,0.04313217505361441,0.04615916732911264,0.04059875197769617,True,True,below,below,-0.26995570498742205,-0.3578981385295825
0.1,0.0480993851118218,0.051687391793100085,0.05034209307510719,0.07127249707168919,0.02741949507850592,0.04391714488965602,0.043760168880394926,True,True,below,below,-0.127625765894667,-0.1307439518832173
0.15,0.04836504323390867,0.049331243115426714,0.048610574523498026,0.019876331250744474,0.008522704192879066,0.049046548833097975,0.04611363756926007,False,True,in,below,0.008968713368923575,-0.05136612719997691
0.2,0.05409619643473836,0.05560311857082641,0.05428415166204991,0.027759891053829155,0.01125355682365038,0.052023948609154484,0.045719978531792854,True,True,below,below,-0.04163651790980338,-0.1577656252891998
0.25,0.05597556461737201,0.05705319946105525,0.05689449645355995,0.018940932969902513,0.009278994979858785,0.05143295939033162,0.04717757904124972,True,True,below,below,-0.09599411900387056,-0.17078835419945493
0.3,0.05690971746478761,0.05730371197598646,0.057010204652623325,0.006910947147086221,0.0031630354461004394,0.050759221527953105,0.046125702881388154,True,True,below,below,-0.10964674066264002,-0.1909219908533396
0.35,0.05435193388537357,0.05658431857117315,0.055746707758592653,0.04004513944512691,0.01556781701486113,0.048903825651215746,0.04424226304564,True,True,below,below,-0.12274952876158263,-0.20636993959843997
0.4,0.052571475632553606,0.05370171890714635,0.05317676638200794,0.021254456626289935,0.008671615513548298,0.048016297561953004,0.04296968701750453,True,True,below,below,-0.09704367473162023,-0.19194622123463523
0.45,0.04924403233909469,0.05119447135707946,0.049753304877469935,0.03920220019128819,0.01554093191803388,0.04506005531418506,0.041134296544422154,True,True,below,below,-0.09433040829836703,-0.17323489071277298
0.5,0.04524073464194141,0.04709436247957757,0.046900872675433046,0.03952224621626511,0.01625802853385216,0.04224682000014943,0.03940518096799187,True,True,below,below,-0.09923168610296318,-0.1598198771121686
0.55,0.0431499180613957,0.044343682226287096,0.04379650405475172,0.02725706516207369,0.010230756843414903,0.040268307676655554,0.03753921820129082,True,True,below,below,-0.08055885861769763,-0.14287181108424596
0.6,0.040212826067013624,0.04110589812391687,0.040629954907749725,0.021980631259152686,0.00939171321836306,0.03843304738716662,0.03593979072938007,True,True,below,below,-0.054071128692394055,-0.11543611576775481
0.65,0.038010780839269384,0.03932327621243284,0.03891600127641828,0.03372636782080642,0.015871432784019264,0.03688291109479927,0.034566728966980806,True,True,below,below,-0.05224303923669038,-0.11176051410176568
0.7,0.03703345889616261,0.03757849947914004,0.03725804024110476,0.014628804399006481,0.005838424954176682,0.03599875739539795,0.0340499526838673,True,True,below,below,-0.033798955542420406,-0.08610457062360877
0.75,0.035916393346041756,0.036167011244747915,0.03606030454749299,0.006949966226050172,0.0032615316713493327,0.03458797466323102,0.03283399650826757,True,True,below,below,-0.040829657506714856,-0.08946979454863535
0.8,0.03491317335622475,0.03531275167398855,0.03517631939668874,0.01135929865935356,0.004138430891308692,0.0335153355768678,0.032399364281576096,True,True,below,below,-0.047218806524064516,-0.07894387936942737
0.85,0.033620929709633,0.03461562648561633,0.034148527314822597,0.029128540941546516,0.011078919972011343,0.03367630132651152,0.032808052814231395,False,True,in,below,-0.01382859014555815,-0.039254240402026075
0.9,0.03374720174790332,0.03416006772384066,0.03404091623540647,0.012128521250198167,0.005585220172050784,0.033683516400962,0.032183276257314444,True,True,below,below,-0.0104991249933728,-0.05457079842521584
0.95,0.033140980268279024,0.03403130003407864,0.0338616315053743,0.026292878583192687,0.012812578809062598,0.032807077271590025,0.03229553076322932,True,True,below,below,-0.031143042638595353,-0.04625000841723814
1.0,0.03360402014890421,0.03422246282383337,0.03401243682705972,0.018182839355901204,0.0067978644545521,0.033603965489634756,0.03259200102344077,True,True,below,below,-0.012009469933068395,-0.041762247463812185
