progress,d12_lo,d12_hi,d12_med,d12_range_rel,d12_sd_rel,d14,d16,d14_out,d16_out,d14_dir,d16_dir,d14_rel,d16_rel
0.05,0.06120717291457531,0.06779569716980824,0.0666908510029316,0.09879202553500648,0.03995734519287267,0.048580439208628055,0.043119495161450826,True,True,below,below,-0.2715576652861641,-0.35344212117558105
0.1,0.050677717926028445,0.05456495079665612,0.053110489765038855,0.0731914333274804,0.03173360341716676,0.04565368993924214,0.04502826570891417,True,True,below,below,-0.14040163927664095,-0.15217754706990083
0.15,0.04995936527848244,0.051899161285314806,0.050275408113614105,0.03858339652755778,0.015849274803535405,0.050484548803869184,0.04782162767906602,False,True,in,below,0.004159900398669203,-0.04880677306493364
0.2,0.05545715323816507,0.05747820389194366,0.056206575475442104,0.035957548323890184,0.014450591183665268,0.05388378081740914,0.04675638690017737,True,True,below,below,-0.041326030600242536,-0.16813314981969918
0.25,0.05711780498043085,0.05851697735488415,0.05830917469201944,0.023995749928609405,0.011648438268299201,0.052752330367054255,0.04903949693275186,True,True,below,below,-0.09529965660319539,-0.158974600622092
0.3,0.058391899682390384,0.059122022814475574,0.0585707341058132,0.012465664691280074,0.005027705576379195,0.05231149077087968,0.04768495376293476,True,True,below,below,-0.10686639719464064,-0.1858569899979795
0.35,0.055462687252423704,0.0580787398876288,0.05712560110558302,0.045794750244639866,0.018027228252393675,0.05026421515823721,0.0455795438387073,True,True,below,below,-0.12011052513327913,-0.20211703760518152
0.4,0.05426210805009573,0.05577758890696061,0.05507480362669016,0.027516772772122066,0.010537170204935088,0.05030093481252482,0.04453272576658772,True,True,below,below,-0.08667972466182061,-0.19141380751094628
0.45,0.050532118106881775,0.0537953641361151,0.051575312534203895,0.06327147367394412,0.024650367924047206,0.046693955189906634,0.04271602766731611,True,True,below,below,-0.09464523052691198,-0.1717737504937552
0.5,0.04677141935397417,0.049289452437406935,0.048574209213256836,0.051838889900971234,0.019618214718707432,0.04369864942362675,0.04132535776051764,True,True,below,below,-0.10037342591054377,-0.1492325159821818
0.55,0.04473598284694629,0.04645012221179712,0.04591727903924692,0.03733103094775496,0.014768965538484282,0.041959688701963684,0.03970774295381629,True,True,below,below,-0.0861895656731001,-0.13523310212094986
0.6,0.04144937084175837,0.04298784225606001,0.042095244312897705,0.03654739245283971,0.01447785070334449,0.04072814768405406,0.03756090441647057,True,True,below,below,-0.032476272585137855,-0.10771620334883869
0.65,0.039242464738587536,0.04149984618505606,0.04137301702912037,0.05456168315884887,0.027457441679134328,0.03891785913607576,0.03628127774796807,True,True,below,below,-0.059342007649975104,-0.12306908334890065
0.7,0.03860989905511721,0.03956341741081232,0.03926077193747728,0.024286795919692617,0.00943836716774154,0.038164936313098606,0.03599301784729155,True,True,below,below,-0.02791171875386944,-0.08323203872276441
0.75,0.03759565713027349,0.03845431569677133,0.03805094037969143,0.022566027486567025,0.008757189222868281,0.03649424043084894,0.03451105221532858,True,True,below,below,-0.04091094551958396,-0.09303024127761528
0.8,0.03697117219846218,0.03745121711817307,0.03740425610867066,0.01283396515937155,0.006218058660333201,0.03487872776503746,0.033886302513285324,True,True,below,below,-0.06751981208490754,-0.09405222724292706
0.85,0.03519345296976658,0.03695865245297169,0.036031616159165517,0.0489902943961088,0.020976416329247287,0.03557312592945911,0.03482314768748788,False,True,in,below,-0.012724664574607969,-0.033539113714449176
0.9,0.03547077368085201,0.03658431730209253,0.035942718100089296,0.030981063205616395,0.011895529177692777,0.036058179522444916,0.03355967817613138,False,True,in,below,0.0032123731442372794,-0.06630104927851832
0.95,0.03445098761660166,0.03639254401414058,0.03580359269220095,0.0542279769024925,0.024657359498425378,0.033826732189281956,0.03377021225885703,True,True,below,below,-0.055214026142957784,-0.0567926367285162
1.0,0.03516892556292124,0.03641049895817653,0.03597094491124153,0.03451600724748481,0.012611488066720702,0.03537564925276316,0.03415912814223422,False,True,in,below,-0.016549347256438973,-0.0503688956038818
