run,depth,step,normalized_progress,value_scalar,param_role,parameter_name,layer,optimizer_group_id,r,r_frac,nominal,rows,cols,numel,minmn,aspect
d12-s7,12,127,0.0503968253968254,0.09196469932794571,attn_v,transformer.h.5.attn.c_v.weight,5,g7-muon-768x768,0.45454545454545453,0.4166666666666667,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.04490165784955025,attn_out,transformer.h.5.attn.c_proj.weight,5,g7-muon-768x768,0.45454545454545453,0.4166666666666667,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.05495404079556465,attn_q,transformer.h.6.attn.c_q.weight,6,g7-muon-768x768,0.5454545454545454,0.5,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.050966039299964905,attn_k,transformer.h.6.attn.c_k.weight,6,g7-muon-768x768,0.5454545454545454,0.5,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.09333732724189758,attn_v,transformer.h.6.attn.c_v.weight,6,g7-muon-768x768,0.5454545454545454,0.5,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.07136396318674088,attn_out,transformer.h.6.attn.c_proj.weight,6,g7-muon-768x768,0.5454545454545454,0.5,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.045042943209409714,attn_q,transformer.h.7.attn.c_q.weight,7,g7-muon-768x768,0.6363636363636364,0.5833333333333334,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.041572149842977524,attn_k,transformer.h.7.attn.c_k.weight,7,g7-muon-768x768,0.6363636363636364,0.5833333333333334,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.09009097516536713,attn_v,transformer.h.7.attn.c_v.weight,7,g7-muon-768x768,0.6363636363636364,0.5833333333333334,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.04455931857228279,attn_out,transformer.h.7.attn.c_proj.weight,7,g7-muon-768x768,0.6363636363636364,0.5833333333333334,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.04738377779722214,attn_q,transformer.h.8.attn.c_q.weight,8,g7-muon-768x768,0.7272727272727273,0.6666666666666666,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.04874318838119507,attn_k,transformer.h.8.attn.c_k.weight,8,g7-muon-768x768,0.7272727272727273,0.6666666666666666,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.09480590373277664,attn_v,transformer.h.8.attn.c_v.weight,8,g7-muon-768x768,0.7272727272727273,0.6666666666666666,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.059694644063711166,attn_out,transformer.h.8.attn.c_proj.weight,8,g7-muon-768x768,0.7272727272727273,0.6666666666666666,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.04277530312538147,attn_q,transformer.h.9.attn.c_q.weight,9,g7-muon-768x768,0.8181818181818182,0.75,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.03968514874577522,attn_k,transformer.h.9.attn.c_k.weight,9,g7-muon-768x768,0.8181818181818182,0.75,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.0878777727484703,attn_v,transformer.h.9.attn.c_v.weight,9,g7-muon-768x768,0.8181818181818182,0.75,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.04477358236908913,attn_out,transformer.h.9.attn.c_proj.weight,9,g7-muon-768x768,0.8181818181818182,0.75,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.051959358155727386,attn_q,transformer.h.10.attn.c_q.weight,10,g7-muon-768x768,0.9090909090909091,0.8333333333333334,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.052594736218452454,attn_k,transformer.h.10.attn.c_k.weight,10,g7-muon-768x768,0.9090909090909091,0.8333333333333334,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.11196652799844742,attn_v,transformer.h.10.attn.c_v.weight,10,g7-muon-768x768,0.9090909090909091,0.8333333333333334,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.07219021022319794,attn_out,transformer.h.10.attn.c_proj.weight,10,g7-muon-768x768,0.9090909090909091,0.8333333333333334,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.04488649219274521,attn_q,transformer.h.11.attn.c_q.weight,11,g7-muon-768x768,1.0,0.9166666666666666,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.039036739617586136,attn_k,transformer.h.11.attn.c_k.weight,11,g7-muon-768x768,1.0,0.9166666666666666,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.09515377879142761,attn_v,transformer.h.11.attn.c_v.weight,11,g7-muon-768x768,1.0,0.9166666666666666,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.05019933357834816,attn_out,transformer.h.11.attn.c_proj.weight,11,g7-muon-768x768,1.0,0.9166666666666666,0.05,768,768,589824,768,1.0
d12-s7,12,127,0.0503968253968254,0.05584941431879997,mlp_out,transformer.h.0.mlp.c_proj.weight,0,g8-muon-768x3072,0.0,0.0,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.05218983441591263,mlp_out,transformer.h.1.mlp.c_proj.weight,1,g8-muon-768x3072,0.09090909090909091,0.08333333333333333,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04660163074731827,mlp_out,transformer.h.2.mlp.c_proj.weight,2,g8-muon-768x3072,0.18181818181818182,0.16666666666666666,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04545198380947113,mlp_out,transformer.h.3.mlp.c_proj.weight,3,g8-muon-768x3072,0.2727272727272727,0.25,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.043305426836013794,mlp_out,transformer.h.4.mlp.c_proj.weight,4,g8-muon-768x3072,0.36363636363636365,0.3333333333333333,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04219512268900871,mlp_out,transformer.h.5.mlp.c_proj.weight,5,g8-muon-768x3072,0.45454545454545453,0.4166666666666667,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.03948880359530449,mlp_out,transformer.h.6.mlp.c_proj.weight,6,g8-muon-768x3072,0.5454545454545454,0.5,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04468679800629616,mlp_out,transformer.h.7.mlp.c_proj.weight,7,g8-muon-768x3072,0.6363636363636364,0.5833333333333334,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.045206598937511444,mlp_out,transformer.h.8.mlp.c_proj.weight,8,g8-muon-768x3072,0.7272727272727273,0.6666666666666666,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04799937456846237,mlp_out,transformer.h.9.mlp.c_proj.weight,9,g8-muon-768x3072,0.8181818181818182,0.75,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.049243975430727005,mlp_out,transformer.h.10.mlp.c_proj.weight,10,g8-muon-768x3072,0.9090909090909091,0.8333333333333334,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.051358986645936966,mlp_out,transformer.h.11.mlp.c_proj.weight,11,g8-muon-768x3072,1.0,0.9166666666666666,0.05,768,3072,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04287095367908478,mlp_in,transformer.h.0.mlp.c_fc.weight,0,g9-muon-3072x768,0.0,0.0,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.049929991364479065,mlp_in,transformer.h.1.mlp.c_fc.weight,1,g9-muon-3072x768,0.09090909090909091,0.08333333333333333,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04802332818508148,mlp_in,transformer.h.2.mlp.c_fc.weight,2,g9-muon-3072x768,0.18181818181818182,0.16666666666666666,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04788223281502724,mlp_in,transformer.h.3.mlp.c_fc.weight,3,g9-muon-3072x768,0.2727272727272727,0.25,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04510600119829178,mlp_in,transformer.h.4.mlp.c_fc.weight,4,g9-muon-3072x768,0.36363636363636365,0.3333333333333333,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.043872177600860596,mlp_in,transformer.h.5.mlp.c_fc.weight,5,g9-muon-3072x768,0.45454545454545453,0.4166666666666667,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.0433819480240345,mlp_in,transformer.h.6.mlp.c_fc.weight,6,g9-muon-3072x768,0.5454545454545454,0.5,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04375693202018738,mlp_in,transformer.h.7.mlp.c_fc.weight,7,g9-muon-3072x768,0.6363636363636364,0.5833333333333334,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04404769465327263,mlp_in,transformer.h.8.mlp.c_fc.weight,8,g9-muon-3072x768,0.7272727272727273,0.6666666666666666,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.045427244156599045,mlp_in,transformer.h.9.mlp.c_fc.weight,9,g9-muon-3072x768,0.8181818181818182,0.75,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.04464473947882652,mlp_in,transformer.h.10.mlp.c_fc.weight,10,g9-muon-3072x768,0.9090909090909091,0.8333333333333334,0.05,3072,768,2359296,768,4.0
d12-s7,12,127,0.0503968253968254,0.0433761365711689,mlp_in,transformer.h.11.mlp.c_fc.weight,11,g9-muon-3072x768,1.0,0.9166666666666666,0.05,3072,768,2359296,768,4.0
d12-s7,12,253,0.1003968253968254,0.11106247454881668,ve_gate,transformer.h.1.attn.ve_gate.weight,1,g6-muon-6x12,0.09090909090909091,0.08333333333333333,0.1,6,12,72,6,2.0
