run,depth,seed,step,normalized_progress,phase,param_role,sq,total_sq,share
d12-s10,12,10,0,0.0,early,attn_k,0.0,0.09465406160216044,0.0
d12-s10,12,10,0,0.0,early,attn_out,2.2172033084189025e-05,0.09465406160216044,0.00023424280700578998
d12-s10,12,10,0,0.0,early,attn_q,0.0,0.09465406160216044,0.0
d12-s10,12,10,0,0.0,early,attn_v,0.0,0.09465406160216044,0.0
d12-s10,12,10,0,0.0,early,backout_scalar,2.6904195017662942e-12,0.09465406160216044,2.842370899068621e-11
d12-s10,12,10,0,0.0,early,mlp_in,0.0,0.09465406160216044,0.0
d12-s10,12,10,0,0.0,early,mlp_out,0.00010534723151067737,0.09465406160216044,0.0011129710624934541
d12-s10,12,10,0,0.0,early,resid_scalar,1.2704842159463577e-11,0.09465406160216044,1.3422395134889376e-10
d12-s10,12,10,0,0.0,early,smear_gate,0.0,0.09465406160216044,0.0
d12-s10,12,10,0,0.0,early,smear_scalar,4.208478454614806e-09,0.09465406160216044,4.446167848880506e-08
d12-s10,12,10,0,0.0,early,token_embedding,1.5036131628676228e-07,0.09465406160216044,1.58853528038495e-06
d12-s10,12,10,0,0.0,early,unembedding,0.09452638775110245,0.09465406160216044,0.9986511529574439
d12-s10,12,10,0,0.0,early,value_embedding,0.0,0.09465406160216044,0.0
d12-s10,12,10,0,0.0,early,ve_gate,0.0,0.09465406160216044,0.0
d12-s10,12,10,0,0.0,early,x0_scalar,1.2731343951828482e-12,0.09465406160216044,1.3450393714048393e-11
d12-s10,12,10,101,0.04007936507936508,early,attn_k,0.0013921414374635788,0.01394926775453964,0.09980032371308674
d12-s10,12,10,101,0.04007936507936508,early,attn_out,0.0009381554036735906,0.01394926775453964,0.06725481367065149
d12-s10,12,10,101,0.04007936507936508,early,attn_q,0.002186833182349801,0.01394926775453964,0.15677046428749777
d12-s10,12,10,101,0.04007936507936508,early,attn_v,0.00029792017539875815,0.01394926775453964,0.021357406040313706
d12-s10,12,10,101,0.04007936507936508,early,backout_scalar,2.9475058909156363e-05,0.01394926775453964,0.0021130183625275973
d12-s10,12,10,101,0.04007936507936508,early,mlp_in,0.0003957525968871778,0.01394926775453964,0.02837085099025247
d12-s10,12,10,101,0.04007936507936508,early,mlp_out,0.003248139408242423,0.01394926775453964,0.2328537573010132
d12-s10,12,10,101,0.04007936507936508,early,resid_scalar,0.00039285094595697956,0.01394926775453964,0.028162836420508913
d12-s10,12,10,101,0.04007936507936508,early,smear_gate,5.3785246564075344e-05,0.01394926775453964,0.003855775622815148
d12-s10,12,10,101,0.04007936507936508,early,smear_scalar,0.00019269644690211862,0.01394926775453964,0.013814090480800156
d12-s10,12,10,101,0.04007936507936508,early,token_embedding,3.1278359529096633e-06,0.01394926775453964,0.00022422940099430972
d12-s10,12,10,101,0.04007936507936508,early,unembedding,0.004714509472250938,0.01394926775453964,0.33797540883224153
d12-s10,12,10,101,0.04007936507936508,early,value_embedding,6.712495714822353e-08,0.01394926775453964,4.812077474559798e-06
d12-s10,12,10,101,0.04007936507936508,early,ve_gate,2.913508382107466e-06,0.01394926775453964,0.00020886461091545796
d12-s10,12,10,101,0.04007936507936508,early,x0_scalar,0.00010089991064887727,0.01394926775453964,0.007233348188906938
d12-s10,12,10,202,0.08015873015873017,early,attn_k,0.002623860447783954,0.04217785857505607,0.062209427800009306
d12-s10,12,10,202,0.08015873015873017,early,attn_out,0.004965736108715646,0.04217785857505607,0.11773324385065807
d12-s10,12,10,202,0.08015873015873017,early,attn_q,0.0037152275544940494,0.04217785857505607,0.0880847838180962
d12-s10,12,10,202,0.08015873015873017,early,attn_v,0.004219295267830603,0.04217785857505607,0.10003578679373468
d12-s10,12,10,202,0.08015873015873017,early,backout_scalar,9.002660590340383e-06,0.04217785857505607,0.0002134451794018899
d12-s10,12,10,202,0.08015873015873017,early,mlp_in,0.002688169799512252,0.04217785857505607,0.06373414607402644
d12-s10,12,10,202,0.08015873015873017,early,mlp_out,0.020412875805050135,0.04217785857505607,0.4839713654197295
d12-s10,12,10,202,0.08015873015873017,early,resid_scalar,0.00015129392050994284,0.04217785857505607,0.003587046038402193
d12-s10,12,10,202,0.08015873015873017,early,smear_gate,2.8077636670786887e-05,0.04217785857505607,0.000665696116857672
d12-s10,12,10,202,0.08015873015873017,early,smear_scalar,0.00034882489126175637,0.04217785857505607,0.008270331947768703
d12-s10,12,10,202,0.08015873015873017,early,token_embedding,9.226681640939204e-07,0.04217785857505607,2.1875652184949597e-05
d12-s10,12,10,202,0.08015873015873017,early,unembedding,0.0029313573613762856,0.04217785857505607,0.0694999096779628
d12-s10,12,10,202,0.08015873015873017,early,value_embedding,2.819071873716439e-07,0.04217785857505607,6.6837719337975925e-06
d12-s10,12,10,202,0.08015873015873017,early,ve_gate,3.191351856912661e-05,0.04217785857505607,0.0007566415092491258
d12-s10,12,10,202,0.08015873015873017,early,x0_scalar,5.1019027339727074e-05,0.04217785857505607,0.0012096163499846259
d12-s10,12,10,303,0.12023809523809524,early,attn_k,0.0020698268453998026,0.049260078485247494,0.04201834241940314
d12-s10,12,10,303,0.12023809523809524,early,attn_out,0.008059245155891404,0.049260078485247494,0.1636060153315631
d12-s10,12,10,303,0.12023809523809524,early,attn_q,0.002988587599247694,0.049260078485247494,0.06066956633336917
d12-s10,12,10,303,0.12023809523809524,early,attn_v,0.00854127440834418,0.049260078485247494,0.1733914088444284
