run,depth,seed,source,step,normalized_progress,phase,cosine,sample_count
d12-s10,12,10,logical_exact_prev_deep,64,0.025396825396825397,early,0.5251755424248907,24.0
d12-s10,12,10,logical_exact_prev_deep,126,0.05,early,0.10830460541618037,62.0
d12-s10,12,10,logical_exact_prev_deep,252,0.1,early,0.17075555848681442,126.0
d12-s10,12,10,logical_exact_prev_deep,378,0.15,early,-0.0845690832092472,126.0
d12-s10,12,10,logical_exact_prev_deep,400,0.15873015873015872,early,-0.01785417989858638,22.0
d12-s10,12,10,logical_exact_prev_deep,504,0.2,early,-0.026091245428346795,104.0
d12-s10,12,10,logical_exact_prev_deep,630,0.25,middle,0.13804283758813593,126.0
d12-s10,12,10,logical_exact_prev_deep,756,0.3,middle,0.33242220576243087,126.0
d12-s10,12,10,logical_exact_prev_deep,882,0.35,middle,-0.27650500459667776,126.0
d12-s10,12,10,logical_exact_prev_deep,1008,0.4,middle,0.29052733920384866,126.0
d12-s10,12,10,logical_exact_prev_deep,1134,0.45,middle,-0.02552133170198331,126.0
d12-s10,12,10,logical_exact_prev_deep,1260,0.5,middle,-0.09710191499755949,126.0
d12-s10,12,10,logical_exact_prev_deep,1385,0.5496031746031746,middle,-0.207615488672948,125.0
d12-s10,12,10,logical_exact_prev_deep,1511,0.5996031746031746,middle,0.07963280902397242,126.0
d12-s10,12,10,logical_exact_prev_deep,1637,0.6496031746031746,middle,0.3424539345964732,126.0
d12-s10,12,10,logical_exact_prev_deep,1763,0.6996031746031746,middle,0.3983182379816646,126.0
d12-s10,12,10,logical_exact_prev_deep,1889,0.7496031746031746,middle,-0.2218351330282664,126.0
d12-s10,12,10,logical_exact_prev_deep,2015,0.7996031746031746,late,-0.06433016918543158,126.0
d12-s10,12,10,logical_exact_prev_deep,2141,0.8496031746031746,late,-0.01170729240053655,126.0
d12-s10,12,10,logical_exact_prev_deep,2267,0.8996031746031746,late,0.1511774684421938,126.0
d12-s10,12,10,logical_exact_prev_deep,2393,0.9496031746031746,late,-0.0697248395915546,126.0
d12-s10,12,10,logical_exact_prev_deep,2519,0.9996031746031746,late,0.005923942797017319,126.0
d12-s11,12,11,logical_sketch_prev,101,0.04007936507936508,early,0.3022891656434502,
d12-s11,12,11,logical_sketch_prev,202,0.08015873015873017,early,-0.16785303068538004,
d12-s11,12,11,logical_sketch_prev,303,0.12023809523809524,early,0.2522167428422974,
d12-s11,12,11,logical_sketch_prev,404,0.16031746031746033,early,-0.3748011628926563,
d12-s11,12,11,logical_sketch_prev,505,0.2003968253968254,early,0.13323012369770537,
d12-s11,12,11,logical_sketch_prev,606,0.24047619047619048,early,-0.03225447518421949,
d12-s11,12,11,logical_sketch_prev,707,0.28055555555555556,middle,0.3362424406761674,
d12-s11,12,11,logical_sketch_prev,808,0.32063492063492066,middle,-0.17699022652427232,
d12-s11,12,11,logical_sketch_prev,909,0.3607142857142857,middle,-0.15669094423475685,
d12-s11,12,11,logical_sketch_prev,1010,0.4007936507936508,middle,-0.23419687219043184,
d12-s11,12,11,logical_sketch_prev,1111,0.44087301587301586,middle,-0.11398193068759398,
d12-s11,12,11,logical_sketch_prev,1212,0.48095238095238096,middle,-0.10731253850354612,
d12-s11,12,11,logical_sketch_prev,1313,0.5210317460317461,middle,0.018774004462316796,
d12-s11,12,11,logical_sketch_prev,1414,0.5611111111111111,middle,-0.1548567452396951,
d12-s11,12,11,logical_sketch_prev,1515,0.6011904761904762,middle,-0.09171287193106005,
d12-s11,12,11,logical_sketch_prev,1616,0.6412698412698413,middle,0.013982487331711866,
d12-s11,12,11,logical_sketch_prev,1717,0.6813492063492064,middle,0.06396443361402507,
d12-s11,12,11,logical_sketch_prev,1818,0.7214285714285714,middle,-0.04430252791792973,
d12-s11,12,11,logical_sketch_prev,1919,0.7615079365079365,late,0.024602688674937395,
d12-s11,12,11,logical_sketch_prev,2020,0.8015873015873016,late,-0.18964978757850584,
d12-s11,12,11,logical_sketch_prev,2121,0.8416666666666667,late,0.18030729435135795,
d12-s11,12,11,logical_sketch_prev,2222,0.8817460317460317,late,0.0822388944798592,
d12-s11,12,11,logical_sketch_prev,2323,0.9218253968253968,late,-0.13910283010404803,
d12-s11,12,11,logical_sketch_prev,2424,0.9619047619047619,late,0.02449913817120845,
d12-s11,12,11,fixed_probe_sketch_prev,1,0.0003968253968253968,early,0.9979370749195994,
d12-s11,12,11,fixed_probe_sketch_prev,2,0.0007936507936507937,early,0.9968227308643723,
d12-s11,12,11,fixed_probe_sketch_prev,4,0.0015873015873015873,early,0.9732590162308901,
d12-s11,12,11,fixed_probe_sketch_prev,8,0.0031746031746031746,early,0.41038878356248265,
d12-s11,12,11,fixed_probe_sketch_prev,16,0.006349206349206349,early,0.3844028585010316,
d12-s11,12,11,fixed_probe_sketch_prev,32,0.012698412698412698,early,0.7813367027824009,
d12-s11,12,11,fixed_probe_sketch_prev,40,0.015873015873015872,early,0.9406761952176241,
d12-s11,12,11,fixed_probe_sketch_prev,64,0.025396825396825397,early,0.7767922635203491,
d12-s11,12,11,fixed_probe_sketch_prev,126,0.05,early,0.4336957542904421,
d12-s11,12,11,fixed_probe_sketch_prev,252,0.1,early,0.28119397089934484,
d12-s11,12,11,fixed_probe_sketch_prev,378,0.15,early,0.45622897083342995,
d12-s11,12,11,fixed_probe_sketch_prev,400,0.15873015873015872,early,0.732898107718004,
d12-s11,12,11,fixed_probe_sketch_prev,504,0.2,early,0.5571854840113756,
d12-s11,12,11,fixed_probe_sketch_prev,630,0.25,middle,0.5861326944454804,
d12-s11,12,11,fixed_probe_sketch_prev,756,0.3,middle,0.6303315951709627,
d12-s11,12,11,fixed_probe_sketch_prev,882,0.35,middle,0.6834904363412675,
d12-s11,12,11,fixed_probe_sketch_prev,1008,0.4,middle,0.7343017171125206,
d12-s11,12,11,fixed_probe_sketch_prev,1134,0.45,middle,0.7346797458855724,
d12-s11,12,11,fixed_probe_sketch_prev,1260,0.5,middle,0.7279288492033337,
d12-s11,12,11,fixed_probe_sketch_prev,1385,0.5496031746031746,middle,0.7924332955709694,
d12-s11,12,11,fixed_probe_sketch_prev,1511,0.5996031746031746,middle,0.7904607062897049,
d12-s11,12,11,fixed_probe_sketch_prev,1637,0.6496031746031746,middle,0.8631682746895388,
d12-s11,12,11,fixed_probe_sketch_prev,1763,0.6996031746031746,middle,0.8756166270794664,
d12-s11,12,11,fixed_probe_sketch_prev,1889,0.7496031746031746,middle,0.9009208638071017,
d12-s11,12,11,fixed_probe_sketch_prev,2015,0.7996031746031746,late,0.9228613397826416,
d12-s11,12,11,fixed_probe_sketch_prev,2141,0.8496031746031746,late,0.9409601568507291,
d12-s11,12,11,fixed_probe_sketch_prev,2267,0.8996031746031746,late,0.9561396514387487,
d12-s11,12,11,fixed_probe_sketch_prev,2393,0.9496031746031746,late,0.9749674921062782,
d12-s11,12,11,fixed_probe_sketch_prev,2519,0.9996031746031746,late,0.9895078209300113,
d12-s11,12,11,logical_exact_prev_deep,1,0.0003968253968253968,early,0.9723790383993046,1.0
d12-s11,12,11,logical_exact_prev_deep,2,0.0007936507936507937,early,0.9685830033320313,1.0
d12-s11,12,11,logical_exact_prev_deep,4,0.0015873015873015873,early,0.8752089258747671,2.0
d12-s11,12,11,logical_exact_prev_deep,8,0.0031746031746031746,early,0.39737395020282185,4.0
d12-s11,12,11,logical_exact_prev_deep,16,0.006349206349206349,early,-0.19602272506203453,8.0
d12-s11,12,11,logical_exact_prev_deep,32,0.012698412698412698,early,0.10243955522936166,16.0
d12-s11,12,11,logical_exact_prev_deep,40,0.015873015873015872,early,0.6677149271436263,8.0
d12-s11,12,11,logical_exact_prev_deep,64,0.025396825396825397,early,0.5667891522494709,24.0
d12-s11,12,11,logical_exact_prev_deep,126,0.05,early,-0.38074602806480884,62.0
d12-s11,12,11,logical_exact_prev_deep,252,0.1,early,-0.32429998193077225,126.0
d12-s11,12,11,logical_exact_prev_deep,378,0.15,early,0.16342215066871368,126.0
d12-s11,12,11,logical_exact_prev_deep,400,0.15873015873015872,early,0.060632215454491475,22.0
d12-s11,12,11,logical_exact_prev_deep,504,0.2,early,0.0358251829280619,104.0
d12-s11,12,11,logical_exact_prev_deep,630,0.25,middle,0.07946322438828217,126.0
d12-s11,12,11,logical_exact_prev_deep,756,0.3,middle,-0.05613474371056378,126.0
d12-s11,12,11,logical_exact_prev_deep,882,0.35,middle,0.25428021854207405,126.0
d12-s11,12,11,logical_exact_prev_deep,1008,0.4,middle,0.14332640902080176,126.0
d12-s11,12,11,logical_exact_prev_deep,1134,0.45,middle,-0.009137102221003647,126.0
d12-s11,12,11,logical_exact_prev_deep,1260,0.5,middle,-0.4246567042226679,126.0
d12-s11,12,11,logical_exact_prev_deep,1385,0.5496031746031746,middle,-0.02528164270555854,125.0
d12-s11,12,11,logical_exact_prev_deep,1511,0.5996031746031746,middle,-0.06705847399074397,126.0
d12-s11,12,11,logical_exact_prev_deep,1637,0.6496031746031746,middle,0.24214277734163192,126.0
d12-s11,12,11,logical_exact_prev_deep,1763,0.6996031746031746,middle,0.0049586484163249385,126.0
d12-s11,12,11,logical_exact_prev_deep,1889,0.7496031746031746,middle,0.030784848119273088,126.0
d12-s11,12,11,logical_exact_prev_deep,2015,0.7996031746031746,late,-0.10154446928362097,126.0
d12-s11,12,11,logical_exact_prev_deep,2141,0.8496031746031746,late,-0.09247759519733095,126.0
d12-s11,12,11,logical_exact_prev_deep,2267,0.8996031746031746,late,0.04341043730635347,126.0
d12-s11,12,11,logical_exact_prev_deep,2393,0.9496031746031746,late,-0.008918704933882223,126.0
d12-s11,12,11,logical_exact_prev_deep,2519,0.9996031746031746,late,-0.0178763595090451,126.0
d12-s7,12,7,logical_sketch_prev,101,0.04007936507936508,early,0.12897016992406668,
d12-s7,12,7,logical_sketch_prev,202,0.08015873015873017,early,0.07632391078808916,
d12-s7,12,7,logical_sketch_prev,303,0.12023809523809524,early,0.16655106526000216,
d12-s7,12,7,logical_sketch_prev,404,0.16031746031746033,early,0.2397068735916074,
d12-s7,12,7,logical_sketch_prev,505,0.2003968253968254,early,0.5085185047330903,
d12-s7,12,7,logical_sketch_prev,606,0.24047619047619048,early,0.09642551169849273,
d12-s7,12,7,logical_sketch_prev,707,0.28055555555555556,middle,0.14257792479626896,
d12-s7,12,7,logical_sketch_prev,808,0.32063492063492066,middle,0.24815753711087615,
d12-s7,12,7,logical_sketch_prev,909,0.3607142857142857,middle,-0.11784275169556903,
d12-s7,12,7,logical_sketch_prev,1010,0.4007936507936508,middle,0.10689533669253486,
d12-s7,12,7,logical_sketch_prev,1111,0.44087301587301586,middle,-0.3425930885278585,
d12-s7,12,7,logical_sketch_prev,1212,0.48095238095238096,middle,0.10888182751973373,
d12-s7,12,7,logical_sketch_prev,1313,0.5210317460317461,middle,-0.5301558477478275,
d12-s7,12,7,logical_sketch_prev,1414,0.5611111111111111,middle,-0.008525079851212597,
d12-s7,12,7,logical_sketch_prev,1515,0.6011904761904762,middle,-0.0924016068373283,
d12-s7,12,7,logical_sketch_prev,1616,0.6412698412698413,middle,0.4086082051731764,
d12-s7,12,7,logical_sketch_prev,1717,0.6813492063492064,middle,0.06858492578095385,
d12-s7,12,7,logical_sketch_prev,1818,0.7214285714285714,middle,-0.15348907608027218,
d12-s7,12,7,logical_sketch_prev,1919,0.7615079365079365,late,0.43555817125312213,
d12-s7,12,7,logical_sketch_prev,2020,0.8015873015873016,late,-0.35132030157331856,
d12-s7,12,7,logical_sketch_prev,2121,0.8416666666666667,late,-0.14704667650438522,
d12-s7,12,7,logical_sketch_prev,2222,0.8817460317460317,late,0.08657543974463647,
d12-s7,12,7,logical_sketch_prev,2323,0.9218253968253968,late,-0.08245191709255158,
d12-s7,12,7,logical_sketch_prev,2424,0.9619047619047619,late,-0.011062214362308908,
d12-s7,12,7,fixed_probe_sketch_prev,1,0.0003968253968253968,early,1.0135170016538075,
