run,depth,seed,step,normalized_progress,phase,layer_region,sq,layered_total_sq,share_within_layered
d12-s10,12,10,0,0.0,early,lower_third,7.300112054269457e-05,0.00012751927857284294,0.5724712479532582
d12-s10,12,10,0,0.0,early,middle_third,3.205000029963536e-05,0.00012751927857284294,0.25133454845674497
d12-s10,12,10,0,0.0,early,upper_third,2.2468157730513023e-05,0.00012751927857284294,0.17619420358999693
d12-s10,12,10,101,0.04007936507936508,early,lower_third,0.005287461607483834,0.008955673693960442,0.5904035573615876
d12-s10,12,10,101,0.04007936507936508,early,middle_third,0.0016516201978848954,0.008955673693960442,0.18442165875234162
d12-s10,12,10,101,0.04007936507936508,early,upper_third,0.0020165918885917122,0.008955673693960442,0.22517478388607085
d12-s10,12,10,202,0.08015873015873017,early,lower_third,0.018603618558529433,0.03885967335699281,0.47873841829866304
d12-s10,12,10,202,0.08015873015873017,early,middle_third,0.009141023842649254,0.03885967335699281,0.23523161810119345
d12-s10,12,10,202,0.08015873015873017,early,upper_third,0.01111503095581412,0.03885967335699281,0.28602996360014354
d12-s10,12,10,303,0.12023809523809524,early,lower_third,0.015511222450716122,0.04246201364520674,0.3652964407274897
d12-s10,12,10,303,0.12023809523809524,early,middle_third,0.012282282606371098,0.04246201364520674,0.28925341857303943
d12-s10,12,10,303,0.12023809523809524,early,upper_third,0.014668508588119522,0.04246201364520674,0.3454501406994709
d12-s10,12,10,404,0.16031746031746033,early,lower_third,0.008339814524536138,0.05347700511413045,0.15595141326140707
d12-s10,12,10,404,0.16031746031746033,early,middle_third,0.015070051365372095,0.05347700511413045,0.28180432567623487
d12-s10,12,10,404,0.16031746031746033,early,upper_third,0.030067139224222217,0.05347700511413045,0.562244261062358
d12-s10,12,10,505,0.2003968253968254,early,lower_third,0.005720573943161611,0.03601961284195365,0.15881830735555832
d12-s10,12,10,505,0.2003968253968254,early,middle_third,0.00910226626459476,0.03601961284195365,0.2527030566523176
d12-s10,12,10,505,0.2003968253968254,early,upper_third,0.02119677263419728,0.03601961284195365,0.588478635992124
d12-s10,12,10,606,0.24047619047619048,early,lower_third,0.005662727806003075,0.03293855136308199,0.17191793723964263
d12-s10,12,10,606,0.24047619047619048,early,middle_third,0.009158440488297614,0.03293855136308199,0.278046243969385
d12-s10,12,10,606,0.24047619047619048,early,upper_third,0.0181173830687813,0.03293855136308199,0.5500358187909723
d12-s10,12,10,707,0.28055555555555556,middle,lower_third,0.004674631784016725,0.04643866761926496,0.10066248718293257
d12-s10,12,10,707,0.28055555555555556,middle,middle_third,0.009328013445738748,0.04643866761926496,0.2008673789311958
d12-s10,12,10,707,0.28055555555555556,middle,upper_third,0.03243602238950949,0.04643866761926496,0.6984701338858716
d12-s10,12,10,808,0.32063492063492066,middle,lower_third,0.0062302650118724046,0.06058680784438053,0.10283203940823342
d12-s10,12,10,808,0.32063492063492066,middle,middle_third,0.0135546753474447,0.06058680784438053,0.2237232135130867
d12-s10,12,10,808,0.32063492063492066,middle,upper_third,0.040801867485063426,0.06058680784438053,0.6734447470786799
d12-s10,12,10,909,0.3607142857142857,middle,lower_third,0.005434000295645447,0.060548877872956375,0.08974568128326116
d12-s10,12,10,909,0.3607142857142857,middle,middle_third,0.009638463947784004,0.060548877872956375,0.15918484844603437
d12-s10,12,10,909,0.3607142857142857,middle,upper_third,0.045476413629526924,0.060548877872956375,0.7510694702707045
d12-s10,12,10,1010,0.4007936507936508,middle,lower_third,0.004330843635052872,0.069834895032594,0.062015467096092
d12-s10,12,10,1010,0.4007936507936508,middle,middle_third,0.011168795629664885,0.069834895032594,0.15993144436534312
