run,depth,seed,source,step,normalized_progress,phase,cosine_to_initial
d12-s10,12,10,logical_batch,0,0.0,early,0.9896170352697738
d12-s10,12,10,logical_batch,101,0.04007936507936508,early,0.03004676280590749
d12-s10,12,10,logical_batch,202,0.08015873015873017,early,-0.032818169292334144
d12-s10,12,10,logical_batch,303,0.12023809523809524,early,0.04361681944016256
d12-s10,12,10,logical_batch,404,0.16031746031746033,early,0.00658053832914017
d12-s10,12,10,logical_batch,505,0.2003968253968254,early,0.010596202968251004
d12-s10,12,10,logical_batch,606,0.24047619047619048,early,-0.022031057268981264
d12-s10,12,10,logical_batch,707,0.28055555555555556,middle,0.01716542855001492
d12-s10,12,10,logical_batch,808,0.32063492063492066,middle,0.017339474326410254
d12-s10,12,10,logical_batch,909,0.3607142857142857,middle,-0.003201757406547886
d12-s10,12,10,logical_batch,1010,0.4007936507936508,middle,0.009677432617683666
d12-s10,12,10,logical_batch,1111,0.44087301587301586,middle,0.00046102642924127085
d12-s10,12,10,logical_batch,1212,0.48095238095238096,middle,0.008868199034238279
d12-s10,12,10,logical_batch,1313,0.5210317460317461,middle,-0.004955149456506394
d12-s10,12,10,logical_batch,1414,0.5611111111111111,middle,-0.010076118629423531
d12-s10,12,10,logical_batch,1515,0.6011904761904762,middle,0.01126207962921716
d12-s10,12,10,logical_batch,1616,0.6412698412698413,middle,-0.0006696765408449024
d12-s10,12,10,logical_batch,1717,0.6813492063492064,middle,-0.0092799813993438
d12-s10,12,10,logical_batch,1818,0.7214285714285714,middle,0.007592899449518201
d12-s10,12,10,logical_batch,1919,0.7615079365079365,late,0.005229088683947166
d12-s10,12,10,logical_batch,2020,0.8015873015873016,late,-0.0035525051651486886
d12-s10,12,10,logical_batch,2121,0.8416666666666667,late,0.0022782853985700165
d12-s10,12,10,logical_batch,2222,0.8817460317460317,late,-0.000789738664055632
d12-s10,12,10,logical_batch,2323,0.9218253968253968,late,0.0007405494063293288
d12-s10,12,10,logical_batch,2424,0.9619047619047619,late,0.005020447437858341
d12-s10,12,10,fixed_probe,0,0.0,early,0.9819484457196399
d12-s10,12,10,fixed_probe,1,0.0003968253968253968,early,0.9816572743580109
d12-s10,12,10,fixed_probe,2,0.0007936507936507937,early,0.9795053637868923
d12-s10,12,10,fixed_probe,4,0.0015873015873015873,early,0.9438180306002033
d12-s10,12,10,fixed_probe,8,0.0031746031746031746,early,0.31425020379793184
d12-s10,12,10,fixed_probe,16,0.006349206349206349,early,0.6437521691354385
d12-s10,12,10,fixed_probe,32,0.012698412698412698,early,0.5538879865244399
d12-s10,12,10,fixed_probe,40,0.015873015873015872,early,0.489347101172804
d12-s10,12,10,fixed_probe,64,0.025396825396825397,early,0.35559814061174944
d12-s10,12,10,fixed_probe,126,0.05,early,0.12230798760703643
d12-s10,12,10,fixed_probe,252,0.1,early,0.051519651258542604
d12-s10,12,10,fixed_probe,378,0.15,early,0.032658733649002555
d12-s10,12,10,fixed_probe,400,0.15873015873015872,early,0.03128278742206656
d12-s10,12,10,fixed_probe,504,0.2,early,0.022784409023984757
d12-s10,12,10,fixed_probe,630,0.25,middle,0.02201928179849259
d12-s10,12,10,fixed_probe,756,0.3,middle,0.022033283004081236
d12-s10,12,10,fixed_probe,882,0.35,middle,0.014387088281879212
d12-s10,12,10,fixed_probe,1008,0.4,middle,0.015406354405557814
d12-s10,12,10,fixed_probe,1134,0.45,middle,0.011195318404470451
d12-s10,12,10,fixed_probe,1260,0.5,middle,0.009816024508826056
d12-s10,12,10,fixed_probe,1385,0.5496031746031746,middle,0.010843214202768039
d12-s10,12,10,fixed_probe,1511,0.5996031746031746,middle,0.009191256776345259
d12-s10,12,10,fixed_probe,1637,0.6496031746031746,middle,0.009804427679747168
d12-s10,12,10,fixed_probe,1763,0.6996031746031746,middle,0.0092160359752382
d12-s10,12,10,fixed_probe,1889,0.7496031746031746,middle,0.007888917432440705
d12-s10,12,10,fixed_probe,2015,0.7996031746031746,late,0.009362256883026485
d12-s10,12,10,fixed_probe,2141,0.8496031746031746,late,0.008967046977453198
d12-s10,12,10,fixed_probe,2267,0.8996031746031746,late,0.008880902698887031
d12-s10,12,10,fixed_probe,2393,0.9496031746031746,late,0.00894922672275639
d12-s10,12,10,fixed_probe,2519,0.9996031746031746,late,0.008891396637730706
d12-s11,12,11,logical_batch,0,0.0,early,1.0160874689494785
d12-s11,12,11,logical_batch,101,0.04007936507936508,early,0.3022891656434501
d12-s11,12,11,logical_batch,202,0.08015873015873017,early,-0.020316192481236162
d12-s11,12,11,logical_batch,303,0.12023809523809524,early,-0.0031529470874390236
d12-s11,12,11,logical_batch,404,0.16031746031746033,early,0.014700878420249395
d12-s11,12,11,logical_batch,505,0.2003968253968254,early,0.023057572140933884
d12-s11,12,11,logical_batch,606,0.24047619047619048,early,-0.014284742710414595
d12-s11,12,11,logical_batch,707,0.28055555555555556,middle,0.004061321244459046
d12-s11,12,11,logical_batch,808,0.32063492063492066,middle,0.01145287865804247
d12-s11,12,11,logical_batch,909,0.3607142857142857,middle,0.003041818643476594
d12-s11,12,11,logical_batch,1010,0.4007936507936508,middle,-0.014939207476960188
d12-s11,12,11,logical_batch,1111,0.44087301587301586,middle,0.0042980411663798394
d12-s11,12,11,logical_batch,1212,0.48095238095238096,middle,-0.00892541127842205
d12-s11,12,11,logical_batch,1313,0.5210317460317461,middle,-0.004073042853221387
d12-s11,12,11,logical_batch,1414,0.5611111111111111,middle,0.010602401591791018
d12-s11,12,11,logical_batch,1515,0.6011904761904762,middle,-0.007163531304879242
d12-s11,12,11,logical_batch,1616,0.6412698412698413,middle,0.009077802643180593
d12-s11,12,11,logical_batch,1717,0.6813492063492064,middle,-0.012422157382332285
d12-s11,12,11,logical_batch,1818,0.7214285714285714,middle,0.0020078229508020805
d12-s11,12,11,logical_batch,1919,0.7615079365079365,late,0.01015857787315029
d12-s11,12,11,logical_batch,2020,0.8015873015873016,late,0.002644755505397988
d12-s11,12,11,logical_batch,2121,0.8416666666666667,late,0.005667209067224075
d12-s11,12,11,logical_batch,2222,0.8817460317460317,late,-0.0013948336873708432
d12-s11,12,11,logical_batch,2323,0.9218253968253968,late,0.0037128309623067654
d12-s11,12,11,logical_batch,2424,0.9619047619047619,late,-0.0004116519537038129
d12-s11,12,11,fixed_probe,0,0.0,early,0.9982102567113232
d12-s11,12,11,fixed_probe,1,0.0003968253968253968,early,0.9979370749195989
d12-s11,12,11,fixed_probe,2,0.0007936507936507937,early,0.9956632908044534
d12-s11,12,11,fixed_probe,4,0.0015873015873015873,early,0.9595321854632854
d12-s11,12,11,fixed_probe,8,0.0031746031746031746,early,0.3297568854167665
d12-s11,12,11,fixed_probe,16,0.006349206349206349,early,0.6306853133670237
d12-s11,12,11,fixed_probe,32,0.012698412698412698,early,0.5125936160587912
d12-s11,12,11,fixed_probe,40,0.015873015873015872,early,0.4628901634646076
d12-s11,12,11,fixed_probe,64,0.025396825396825397,early,0.3617651671866038
d12-s11,12,11,fixed_probe,126,0.05,early,0.1560650478773456
d12-s11,12,11,fixed_probe,252,0.1,early,0.061656094982419064
d12-s11,12,11,fixed_probe,378,0.15,early,0.043187647808488744
d12-s11,12,11,fixed_probe,400,0.15873015873015872,early,0.041224755722871764
d12-s11,12,11,fixed_probe,504,0.2,early,0.03892423838695972
d12-s11,12,11,fixed_probe,630,0.25,middle,0.030477207610634643
d12-s11,12,11,fixed_probe,756,0.3,middle,0.03379181736008689
d12-s11,12,11,fixed_probe,882,0.35,middle,0.028000537521337094
d12-s11,12,11,fixed_probe,1008,0.4,middle,0.022687577178989816
d12-s11,12,11,fixed_probe,1134,0.45,middle,0.020272393026652638
d12-s11,12,11,fixed_probe,1260,0.5,middle,0.021467637260411634
d12-s11,12,11,fixed_probe,1385,0.5496031746031746,middle,0.019484191517903357
d12-s11,12,11,fixed_probe,1511,0.5996031746031746,middle,0.016415434230981657
d12-s11,12,11,fixed_probe,1637,0.6496031746031746,middle,0.017306176730943895
d12-s11,12,11,fixed_probe,1763,0.6996031746031746,middle,0.017104953596443494
d12-s11,12,11,fixed_probe,1889,0.7496031746031746,middle,0.015136558230820512
d12-s11,12,11,fixed_probe,2015,0.7996031746031746,late,0.016393882227434854
d12-s11,12,11,fixed_probe,2141,0.8496031746031746,late,0.01678578543943344
d12-s11,12,11,fixed_probe,2267,0.8996031746031746,late,0.01600313136941696
d12-s11,12,11,fixed_probe,2393,0.9496031746031746,late,0.016698393709255008
d12-s11,12,11,fixed_probe,2519,0.9996031746031746,late,0.0165617827782623
d12-s7,12,7,logical_batch,0,0.0,early,1.0038553408636943
d12-s7,12,7,logical_batch,101,0.04007936507936508,early,0.1289701699240667
d12-s7,12,7,logical_batch,202,0.08015873015873017,early,0.04867968858868161
d12-s7,12,7,logical_batch,303,0.12023809523809524,early,0.02752401484571766
d12-s7,12,7,logical_batch,404,0.16031746031746033,early,0.020812916003242338
d12-s7,12,7,logical_batch,505,0.2003968253968254,early,0.008871276513681593
d12-s7,12,7,logical_batch,606,0.24047619047619048,early,-0.014723645442039976
d12-s7,12,7,logical_batch,707,0.28055555555555556,middle,0.0008836724796576184
d12-s7,12,7,logical_batch,808,0.32063492063492066,middle,0.011005378858531636
d12-s7,12,7,logical_batch,909,0.3607142857142857,middle,-0.004686760943385634
d12-s7,12,7,logical_batch,1010,0.4007936507936508,middle,0.010734513672335943
d12-s7,12,7,logical_batch,1111,0.44087301587301586,middle,-0.013740192269699561
d12-s7,12,7,logical_batch,1212,0.48095238095238096,middle,0.0005919140303644077
