run,depth,seed,run_id,step,normalized_progress,curvature/Hg_norm,curvature/dhd,curvature/eta_star,curvature/eta_star_rho,curvature/gHg,curvature/gg,curvature/shadow_verdict_code,curvature/verdict_code_gradient,curvature/verdict_code_random,curvature/verdict_code_update,update/actual,update/direction_norm,update/loss_after,update/loss_before,update/normalized_residual,update/p1,update/p2,update/residual_p1,update/residual_p2,phase,benefit_relative,p1_benefit_relative,p2_benefit_relative,grad_norm,p1_normalized_abs_error,p2_normalized_abs_error
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,1,0.0003968253968253968,0.6639540516875103,0.0002201903151848052,,-4.6757890449934063e-05,-6.493417645865375e-05,4.374826202399592,1.0,1.0,1.0,1.0,-0.036149024963378906,33.01509301282509,10.364001274108887,10.400150299072266,0.00010925675175565848,-0.03626307007757737,-0.03615297491998497,0.0001140451141984633,3.9499566060613445e-06,early,0.003475817553002435,0.003486783270892939,0.003476197351033471,2.091608520349731,0.0031449381962003566,0.00010925675175565848
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,2,0.0007936507936507937,0.6835019198939813,-0.001861684334690872,,-0.0010085922717832923,-0.0014420401225345588,4.375663723781543,1.0,1.0,1.0,1.0,-0.06957149505615234,51.744372260914595,10.294429779052734,10.364001274108887,0.00011876462773809389,-0.0686489165029435,-0.06957975867028893,-0.0009225785532088471,8.263614136583275e-06,early,0.006712802634437558,0.006623785031215759,0.0067135999726390914,2.0918087206486025,0.013260870022474265,0.00011876462773809389
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,3,0.0011904761904761906,0.7649087704647695,-0.009234909709904943,,-0.009203876375685309,-0.014771101253577557,4.4021508013406425,1.0,1.0,1.0,1.0,-0.11085700988769531,69.80846009257756,10.183572769165039,10.294429779052734,-0.0004311642650708195,-0.10619175745154666,-0.11080921230649914,-0.004665252436148654,-4.779758119617672e-05,early,0.010768640154627009,0.010315457944803052,0.010763997101808927,2.098130310857894,0.04208351317498848,0.0004311642650708195
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,5,0.001984126984126984,1.3824559507511063,-0.05726380631115012,,-0.12673108753248888,-0.3803510526123238,4.7130312239232905,1.0,1.0,1.0,1.0,-0.2745342254638672,127.03805160247398,9.733911514282227,10.008445739746094,-0.007348808409248157,-0.24388482288357682,-0.2725167260391519,-0.030649402580290364,-0.0020174994247152966,early,0.02743025566633405,0.024367901792687743,0.02722867597282547,2.1709516862250275,0.11164146302160888,0.007348808409248157
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,9,0.0035714285714285713,69.00289868186978,0.6233994149660287,0.16362496130027648,0.3645390557933913,103.5314640807189,16.940331803568597,1.0,0.0,1.0,1.0,-0.2912478446960449,273.9383839696559,7.332775592803955,7.6240234375,0.297242726599668,-0.7261356097780205,-0.41443590229500615,0.4348877650819756,0.12318805759896123,early,0.03820133123719098,0.09524309778566581,0.054359211470486266,4.115863433542056,0.5989070901162947,0.297242726599668
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,17,0.006746031746031746,8.670039438756048,0.09207992296041616,0.38771523854851675,0.6114684386470083,10.896903571335585,4.22489556760056,1.0,0.0,1.0,1.0,-0.07426881790161133,379.8780949645586,5.283498764038086,5.357767581939697,0.005820143793393245,-0.12074356509675234,-0.07470360361654427,0.04647474719514101,0.00043478571493293927,early,0.013861896165851123,0.022536170755850328,0.013943046702578125,2.055455075549101,0.38490454673837565,0.005820143793393245
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,33,0.013095238095238096,4.223460497118644,0.1929478906615886,0.7500110974977072,0.5659270599410441,4.28474995704202,3.2136100177843394,1.0,0.0,1.0,1.0,-0.03130054473876953,598.542520937232,4.817753791809082,4.849054336547852,-0.3748186700605152,-0.11604246151840858,-0.01956851618761428,0.08474191677963905,-0.011732028551155252,early,0.0064549791704444125,0.02393094683303173,0.00403553246251011,1.7926544613461735,0.730266453079297,0.3748186700605152
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,41,0.01626984126984127,4.654150767698471,0.18430574200596947,0.6272564782233803,0.6256652764490624,5.318757095528546,3.3362248442668503,1.0,0.0,1.0,1.0,-0.13881731033325195,736.2239233396973,4.493926048278809,4.6327433586120605,-0.05427246917440133,-0.22343622314030195,-0.13128335213731723,0.08461891280705,-0.00753395819593472,early,0.029964386020908507,0.0482297865097457,0.028338144804258888,1.8265335595785943,0.37871617957807757,0.05427246917440133
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,65,0.025793650793650792,5.66435455995892,0.23048286748829608,0.44318804208040186,0.6788410792875108,6.552773020283432,2.904110645056696,1.0,0.0,1.0,1.0,-0.07482528686523438,842.0556939841994,3.887197494506836,3.9620227813720703,-0.05934579159162007,-0.18562615472929503,-0.07038472098514699,0.11080086786406065,-0.004440565880087385,early,0.0188856276185575,0.046851359765531606,0.01776484509782964,1.7041451361479443,0.5969033190696933,0.05934579159162007
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,127,0.0503968253968254,6.095049412253958,0.3130642575951058,0.5436342215230117,0.5035703786119639,5.121316316145139,2.7841228087006606,1.0,0.0,1.0,1.0,-0.04507780075073242,1190.3855334492346,2.919496774673462,2.9645745754241943,-0.368297044121412,-0.1850079087762966,-0.028475779978743704,0.1399301080255642,-0.016602020771988718,early,0.015205487196854321,0.062406225267524006,0.0096053512078269,1.6685690901789654,0.756346628374474,0.368297044121412
